Time x_cm_1 y_cm_1 x_cm_2 y_cm_2 x_cm_3 y_cm_3 x_cm_4 y_cm_4 x_cm_5 y_cm_5 x_cm_6 y_cm_6 x_cm_7 y_cm_7 x_cm_8 y_cm_8 x_cm_9 y_cm_9 x_cm_10 y_cm_10
42 -7.7572 1.2565 -4.8585 2.9279 -8.5003 4.2046 -8.3234 1.4129 12.5383 2.4318 -4.0202 3.4735 11.4136 2.3490 -8.3050 1.2136 -9.2154 0.0052 6.3882 1.7630
43 -7.9010 1.5047 -5.1332 2.9390 -8.6975 4.5682 -8.4947 1.5173 12.7176 2.5228 -3.3429 3.1083 13.0395 2.5241 -7.9408 1.8856 -9.4711 -0.0364 7.2408 1.6984
44 -7.8503 1.3595 -5.3057 2.4818 -8.3796 4.3203 -8.5402 1.4393 12.8823 2.4833 -2.7820 2.9497 14.3637 2.4310 -7.9062 1.9337 -9.5204 0.0908 8.7285 1.9910
45 -7.7969 1.1470 -5.4435 2.1267 -8.4398 4.4645 -8.4197 1.3668 12.4492 2.4959 -2.3337 3.0323 15.5731 2.5207 -7.5879 2.1063 -9.4620 0.2970 10.1466 2.0571
46 -7.7424 1.4224 -5.7324 1.9012 -8.2594 4.4255 -8.5896 1.3238 11.9505 2.3282 -1.2747 3.1826 17.1092 2.6549 -7.4787 2.5614 -9.4260 0.7652 11.3614 2.3228
47 -7.9074 1.6591 -6.1477 1.9923 -8.1688 4.5902 -9.2377 1.0251 11.9517 2.4811 -0.5393 2.9922 18.4611 2.3656 -7.4648 2.9729 -9.1179 0.9622 12.6013 2.5333
48 -8.2551 2.0337 -6.1368 1.6336 -7.9982 4.7402 -9.3648 0.8275 11.7299 2.4292 -0.2559 2.8390 20.0011 2.4430 -7.1983 3.1925 -9.2127 1.0587 13.9616 2.4109
49 -8.7409 1.9250 -6.3919 1.2903 -7.9051 4.4510 -9.7171 0.7974 10.8954 2.3357 0.1983 2.6015 21.2784 2.6753 -7.1042 3.6958 -9.1457 0.8939 15.0483 2.5274
50 -9.0521 2.1627 -6.2966 1.3964 -8.0315 4.7786 -9.8093 0.6489 10.2893 2.5685 0.7558 2.7384 22.7632 2.5829 -7.0813 4.0667 -9.1159 1.3094 16.2673 2.4726
51 -9.5263 2.0393 -6.6012 1.5654 -8.2972 4.3586 -9.7249 0.7030 9.4728 2.6165 1.6126 2.9697 24.1022 2.5589 -6.8497 4.3275 -9.1387 1.8696 17.6404 2.5366
52 -9.8847 1.8646 -6.5105 1.0955 -8.4267 4.0409 -9.6406 0.6665 8.5182 2.7208 2.2190 3.2119 25.6399 2.5095 -6.8214 4.4369 -9.4842 2.0162 18.1327 2.4850
53 -9.8132 2.2133 -6.7388 1.4376 -8.9042 4.0051 -9.6428 0.7505 7.3982 2.8683 3.0370 3.0820 26.3804 2.3911 -6.6259 5.0042 -9.3519 2.2796 18.7788 2.5397
54 -10.1052 2.3566 -6.5550 1.3205 -9.0164 3.6851 -9.9336 0.9650 6.4684 3.1204 4.2478 3.1503 27.9406 2.4986 -6.6765 4.7843 -9.5698 1.9603 19.2453 2.3701
55 -9.8420 2.2774 -6.4279 1.5992 -8.9240 3.4131 -9.8861 1.1708 5.4452 3.1967 4.8463 3.2919 29.2422 2.5073 -6.4618 4.8782 -9.6050 2.0020 19.9267 2.5038
56 -9.5605 2.6868 -6.7575 1.7863 -9.2086 2.8701 -9.9473 1.2700 4.1262 3.4537 5.5659 2.9692 30.3111 2.6592 -6.3901 4.9992 -9.5619 2.0375 20.3993 2.5742
57 -9.3245 3.0316 -6.8912 2.2947 -9.7357 2.4937 -9.8784 1.3555 3.1891 3.9446 6.6026 3.1033 31.7605 2.4411 -6.3481 4.8424 -9.5331 2.2860 20.8541 2.5032
58 -8.7383 2.8041 -7.0056 2.2964 -9.8703 2.8627 -10.3621 1.6046 1.9563 4.1362 8.3347 3.3635 32.5814 2.4034 -6.3358 5.0643 -9.7844 2.0935 20.9808 2.5085
59 -9.0866 2.6397 -7.1268 2.1747 -10.2787 3.2209 -10.5190 1.9652 1.1147 4.3078 9.5652 3.1932 33.2587 2.5749 -6.6144 5.2324 -9.8212 1.8960 21.2047 2.5113
60 -9.0343 2.4541 -7.3422 2.4842 -10.3374 3.4513 -10.5817 2.1834 -0.0760 4.4075 10.8958 3.0827 34.2604 2.5040 -6.5289 5.1193 -9.2518 1.8239 21.2468 2.5163
61 -8.8714 2.3808 -7.5931 2.4450 -10.3515 3.3769 -10.7891 2.6585 -1.0517 4.7286 12.1221 2.9247 35.0769 2.3516 -6.7779 5.3405 -9.2415 1.8541 21.5033 2.4559
62 -8.9800 2.2820 -7.3923 3.1760 -10.3773 3.8412 -10.5379 2.7278 -1.9526 4.6977 13.0738 2.8237 35.9887 2.6367 -6.8360 5.7477 -8.7323 1.6221 21.3289 2.5015
63 -8.8331 2.1645 -6.9949 3.3378 -10.5307 4.3487 -10.5044 2.7699 -2.2172 4.9815 13.9096 2.6314 36.8384 2.5683 -7.0360 6.0484 -8.5743 1.7450 21.5660 2.4839
64 -8.7685 2.0763 -7.0521 3.5954 -10.1596 4.5343 -10.2848 3.4500 -2.5108 4.9499 14.7523 2.4437 37.2245 2.4851 -7.0467 5.9176 -8.3935 1.7144 21.3967 2.4929
65 -9.0513 1.7775 -7.3360 3.6806 -10.1508 4.5113 -10.3439 3.5864 -2.9842 4.9955 16.0198 2.2969 37.8032 2.4147 -7.1171 5.9126 -8.1921 1.2831 20.9491 2.4475
66 -9.3273 1.7682 -7.0991 3.8898 -10.2141 4.7107 -10.7344 3.4241 -3.2278 4.9259 16.9659 2.4701 38.2262 2.5080 -7.5876 5.7805 -7.9614 1.4389 21.0280 2.4916
67 -9.5250 1.7173 -6.8135 3.9006 -10.1466 4.3029 -10.3786 3.3629 -3.5790 4.8574 17.6629 2.3702 38.8367 2.5434 -7.7873 5.8119 -7.7287 1.6080 20.4398 2.4494
68 -9.3602 1.4026 -6.0033 4.0597 -10.3445 3.7449 -10.5648 3.5242 -4.2841 4.6947 18.3779 2.4305 39.0267 2.5016 -8.2182 5.6376 -7.4899 1.7185 20.1116 2.5182
69 -9.5287 1.5700 -5.3991 4.3132 -9.9010 2.8683 -10.6525 3.6665 -4.6405 4.4170 18.6298 2.4507 38.9672 2.5610 -7.8980 5.1713 -7.1473 1.8816 19.5285 2.4772
70 -9.6615 1.2959 -4.9211 4.2137 -9.5742 2.5402 -10.6629 3.5027 -5.1133 3.9953 19.1278 2.4624 38.9223 2.5031 -8.3090 5.0505 -7.0455 1.7377 18.5869 2.4566
71 -10.2534 1.9268 -4.1856 4.2488 -9.5286 2.0252 -10.4308 3.1987 -5.4437 3.8695 19.2985 2.5149 38.9400 2.5290 -8.2027 5.0122 -6.4963 1.6151 18.1253 2.3731
72 -10.1139 2.1186 -3.7308 4.4242 -9.1556 1.2017 -10.0158 2.7244 -5.5906 3.9816 19.2241 2.4766 38.8391 2.5050 -7.9558 4.8772 -6.3377 1.7266 18.0633 2.4286
73 -10.1692 2.3516 -2.9499 4.0233 -8.7800 1.3288 -9.6804 2.8733 -6.0372 4.5503 19.0525 2.5071 38.3427 2.5653 -7.7744 5.0178 -6.3612 2.2018 17.2764 2.4881
74 -10.3161 2.4042 -2.3311 3.8897 -8.8807 1.1432 -9.4729 2.1504 -6.1385 4.2328 18.8717 2.5576 37.9230 2.4751 -7.4430 4.8696 -6.6184 2.1422 16.9742 2.5807
75 -10.0116 2.1121 -1.9125 3.4681 -8.2886 0.6328 -9.5405 2.4943 -6.5617 4.3865 19.1523 2.5221 37.3127 2.4393 -7.3090 4.9354 -6.1080 1.9823 16.6244 2.4676
76 -9.5723 2.1147 -1.1724 3.3715 -8.1473 0.4531 -9.5766 2.3654 -6.6037 4.5148 18.9739 2.5258 36.4370 2.4704 -7.4655 4.7185 -5.9450 1.9798 16.2867 2.5850
77 -9.6361 1.9550 -0.2581 3.1269 -7.4637 0.4775 -9.4897 2.2133 -6.6685 4.8385 18.7925 2.5721 35.7049 2.6314 -7.6411 4.8742 -5.7443 1.3565 16.0645 2.4660
78 -9.4804 2.3269 0.3650 2.9255 -6.9845 0.6358 -9.7075 2.4829 -6.7352 4.5097 18.6783 2.5416 34.4790 2.4810 -7.7135 4.9934 -5.5292 1.3149 16.2647 2.5449
79 -9.3429 2.3374 1.4536 2.5208 -6.6509 0.8280 -9.7357 2.3944 -6.3909 4.3501 18.3523 2.5497 33.1526 2.6047 -7.5909 5.0213 -5.3835 1.1069 16.6245 2.4858
80 -9.0260 2.5867 2.2045 2.5710 -6.5722 1.1537 -9.4994 2.5230 -6.1622 4.5881 17.6593 2.5343 32.0250 2.4480 -7.8467 5.4390 -5.0254 1.1115 16.3699 2.5337
81 -8.6478 2.9474 3.0388 2.2478 -6.4102 1.2023 -9.4731 2.2479 -5.6256 4.5452 17.1384 2.5675 30.5076 2.3926 -8.4137 5.4261 -5.1246 1.3569 16.6804 2.3766
82 -8.2046 3.0159 4.0493 2.2310 -6.8934 1.5895 -9.5088 2.5095 -6.1050 4.2125 16.8783 2.5279 29.1279 2.6183 -8.3194 5.3559 -5.1306 1.3168 16.6652 2.4187
83 -8.1204 2.6926 4.8878 1.9011 -6.7626 1.5988 -9.3912 2.4065 -6.0637 3.9766 16.5284 2.4249 27.2824 2.4839 -8.7366 5.3692 -5.1573 1.7169 17.4171 2.5531
84 -7.9229 2.7208 6.0697 1.8285 -6.2644 1.3710 -9.3980 2.4423 -5.7882 3.7286 16.4172 2.5690 26.0040 2.6671 -9.0105 5.3454 -5.1354 1.5531 18.1198 2.5042
85 -7.6906 2.8513 7.1740 1.9375 -6.0849 1.5035 -10.0052 1.7986 -5.9623 3.4444 15.7242 2.5418 24.4403 2.3865 -9.0918 5.0215 -4.9474 1.5964 18.9595 2.4226
86 -7.4855 2.6387 7.6979 2.1949 -5.8057 1.6812 -10.0505 1.0597 -5.6324 3.0511 15.4237 2.5118 23.1999 2.5143 -9.4419 4.8302 -5.4503 1.6846 20.1887 2.5254
87 -7.3430 2.9102 8.8971 2.0270 -5.9849 1.7297 -9.6004 0.7622 -5.5379 2.7804 15.1573 2.4260 21.7230 2.4945 -9.2741 4.6476 -5.6557 1.6569 21.3250 2.2979
88 -7.3728 2.5672 9.4952 2.0069 -6.2541 1.7101 -9.2117 0.3567 -5.7522 2.5705 14.8535 2.5264 19.8004 2.4755 -9.5657 4.5408 -6.0357 1.8193 22.4785 2.5127
89 -7.2074 2.3898 10.3595 2.2309 -6.2053 1.7073 -9.2282 0.1330 -5.9853 2.2290 14.0749 2.5164 18.0855 2.7103 -9.6568 3.8954 -6.4080 1.7210 23.1410 2.5237
90 -7.5533 2.0671 11.1240 2.3898 -6.1714 1.6680 -9.0922 0.3011 -6.3165 2.4015 13.5893 2.5024 16.9186 2.6573 -10.0152 4.0023 -6.8731 2.0514 24.2055 2.5608
91 -7.3282 1.6886 12.1036 2.4802 -5.8696 1.4979 -9.0096 0.0955 -6.3588 2.2516 13.5745 2.5209 15.5774 2.6372 -10.1875 3.8035 -7.2766 2.3955 25.3240 2.3698
92 -7.1222 1.4266 12.6066 2.6191 -6.0518 1.5638 -8.7377 0.0904 -6.8098 2.2242 13.1100 2.4999 14.1061 2.6118 -10.0938 4.1763 -7.3426 2.6950 26.4391 2.4778
93 -7.1144 1.5333 12.8647 2.4461 -5.9228 1.6123 -8.3129 -0.1813 -7.3234 2.2538 13.2522 2.4502 12.5963 2.5018 -10.5195 3.9938 -7.8796 2.7959 27.8844 2.2955
94 -7.0248 1.3101 12.9262 2.4083 -5.5130 1.6618 -8.1214 -0.2838 -7.5232 2.4173 13.2037 2.5921 11.2184 2.4350 -10.5316 3.7226 -8.7014 2.9492 29.3233 2.1096
95 -7.1483 1.5390 13.0603 2.5278 -6.4122 2.0959 -7.9274 -0.3793 -7.2386 2.2686 13.1571 2.5057 10.0789 2.2098 -10.2227 3.5622 -9.3771 3.1407 30.8739 2.4466
96 -7.0469 1.4771 13.0695 2.5419 -6.8636 2.0154 -7.9702 -0.1475 -7.2432 1.7511 13.0176 2.4316 8.7398 2.3333 -10.0555 3.4515 -9.8321 2.9901 31.8111 2.4197
97 -6.8757 1.7743 13.0476 2.5385 -7.3287 2.0467 -7.7827 0.1015 -7.6222 1.8566 12.6971 2.4791 7.0282 2.1817 -9.6324 3.3223 -10.0880 3.1856 32.8975 2.3639
98 -7.0026 2.0985 12.9326 2.5844 -7.4080 2.1283 -8.1302 0.2057 -7.6583 1.7234 12.3302 2.5202 5.6371 2.1435 -9.3852 3.5131 -10.4844 3.1617 34.0660 2.2267
99 -7.5136 2.2377 12.5018 2.4770 -7.6328 2.1717 -8.5115 0.1219 -7.8557 2.2466 12.5891 2.4763 4.0726 1.7406 -9.3660 3.0492 -10.6838 3.0069 35.3069 2.5633
100 -7.5165 2.9195 11.9892 2.6679 -8.3648 2.6669 -8.2516 -0.2542 -8.0156 1.8850 12.3176 2.6429 2.9007 1.2686 -9.0538 2.5121 -10.5768 3.3665 36.8132 2.4726
101 -7.7077 3.3171 11.5366 2.5334 -8.8712 2.8939 -8.1232 -0.3074 -8.5736 2.1862 12.2345 2.5436 2.1889 1.0826 -8.8164 2.3362 -10.5718 3.5054 38.1946 2.4830
102 -7.6356 3.4567 10.7661 2.3591 -8.9982 2.7028 -8.1712 -0.4025 -8.6360 2.3588 12.0073 2.5622 1.4087 1.0983 -8.8011 1.8773 -10.6521 3.7253 38.9177 2.6686
103 -7.5301 3.2952 10.1395 2.4118 -9.3680 2.7826 -8.3341 -0.3412 -8.3942 2.4640 11.7726 2.5214 0.1995 0.8564 -8.8949 1.4888 -10.2628 3.8296 40.0943 2.6214
104 -7.6908 3.6180 8.8725 2.5712 -9.3936 2.6758 -8.0619 -0.2139 -8.2843 2.5460 11.4394 2.4776 -0.6387 0.7556 -9.2957 0.8686 -10.0605 4.0849 41.4463 2.4791
105 -7.2566 3.7474 7.8660 2.6821 -10.1042 2.3890 -7.5280 -0.2712 -8.2508 2.9493 10.8057 2.5736 -1.1296 0.3339 -9.2456 0.5286 -9.8436 4.3939 42.8347 2.3915
106 -7.6501 3.7843 6.8768 2.7260 -10.3792 2.0714 -7.5203 -0.1642 -7.9991 3.4664 10.3170 2.3741 -2.2242 0.2677 -8.7350 0.5028 -9.6131 5.0227 43.9896 2.6851
107 -7.4781 3.8151 5.8328 3.0457 -10.2740 1.8596 -7.3163 -0.3654 -8.1336 3.7578 9.6286 2.0873 -2.8347 0.1290 -8.3458 0.4093 -9.1857 5.0006 45.5347 2.5043
108 -7.3052 3.7040 4.5146 2.9318 -9.7942 1.3733 -7.1340 -0.4062 -7.5409 4.3171 8.8923 2.1671 -3.0360 -0.1518 -7.9775 0.3655 -8.6859 5.4278 46.4688 2.5951
109 -6.9731 3.5259 3.4742 3.4903 -9.9030 1.8015 -6.9772 -0.4805 -7.1945 4.9297 7.6039 2.1423 -3.5031 -0.3985 -7.6624 0.0943 -8.0798 5.5907 47.7174 2.5480
110 -7.1693 3.8512 2.0801 3.3418 -9.6506 1.7932 -6.6049 -0.3388 -6.5193 5.1306 6.7493 1.9494 -3.8429 -0.1341 -7.3125 -0.2411 -8.1158 5.6767 48.9508 2.5702
111 -6.6821 3.8917 0.8405 3.8324 -9.6299 1.6654 -6.3984 -0.5434 -6.3781 5.1292 6.0636 1.8003 -4.2420 -0.0709 -6.7094 -0.3620 -7.9713 5.5647 49.8999 2.7678
112 -6.3370 3.8480 -0.2337 4.0022 -9.8185 2.0566 -6.1204 -0.5153 -6.2345 5.0021 4.7279 1.6202 -4.6095 -0.4147 -6.3640 -0.2478 -7.8569 5.1719 50.5318 2.4691
113 -6.0118 4.3135 -1.5071 4.2858 -9.9129 2.1170 -5.6638 -0.6200 -5.9183 5.3113 4.0109 1.7280 -4.9929 -0.4226 -5.8382 -0.2545 -7.7479 5.3246 51.5544 2.5300
114 -5.5714 4.5619 -2.1308 4.7418 -9.9679 2.5802 -5.6418 -0.7588 -5.6179 5.3081 2.7540 1.7132 -4.6526 -0.1392 -6.0823 0.2729 -7.6280 5.4334 52.5182 2.5035
115 -5.3137 4.5272 -2.9411 4.7490 -9.6161 2.7973 -5.8847 -0.3025 -5.1404 5.3705 1.5843 1.2473 -4.8837 -0.2467 -5.8156 0.7908 -7.3941 5.4449 53.1876 2.4185
116 -5.5218 4.7452 -3.5059 5.0004 -9.6099 3.1829 -6.3891 -0.1036 -4.3884 4.7358 0.5658 1.2795 -5.2911 -0.3127 -5.3221 1.2356 -7.3597 5.5506 54.0545 2.2819
117 -5.5438 4.8516 -3.8731 5.1161 -9.4252 3.3664 -6.0513 0.0329 -3.3842 4.6028 -0.4192 1.1924 -5.1912 -0.1934 -5.1111 1.7082 -7.6067 5.5805 54.7186 2.5216
118 -5.4065 4.9015 -4.5132 5.3924 -9.3851 3.8183 -5.8818 0.0677 -2.6754 4.4966 -1.2366 1.1296 -5.0456 -0.1777 -5.1718 1.9590 -7.8740 5.6383 55.0463 2.4291
119 -4.8952 4.8735 -5.1375 5.3337 -9.1027 4.1461 -5.7012 0.1261 -1.9682 4.3604 -2.0407 1.3051 -4.3636 -0.1729 -5.1930 2.1147 -8.1242 5.3090 55.8426 2.5336
120 -4.5989 4.3426 -5.2795 5.4863 -8.9071 4.0022 -5.7783 -0.1423 -1.2958 4.4970 -3.0532 1.4924 -4.2660 -0.0611 -5.2203 2.4114 -8.2850 5.2697 56.0604 2.5341
121 -4.2090 4.2550 -5.8849 5.7687 -8.7935 4.1716 -5.9346 -0.2522 -0.7026 4.3799 -3.7867 1.7151 -3.6213 -0.2559 -5.4620 2.6694 -8.3174 5.2129 56.4442 2.5818
122 -4.2490 3.9526 -6.2272 5.6752 -8.5601 4.2391 -6.0438 -0.1223 0.0091 4.4769 -4.5531 1.7125 -3.2198 -0.2107 -5.2571 3.0307 -8.4308 4.9422 56.5691 2.5812
123 -4.2011 3.5996 -6.6821 5.5905 -8.2590 3.9633 -6.3191 0.2027 0.8235 4.4053 -5.2450 1.3414 -3.1311 -0.1416 -5.5470 3.1484 -8.6214 5.0318 56.5043 2.4429
