Time x_cm_1 y_cm_1 x_cm_2 y_cm_2 x_cm_3 y_cm_3 x_cm_4 y_cm_4 x_cm_5 y_cm_5 x_cm_6 y_cm_6 x_cm_7 y_cm_7 x_cm_8 y_cm_8 x_cm_9 y_cm_9 x_cm_10 y_cm_10
0 -4.3723 1.7906 -5.9893 2.8960 -4.0157 2.5231 -5.7173 1.2259 -4.3696 1.5934 -6.2646 4.3606 -4.7041 1.9986 -6.6020 0.7516 -5.8207 2.8106 -7.5669 0.8067
1 -4.5897 1.4414 -6.3587 3.1098 -4.2126 2.1453 -5.8980 1.3547 -4.7174 1.5417 -6.1645 4.1528 -4.7490 2.2283 -6.8779 0.9379 -6.2965 2.5947 -7.8416 0.6152
2 -4.6764 1.2538 -6.1415 2.4054 -4.5361 2.4008 -5.7764 1.0518 -4.8041 1.3590 -6.3294 3.8555 -4.6139 2.4879 -7.4159 0.4575 -6.7298 3.1866 -8.3287 0.7836
3 -5.1222 0.8582 -6.2839 2.3940 -5.0013 2.6836 -5.7279 1.5422 -4.7212 1.2086 -6.5003 4.3244 -4.5754 2.3386 -7.6492 0.5804 -6.6639 3.3230 -8.5491 0.8668
4 -5.4133 0.9654 -6.3418 2.5320 -5.3621 2.9000 -5.8761 1.7110 -4.6872 1.6288 -6.4783 4.8031 -4.5391 2.4763 -8.0172 0.5334 -6.8959 3.4221 -8.3585 0.7816
5 -5.7134 1.2915 -6.4734 2.8097 -5.5938 3.3525 -6.5751 1.7237 -4.4598 2.1151 -6.5385 4.7991 -5.1686 2.6248 -8.3589 0.6450 -7.4442 3.9119 -8.6990 0.9513
6 -6.1289 1.5469 -6.4957 2.7572 -6.1496 3.6690 -6.4091 1.8084 -4.4586 2.2914 -6.6003 5.0387 -5.6732 2.6321 -8.2730 0.7322 -7.6922 3.9196 -8.6161 0.9678
7 -6.4005 1.8478 -6.8875 3.4029 -5.9262 3.9301 -6.2631 2.0751 -4.4798 2.7210 -6.5585 4.4045 -5.8492 2.9758 -8.4097 0.9949 -7.4205 4.2935 -8.5755 0.8095
8 -6.3940 2.2435 -7.1531 3.8276 -5.6898 4.0332 -6.0400 2.5807 -4.3714 3.2519 -6.4108 3.8719 -5.5057 2.5865 -8.6985 1.0120 -7.3902 4.8464 -8.4298 1.0414
9 -6.1455 2.3264 -7.5527 4.5000 -5.4426 4.3671 -5.7931 2.5274 -4.3448 3.2823 -6.4814 3.7763 -5.3014 2.5724 -8.8255 1.2981 -7.2056 5.0591 -8.7143 1.4631
10 -5.5970 2.6201 -7.1616 4.5444 -5.2549 4.3930 -5.5611 2.4125 -4.5352 3.6457 -6.3299 3.7176 -5.3061 2.3067 -8.9374 1.4910 -7.2296 5.0189 -8.4739 1.2849
11 -5.6336 2.8170 -7.2718 4.5180 -5.1904 4.2809 -5.8772 2.6782 -4.3397 3.7373 -5.8160 3.7303 -5.0600 2.0065 -9.0471 1.4830 -7.2097 5.4436 -8.2897 1.0594
12 -5.3079 2.8132 -6.7478 4.5446 -5.1462 3.9083 -5.6727 2.9597 -3.9074 3.8236 -5.4301 3.2433 -5.0700 1.7762 -9.4778 1.4188 -6.8539 5.5250 -8.2604 1.1903
13 -4.8199 2.8412 -6.7881 4.7213 -5.0866 3.6922 -6.0509 3.0668 -3.8313 3.6467 -5.2381 2.8951 -4.9150 1.6434 -10.0956 1.6201 -7.0187 5.2955 -8.2779 1.1950
14 -4.1727 2.6232 -6.2888 4.8210 -5.4330 3.7341 -5.9518 3.1307 -3.5768 3.2540 -5.1544 3.1001 -4.5910 1.6983 -10.4536 1.2949 -6.8101 5.2953 -8.5188 1.0840
15 -4.0853 2.5556 -6.1090 4.4411 -5.5347 3.2786 -6.0438 3.2623 -3.7322 3.0310 -4.9236 2.8229 -4.3035 1.7968 -10.2800 1.5079 -6.5835 5.0071 -9.0712 0.9584
16 -4.2822 2.4849 -5.9304 4.3769 -5.2497 3.0126 -6.6055 3.2299 -3.8431 3.0985 -5.5241 2.5687 -4.4472 1.6515 -10.6045 1.6547 -6.8871 5.0880 -9.4417 0.9271
17 -4.2313 1.8167 -5.9402 3.8160 -5.5480 2.7897 -6.6636 3.3094 -3.7346 2.8855 -5.6250 2.3724 -4.6426 1.7255 -10.4447 1.7966 -6.8720 5.0108 -9.2881 1.0049
18 -4.2279 2.0578 -5.7542 4.1237 -5.3875 2.5203 -7.0137 3.4799 -3.5995 2.7826 -5.7128 2.3088 -5.0332 1.5738 -10.4615 2.0634 -6.9680 5.2007 -9.3424 0.9335
19 -4.4368 2.0722 -5.4901 4.6388 -5.6072 2.1995 -7.4371 3.5601 -3.5315 2.8659 -5.7778 2.5861 -4.9793 1.2200 -10.3748 2.2360 -6.9798 5.3896 -9.6608 1.0619
20 -4.3664 1.7810 -5.5650 4.8912 -5.9460 2.5917 -7.4420 3.8544 -3.0289 3.0631 -5.6050 2.3331 -4.9027 1.0836 -9.9751 2.1838 -7.6481 5.0046 -9.3502 0.5942
21 -4.5538 1.9570 -5.2642 5.4296 -5.9631 3.0380 -7.7363 4.4588 -2.3896 3.3203 -5.4849 2.7325 -4.8865 0.7834 -9.9429 2.2151 -7.9813 5.2527 -9.5216 0.6011
22 -5.0674 1.9519 -4.8592 5.0479 -6.0611 3.5331 -7.8871 4.5966 -1.6391 3.2581 -5.6166 2.9101 -4.6267 0.8213 -9.4528 2.4631 -8.4564 5.1224 -9.5138 0.7861
23 -4.8134 1.8465 -4.5971 5.0541 -6.3794 4.1785 -8.2278 4.5453 -1.1860 3.4105 -5.7406 3.0696 -4.3516 0.7116 -9.1201 2.3976 -8.8601 4.7215 -9.2499 0.9460
24 -4.8628 2.0281 -4.7365 5.2254 -6.4820 4.6266 -8.7001 4.5417 -0.6892 3.6902 -5.5470 3.4462 -4.2046 0.6662 -8.9692 2.2870 -9.3230 4.0822 -8.9023 0.8971
25 -4.8350 2.2674 -4.8976 5.1019 -6.2500 4.8373 -9.4266 4.5774 -0.0293 3.5995 -5.2728 3.6168 -4.2234 0.5199 -9.0573 1.6114 -9.3003 3.7272 -8.2670 0.9309
26 -4.6203 2.1138 -4.8112 5.2805 -5.9065 5.2844 -9.7285 4.1810 0.8460 3.9384 -5.0941 3.3622 -3.8962 0.3716 -8.6529 1.3348 -9.3521 3.3356 -8.1833 0.8099
27 -4.9187 2.4413 -5.2374 5.3436 -5.9243 5.1296 -10.4077 4.0232 1.2793 3.7725 -4.6500 3.3318 -3.4084 0.5336 -8.7298 1.1606 -9.2039 3.0462 -7.6662 0.7713
28 -4.9058 2.9030 -5.3632 5.1861 -5.9444 5.1093 -10.0389 3.5528 2.2872 3.7986 -3.9926 3.4964 -2.8684 0.7270 -8.6148 0.9614 -9.0435 3.0109 -7.0593 0.8388
29 -4.9030 3.2583 -5.7854 5.2246 -5.7738 4.6755 -9.9117 3.5847 3.3196 3.6488 -3.7511 3.8667 -2.6372 0.8650 -8.4725 1.1399 -8.9867 2.5047 -6.4949 0.9851
30 -4.8593 2.7690 -5.8390 4.7627 -5.6788 4.1712 -10.0027 3.3482 4.2562 3.8620 -3.9026 3.9796 -1.8929 1.1461 -8.7659 1.1652 -8.8136 2.1518 -6.2366 1.2352
31 -4.9694 2.7067 -5.9198 4.6985 -5.3814 4.2417 -10.1517 2.9540 5.1627 3.3271 -3.8132 3.9962 -1.0616 0.6936 -8.3737 1.3104 -8.4314 2.1733 -5.0882 1.0441
32 -5.1552 2.5656 -5.9928 4.5645 -5.1799 4.2534 -10.1888 2.6528 6.1751 3.0502 -3.9098 4.0931 -0.2335 0.6503 -8.7718 0.9909 -8.8367 1.9672 -4.1276 1.1149
33 -5.2688 2.1952 -6.0556 4.5337 -5.4791 3.8202 -10.0717 2.5370 6.7208 3.0075 -3.9002 4.0887 0.8834 1.1055 -8.4063 0.7147 -8.6093 1.3179 -3.3604 1.2027
34 -5.4863 2.0789 -5.8388 4.3652 -6.1781 3.3479 -9.2265 2.0197 7.7535 2.7701 -4.0734 4.1473 1.7769 1.1422 -8.6908 0.8544 -8.3228 1.1748 -2.7150 0.9946
35 -5.6388 1.8745 -5.6666 4.6162 -6.2801 3.1387 -8.9286 1.8738 8.4980 2.8851 -4.5975 4.1593 2.7447 1.1003 -8.8650 0.6537 -8.2686 0.8804 -1.9955 1.0676
36 -5.8297 1.7538 -5.3164 4.3263 -6.7693 3.0840 -8.5540 1.6145 9.2968 2.9904 -4.8401 4.3478 3.9544 1.3599 -8.8558 0.4211 -8.3257 0.8353 -0.8180 0.9122
37 -6.2586 1.5722 -4.9207 4.1583 -7.0784 3.0410 -8.2961 1.2553 10.3489 2.8407 -4.9338 4.1847 5.1177 1.5807 -8.8894 0.6967 -8.5129 0.4329 0.0416 0.9670
38 -6.4608 1.1609 -4.7784 4.0669 -7.3358 3.2457 -8.3402 1.2235 11.1812 2.6147 -4.7836 4.1460 6.3594 1.6326 -8.8764 1.0326 -8.6796 0.1821 1.1248 0.9967
39 -7.0073 1.2520 -4.4681 3.8153 -7.8063 3.8035 -8.5253 1.1789 11.5927 2.5453 -4.9122 4.2687 7.8916 1.6266 -8.8213 0.9948 -8.7808 -0.2093 2.2328 0.8802
40 -7.3264 1.3903 -4.4024 3.5343 -8.2626 3.9149 -8.0614 1.1471 12.1414 2.4670 -4.8110 3.8566 9.1328 1.8469 -8.6286 0.6254 -8.9159 -0.2604 3.6326 1.3862
41 -7.6746 1.1858 -4.5380 3.0313 -8.4124 4.0425 -8.1670 1.1910 12.6346 2.5373 -4.5440 3.7517 10.2751 2.2453 -8.3825 0.9108 -9.0420 -0.2083 5.2825 1.4080
