Time x_cm_1 y_cm_1 x_cm_2 y_cm_2 x_cm_3 y_cm_3 x_cm_4 y_cm_4 x_cm_5 y_cm_5 x_cm_6 y_cm_6 x_cm_7 y_cm_7 x_cm_8 y_cm_8 x_cm_9 y_cm_9 x_cm_10 y_cm_10
0 -8.1859 1.4358 -7.1423 1.0983 -9.3415 4.1109 -8.0016 4.3158 -5.3378 5.2603 -3.4818 3.3841 -4.5152 2.0257 -5.5836 3.1529 -6.4921 0.8280 -7.2785 0.0634
1 -8.3250 0.9838 -7.4406 0.8514 -9.3403 4.4389 -8.4143 4.1712 -5.4443 5.1889 -3.5675 3.4228 -4.5199 1.9186 -5.5392 3.4999 -5.8574 0.8255 -7.0420 -0.0566
2 -8.2673 0.4667 -7.5580 0.8313 -9.1656 4.9044 -8.7212 4.0201 -5.7082 5.0086 -3.2357 2.7380 -4.7816 1.6773 -5.7358 3.8711 -5.4744 1.1582 -7.3376 0.0947
3 -8.1641 0.3064 -7.5572 0.1373 -8.9670 4.9841 -8.5253 3.6310 -6.4002 4.5249 -3.1429 1.9377 -4.6185 1.6867 -5.8424 3.8042 -5.6172 1.2911 -7.4894 0.1431
4 -7.7334 -0.0001 -7.0280 -0.2322 -8.8946 5.2073 -8.2804 2.8783 -6.6685 4.0393 -4.1299 1.7286 -4.9934 1.5052 -6.1796 4.2136 -6.1022 1.9340 -8.0211 -0.1725
5 -7.5766 0.3570 -6.6347 -0.3036 -8.6065 4.6579 -7.9903 2.2256 -7.2624 3.9416 -5.0974 1.6312 -5.4593 1.1153 -6.5050 4.1119 -6.0251 2.4454 -8.2104 -0.2773
6 -7.0120 0.5377 -6.9624 -0.3488 -8.2775 4.3193 -8.0479 1.7385 -7.3613 3.8349 -5.6638 1.6589 -6.3089 1.2439 -7.2964 4.2192 -5.9930 2.9220 -8.1628 -0.2186
7 -6.6997 0.8587 -7.2369 -0.4441 -7.5795 3.6052 -8.0966 1.8407 -7.0483 3.5704 -6.0759 1.3474 -6.9468 1.5503 -7.6039 4.0616 -5.8713 3.2960 -8.1600 0.4161
8 -6.5651 1.0737 -7.2818 -0.1601 -6.9051 3.5247 -7.9153 1.8153 -7.4166 3.2998 -6.7325 1.5102 -7.5195 1.6315 -8.4004 3.9654 -5.8149 3.1155 -7.7911 0.5525
9 -6.3489 1.6941 -8.0370 0.2288 -5.8538 3.3065 -7.9253 1.4433 -7.6166 3.0665 -7.5008 1.4760 -7.6173 1.7876 -8.7892 3.9218 -6.1917 3.2284 -7.8186 0.8201
10 -6.4709 2.1010 -8.6517 0.9051 -4.5847 3.4593 -7.7894 1.4078 -7.6635 2.7674 -7.5362 2.0686 -7.5864 1.9757 -8.7439 3.7726 -6.4378 3.3784 -7.5543 1.0110
11 -6.3330 2.5228 -8.7941 1.3493 -3.5349 3.4658 -7.6711 1.1887 -7.7809 2.2724 -8.1566 1.5125 -7.5928 2.0007 -8.1340 3.1088 -6.7375 3.8160 -7.6579 1.3748
12 -6.2539 2.9089 -9.0937 1.2187 -2.1927 3.4194 -8.1758 0.9562 -7.7146 1.8868 -8.3301 1.7757 -8.0761 2.3556 -7.7203 3.1086 -7.3610 4.4260 -7.6299 1.4183
13 -6.2893 3.2475 -8.8274 1.5734 -0.8870 3.1655 -8.0518 0.7442 -7.3626 1.4921 -8.7382 2.4644 -8.1084 3.0741 -8.0480 3.1602 -7.6441 4.8414 -7.7340 1.5524
14 -6.0413 3.3212 -8.4924 1.7881 0.1283 3.1902 -7.7696 1.0728 -6.7115 1.5641 -9.0900 3.2084 -8.0696 3.2007 -8.2263 2.7901 -8.0531 5.1263 -7.5957 1.9411
15 -6.0091 3.4536 -8.3294 1.5308 1.2679 2.9662 -7.3674 1.7193 -5.9176 1.3116 -9.3905 3.8775 -8.1264 3.8807 -8.4072 2.8518 -8.4455 5.0637 -7.8144 2.3954
16 -5.8243 4.0796 -8.2189 1.3979 2.0532 2.7001 -7.1322 1.8944 -5.0831 1.1075 -9.7821 3.9022 -8.3494 4.4821 -8.1045 2.7479 -8.6172 5.2643 -7.7775 2.3768
17 -5.6706 4.5632 -7.9936 1.1066 2.6671 2.5426 -7.0587 2.1091 -4.2985 0.8955 -9.8055 3.7820 -8.5792 5.0212 -7.9662 2.8684 -9.0292 5.0828 -7.5668 2.7464
18 -5.8022 5.0777 -7.7003 1.0567 2.8536 2.6614 -6.7687 2.4614 -3.4778 0.6625 -9.9111 3.8337 -8.5855 4.9986 -7.7326 2.6865 -9.7094 5.2877 -7.3123 2.8441
19 -6.3474 5.4548 -7.6043 1.0934 3.3885 2.3676 -6.7179 2.7359 -2.6465 0.4671 -9.7154 3.9481 -8.1302 4.9994 -7.0327 2.4737 -9.7641 5.4308 -7.3795 2.6410
20 -6.5272 5.6508 -7.5332 0.9393 3.4740 2.3458 -6.4731 2.5423 -2.0007 0.6016 -9.8927 4.0906 -7.7637 5.0893 -6.5566 2.3443 -9.9095 4.8515 -7.1517 2.2210
21 -7.1625 5.8514 -7.7596 0.5348 2.7223 2.7815 -6.4550 2.8214 -2.0961 0.4081 -10.0828 4.4209 -7.7589 5.0064 -6.1767 2.8632 -9.9962 4.4857 -7.1321 1.8063
22 -7.8537 5.7356 -7.8019 0.1687 1.8844 2.9204 -7.1242 2.6893 -2.4846 0.3341 -9.6246 4.4486 -7.4980 5.1833 -6.2194 3.3308 -10.3338 4.1000 -7.4987 1.1345
23 -8.3417 5.3021 -7.9534 -0.3179 0.8928 2.7652 -7.5486 2.5591 -2.4213 0.3179 -9.6680 4.5428 -7.5950 5.4353 -6.1788 4.3808 -10.6550 3.2693 -7.8926 1.3740
24 -8.6407 4.6504 -8.1739 -0.5566 -0.2013 2.6587 -7.4722 2.1717 -2.8924 0.4008 -9.7785 4.4772 -7.6000 5.7947 -6.3653 4.9382 -10.4762 2.6511 -8.2347 1.1415
25 -8.0522 4.1902 -8.3401 -0.5137 -1.2168 2.5633 -7.6450 2.1810 -3.5211 0.2745 -9.7463 4.3176 -7.5689 5.9247 -6.5835 5.3999 -10.2808 2.3387 -8.3414 1.0276
26 -7.4632 3.9428 -8.1242 -0.7385 -2.2191 2.0011 -7.6148 2.2831 -4.1498 0.3747 -9.5132 4.6354 -7.2970 5.9529 -6.2236 5.7291 -9.3470 1.8625 -8.5557 0.9176
27 -6.7375 3.6599 -8.0955 -0.5707 -3.4123 1.9622 -7.5214 2.4002 -5.0121 0.8262 -9.2676 4.2762 -7.5527 5.7189 -6.6736 6.0083 -8.7907 1.8789 -8.7602 0.8757
28 -6.5616 4.0260 -8.0806 -0.4290 -4.5121 2.0237 -7.8756 2.7493 -5.7866 1.0912 -9.2059 3.6601 -7.7823 5.3880 -7.0123 6.3441 -8.5953 1.6409 -8.7791 0.6915
29 -6.1457 4.3560 -7.9675 0.1986 -5.2294 2.0058 -7.8267 2.7406 -6.3311 1.5296 -8.5190 3.5619 -8.0111 5.4209 -6.6261 6.4698 -8.0882 1.3457 -8.4063 0.3159
30 -6.2722 4.2321 -8.0294 1.1197 -5.5866 2.3041 -7.8127 2.7286 -7.3702 1.5336 -8.1866 3.3721 -7.9498 4.9311 -6.2421 6.3234 -8.1960 1.1623 -8.3552 -0.0126
31 -6.6578 4.5883 -8.0184 1.3083 -6.3128 2.4861 -7.7334 2.9807 -8.8543 1.4196 -7.9999 3.1455 -7.9783 5.2282 -6.2930 6.4045 -7.9369 0.7195 -8.0045 -0.1654
32 -7.1334 4.8019 -7.8493 1.8910 -7.1615 2.4652 -8.1727 3.4276 -9.4305 1.7229 -7.9110 2.9902 -8.0451 5.0982 -6.6436 6.0754 -8.3268 0.2924 -7.6041 -0.2131
33 -7.4686 4.7936 -7.8380 2.2141 -7.4855 2.6955 -8.6355 3.4199 -10.0591 1.8506 -7.9363 3.2179 -7.9212 4.9798 -7.1396 5.6766 -7.8622 -0.3846 -7.3248 -0.6893
34 -7.7427 4.9103 -7.7807 2.4389 -7.9463 2.7012 -8.8870 3.6361 -10.5566 2.0852 -7.2150 3.3060 -7.5640 4.6274 -7.4456 5.6207 -7.2690 -0.6751 -7.1976 -0.6261
35 -8.1842 4.4750 -7.8306 2.8250 -8.1012 2.6516 -9.4229 3.6990 -10.6682 2.3395 -7.0139 2.7777 -7.6962 4.3154 -7.2533 5.3461 -7.0987 -0.2473 -7.1766 0.0099
36 -8.7179 4.3853 -7.3378 2.6968 -7.9930 2.6343 -9.9199 3.6263 -10.5806 2.1017 -6.7257 3.0376 -7.9848 4.1243 -7.1286 5.3886 -6.8284 -0.5753 -6.8583 0.3862
37 -8.7443 4.3459 -6.6185 3.0689 -7.1370 2.2176 -10.1178 3.1645 -10.5815 1.9939 -6.3484 2.5374 -8.4261 3.8465 -6.3215 5.1473 -6.6851 -0.0462 -6.4478 0.5983
38 -7.9956 4.3641 -5.7000 3.1918 -6.9473 2.3870 -10.2454 2.7384 -10.0420 1.8498 -6.2349 2.2559 -8.9475 3.8789 -5.7679 5.2854 -6.6368 0.5671 -5.6437 0.9012
39 -7.4379 4.5228 -4.7008 3.5881 -6.8391 3.2708 -10.1321 2.2467 -9.0757 1.7282 -6.0250 1.7662 -9.3336 4.0121 -5.9139 5.1803 -6.7075 1.3980 -5.4094 0.6965
40 -6.9759 4.6550 -3.5810 3.4691 -6.3230 3.3242 -10.0868 1.4575 -8.2781 1.3513 -6.1385 1.4975 -9.5629 3.8164 -5.7408 5.0574 -7.2797 2.1297 -5.5457 0.3807
41 -6.4705 4.9180 -1.9614 3.7522 -5.7147 3.4029 -9.7731 0.4669 -7.1088 1.0918 -5.7134 1.1800 -10.2338 3.7363 -5.8326 5.1141 -7.8620 2.6439 -5.4800 0.1720
42 -5.7998 4.8030 -0.6142 3.7624 -5.2934 3.0868 -9.0260 0.1146 -6.6790 0.7303 -5.2362 1.0301 -10.7780 3.1114 -5.6966 5.2613 -8.6926 3.1638 -5.3434 0.1277
43 -4.4487 4.4170 1.0046 3.8626 -4.4421 3.0868 -7.9967 -0.0630 -6.3520 0.1377 -5.4053 0.5433 -10.8797 2.6200 -5.6790 5.1390 -9.0798 2.9484 -5.0562 0.1228
44 -3.5230 4.0538 3.1092 3.6253 -4.0704 3.4385 -7.5703 0.4170 -6.4016 -0.3421 -4.7626 0.9055 -10.8487 2.2113 -5.4506 5.0325 -9.2505 2.5595 -4.7874 0.0619
45 -2.2897 3.9053 5.5404 3.3516 -3.1465 3.4781 -7.2234 0.6548 -6.2982 -0.2918 -4.1489 0.6865 -10.8116 1.8250 -4.7714 4.9007 -9.5368 2.0929 -4.9851 0.1428
46 -0.6250 3.8862 7.9599 3.1502 -2.3666 3.5732 -6.8220 0.8325 -6.1867 -0.5441 -3.4034 0.7675 -11.0596 1.6801 -4.9490 4.6848 -9.5280 1.6691 -4.7051 0.2322
47 1.3237 3.6454 10.1982 2.7269 -1.3955 3.4596 -7.1115 0.7249 -5.6301 -0.2368 -2.6483 0.9207 -10.9464 1.4312 -4.9779 4.2845 -9.4032 1.5421 -4.6383 0.2845
48 3.1837 3.2727 12.2760 2.6172 -0.3448 3.0747 -7.0829 0.7646 -5.1624 -0.2535 -1.1001 1.5333 -11.2926 2.0596 -4.7562 3.8854 -9.4698 1.6182 -4.9099 0.2354
49 5.1850 3.0596 14.2511 2.6199 1.0866 2.7537 -6.9282 0.4507 -4.7662 0.5873 0.4943 2.1935 -11.1384 2.5276 -4.7546 3.7811 -9.7942 1.8834 -4.6559 -0.0477
50 7.2325 2.8083 17.0064 2.5085 3.0223 2.9250 -6.6595 0.3242 -4.6406 1.1292 1.7549 2.2296 -11.2585 3.0188 -4.6954 3.5823 -10.0552 2.1979 -4.7050 -0.1291
51 9.4766 2.4846 19.1498 2.5909 4.7044 2.6413 -6.6149 -0.2088 -4.4935 1.8810 3.2368 2.2596 -10.7449 3.5898 -4.9490 3.3566 -10.2022 2.6496 -4.1885 -0.1849
52 11.9260 2.6190 21.3205 2.5879 6.9127 2.8682 -6.2169 0.3173 -4.3998 2.4357 5.2003 2.2436 -10.2253 4.1664 -5.1872 3.1764 -10.4220 2.9596 -3.4839 -0.2495
53 14.6180 2.5049 23.3359 2.5188 9.0988 2.9112 -5.6985 0.1972 -4.4086 2.1013 6.4016 2.4803 -9.5310 4.6933 -5.5663 3.3053 -10.3617 3.1378 -2.5077 -0.1322
54 16.6107 2.3791 24.9562 2.4288 11.6371 2.6514 -5.3984 0.6758 -4.6176 1.7480 7.4766 2.7434 -9.0785 4.7743 -5.8514 2.9203 -10.3790 3.3121 -1.1923 0.2137
55 18.9011 2.4491 25.9849 2.5458 13.5768 2.7318 -5.6794 0.9842 -4.8869 1.6089 8.5585 2.7190 -8.5258 4.1907 -5.8433 3.1744 -10.1981 3.4093 0.4206 0.2082
56 21.1598 2.5848 27.0580 2.5042 15.9999 2.5426 -6.0014 1.1374 -4.9650 1.4365 9.5399 2.6101 -7.6742 4.3268 -5.5659 3.1173 -9.6786 3.5880 1.9087 0.4167
57 23.2226 2.3769 27.8099 2.5003 18.0046 2.3882 -6.2587 1.4634 -5.3996 1.5959 10.6151 2.6123 -7.6891 3.8662 -5.1072 2.7158 -9.4249 3.7450 3.9643 0.6078
58 25.6503 2.4281 28.7827 2.3814 20.1527 2.5257 -6.7632 1.2677 -5.1673 2.0763 10.9672 2.5527 -7.3028 4.2372 -5.0521 2.6825 -9.0820 3.8013 6.0520 1.1020
59 27.6226 2.5762 28.9693 2.5097 21.9398 2.6525 -6.6788 1.0697 -5.5944 2.4511 10.8037 2.4563 -6.8510 4.4542 -4.9104 2.9740 -8.8861 4.2510 8.2332 1.4039
60 29.9157 2.3514 28.7586 2.4444 23.3823 2.4879 -6.7044 1.1546 -6.1195 2.5305 10.4792 2.4719 -6.2809 4.4159 -4.4486 2.8264 -9.1406 4.4910 10.2630 1.6215
61 32.2451 2.6643 28.5338 2.4505 23.9295 2.5339 -6.4025 0.7823 -6.2564 2.7589 9.5789 2.3628 -6.3830 4.8486 -4.4284 2.9494 -9.3831 4.9832 12.3475 1.9422
62 34.2577 2.5883 28.1722 2.4421 24.4773 2.4674 -5.8515 0.5263 -6.2838 2.9995 8.9527 2.2848 -6.2846 4.6032 -4.0844 2.5105 -9.3690 4.8713 14.6044 2.3683
63 36.3083 2.5384 27.1074 2.3804 24.9503 2.5655 -5.0224 1.0454 -6.9559 2.9430 8.1560 2.0552 -6.4420 3.9816 -3.7380 2.4420 -9.0967 4.8634 16.4856 2.6142
64 38.7376 2.4357 25.7173 2.3992 24.8771 2.4554 -3.5865 1.3071 -7.1582 2.7040 7.0548 1.7700 -6.5375 3.3890 -4.1437 2.4012 -8.6172 4.7650 18.9662 2.5949
65 41.4546 2.4296 23.8651 2.5365 24.6196 2.5241 -2.4887 1.8034 -7.2450 2.5037 5.6028 1.3630 -6.9455 2.8735 -3.9515 2.0378 -7.9544 4.4753 21.0595 2.6704
66 43.9551 2.3110 22.2876 2.4413 24.4295 2.5330 -1.4208 2.3451 -6.8226 2.1071 3.7153 1.2002 -6.9657 2.0784 -3.7211 2.2443 -8.0802 3.8860 23.3275 2.4441
67 46.5864 2.6537 20.0136 2.4524 24.0272 2.6234 -0.2934 2.6867 -6.7546 2.2093 1.5228 1.1803 -7.6557 1.7683 -3.6509 1.8084 -8.1047 3.0513 25.5460 2.6126
68 48.5533 2.3662 17.8363 2.6733 23.1392 2.5382 1.1853 3.1034 -5.8940 2.1728 -0.4571 0.9192 -8.0638 1.7596 -3.5842 1.8080 -8.2224 2.2494 27.8233 2.6049
69 51.0063 2.5865 15.3259 2.7559 21.5705 2.5095 2.4274 3.5490 -5.5377 2.1515 -2.2480 0.8843 -8.7398 1.5164 -3.7037 1.6937 -7.9968 2.0968 30.1280 2.6342
70 53.3593 2.5712 13.0919 2.9912 20.0237 2.6104 4.2943 3.4372 -5.1127 2.3602 -3.9145 0.9019 -9.2352 1.5884 -3.7275 2.0194 -8.6339 1.7217 32.6306 2.7052
71 55.8946 2.5006 11.0389 3.2739 18.6570 2.6070 6.4175 3.4254 -4.4343 2.6664 -4.9257 0.7081 -9.4983 1.3111 -4.5158 2.5052 -8.9602 1.0656 35.0135 2.5988
72 57.9375 2.3459 8.9795 3.3120 17.1101 2.6008 8.5854 3.1690 -3.8544 2.8626 -6.5031 0.7319 -9.4590 1.2295 -5.0516 2.7475 -9.1660 0.6085 37.2492 2.2524
73 59.7638 2.3657 6.8788 3.4595 15.6363 2.6291 10.6859 2.8985 -3.0613 3.0332 -7.5319 0.5923 -9.3240 0.7365 -5.6833 2.3879 -9.0639 0.2763 39.5925 2.4275
74 62.3080 2.4854 4.4899 3.6433 14.4582 2.4632 12.3473 2.7656 -2.2778 3.0964 -8.1166 0.5653 -9.4445 0.3547 -6.4182 2.2234 -9.0029 -0.2099 42.0373 2.6094
