,Ree,Rgy,Length
0,0.2875423691674101,0.1613885881622165,27.66
1,0.3386841969425585,0.17312346404872397,27.66
2,0.5407595015044528,0.20665829709046893,27.66
3,0.19206320305589344,0.06458076841460447,27.66
4,0.1513148044612916,0.06505207261360245,27.66
5,0.2427100550915173,0.09691417356891462,27.66
6,0.21326369699429606,0.11258614017225091,27.66
7,0.4265605287638597,0.14969973673728526,27.66
8,0.246293964992992,0.06920562425126967,27.66
9,0.19206320305589344,0.1028122174554613,27.66
10,0.15454937958560497,0.0966576757649089,27.66
11,0.3432438516347449,0.1375248419604964,27.66
12,0.2924646450485957,0.10700064258996657,27.66
13,0.34496891237098243,0.13482280245806955,27.66
14,0.33325749530464077,0.09965990456333013,27.66
15,0.311558107353656,0.1068434615744061,27.66
16,0.2418350009685713,0.10245171708332712,27.66
17,0.31655343555365995,0.11337974241116877,27.66
18,0.2434658913243867,0.09226503222475652,27.66
19,0.28532193154265534,0.08869147766401363,27.66
20,0.1836365535193159,0.07275469328259163,27.66
21,0.2089116020627419,0.085888928980432,27.66
22,0.17488499216748038,0.06995732698501146,27.66
23,0.22126506791166703,0.08693457640468895,27.66
24,0.29549345479967365,0.12170020734261328,27.66
25,0.22606749633649464,0.09517510905828341,27.66
26,0.22917211158874895,0.08440405256280119,27.66
27,0.2598645189453859,0.07477359155922082,27.66
28,0.2021030348427142,0.07678664319934458,27.66
29,0.3510606528692778,0.11728088198373822,27.66
30,0.18045343401468608,0.06797190163568513,27.66
31,0.2605706000349378,0.12484731512639217,27.66
32,0.19850447346555306,0.08555151584845665,27.66
33,0.10699572432849574,0.04236875790152107,27.66
34,0.0811552971081289,0.05326761062153874,27.66
35,0.1520602020976893,0.046865086280972766,27.66
36,0.1678751797440235,0.07976281018090492,27.66
37,0.2666823232526148,0.071290252031011,27.66
38,0.19469432843775847,0.07338569261571189,27.66
39,0.2648742866547818,0.13411400716934477,27.66
40,0.3212072533493517,0.0782514704206649,27.66
41,0.36129826481289623,0.11380648624675091,27.66
42,0.19498448408077335,0.10293150197263053,27.66
43,0.2360980318911841,0.11486324327159789,27.66
44,0.1552792508454578,0.05490862761720374,27.66
45,0.23162584440040795,0.09195748326595968,27.66
46,0.253253910165764,0.09761236199203319,27.66
47,0.24508592938658733,0.08513580275810548,27.66
48,0.12331901561761731,0.06622555678506248,27.66
49,0.2626236450008181,0.11260291291546735,27.66
50,0.2786051743135958,0.11797832143030226,27.66
51,0.1552792508454578,0.07936046677763332,27.66
52,0.062229913182763524,0.0374455758627829,27.66
53,0.16686183942064584,0.05363511255790143,27.66
54,0.14076604881623206,0.046063130247742584,27.66
55,0.10226800253961627,0.04377426033433146,27.66
56,0.10472606228782387,0.04418913639608466,27.66
57,0.13206310182865702,0.04931088791383703,27.66
58,0.0672510242050185,0.04424544932725232,27.66
59,0.031001190372832402,0.04472230669501775,27.66
60,0.13864153811413063,0.09007835053740336,27.66
61,0.24439294233680414,0.07362061146538815,27.66
62,0.27114967462039047,0.08666622570931877,27.66
63,0.14829575178619958,0.05310960810010084,27.66
64,0.1382331674535324,0.10470285295071398,27.66
65,0.17145714236524498,0.07234118791753699,27.66
66,0.26439361913904885,0.08371520744763991,27.66
67,0.11672460975766742,0.07624460246077099,27.66
68,0.16963395999259726,0.11600660009889552,27.66
69,0.37447559978181133,0.11992425093499805,27.66
70,0.2046050934125926,0.09902510355326197,27.66
71,0.16143748086734908,0.08012377294180544,27.66
72,0.1731795486676697,0.06880240850958315,27.66
73,0.27114967462039047,0.07708642558920552,27.66
74,0.10960575968742453,0.06177987644236817,27.66
75,0.07741174226192546,0.053186224502060356,27.66
76,0.08572857118262249,0.03359002342549477,27.66
77,0.1833284382795996,0.0495434532854699,27.66
78,0.0977456100912883,0.04168015264624976,27.66
79,0.22126506791166703,0.07678361319548634,27.66
80,0.21266641146697293,0.09464385410246756,27.66
81,0.14462879618833147,0.06544063256471247,27.66
82,0.22355276297933563,0.07901941864441513,27.66
83,0.11888413814277306,0.05079180474355092,27.66
84,0.2103275110039182,0.10495345716039092,27.66
85,0.23375173256114806,0.08501131324261539,27.66
86,0.22203025198652868,0.09173840603427973,27.66
87,0.16896610716335655,0.08811521157370074,27.66
88,0.2578991288255477,0.0829890273796093,27.66
89,0.20377448743924975,0.0815709776115972,27.66
90,0.05750847383348204,0.04849308010181862,27.66
91,0.21385931437538563,0.08350067976143134,27.66
92,0.08719971219246697,0.04007623891648687,27.66
93,0.09803437175463493,0.056921597177582973,27.66
94,0.12123850804933202,0.07087096429743855,27.66
95,0.20041764307101745,0.06648827202043081,27.66
96,0.23447617148568697,0.07156521376936703,27.66
97,0.11265801167760353,0.04319141674975303,27.66
98,0.1260396154048073,0.0526826415001516,27.66
99,0.12804213537059564,0.05273262699173022,27.66
100,0.20972186341835758,0.12190625224012616,27.66
101,0.0478499425800689,0.054801887927408074,27.66
102,0.45463872696275853,0.1845148392854802,28.54
103,0.5434844570501924,0.20608949270964577,28.54
104,0.4008874452308407,0.18813202836310625,28.54
105,0.551766561826229,0.26849133608941855,25.76609465084267
106,0.6104622292600638,0.21078673849825455,28.54
107,0.6703497584019174,0.19725210321399686,28.54
108,0.5438019058199495,0.18405149055014677,28.54
109,0.4711858069027714,0.15889789962947307,28.54
110,0.44316446348251215,0.14972822554034096,28.54
111,0.27561068305198755,0.11069716322725916,28.54
112,0.17745141347255208,0.05891097112899926,28.54
113,0.1687862170138835,0.06050050371657209,28.54
114,0.11347703710759534,0.0344745693441919,28.54
115,0.15154624232091948,0.10207471008496806,28.54
116,0.11015271819959577,0.11905818097919851,28.54
117,0.24441529382149763,0.11425011951535982,28.54
118,0.2263683853053382,0.11981470036937916,28.54
119,0.23466131202307805,0.10855245841443581,28.54
120,0.15671406824009182,0.10525733338022007,28.54
121,0.19176175920203217,0.11172051528690845,28.54
122,0.2812841432861244,0.19946905970156745,28.54
123,0.19620999180365817,0.21433312769007512,28.54
124,0.2263683853053382,0.18500309722808453,28.54
125,0.3774174549080751,0.21049473364074897,28.54
