t,msd
0.05,0.06636467507969021
0.15000000000000002,0.1926793902066138
0.25,0.3431453570591232
0.35000000000000003,0.51861485631072
0.45,0.67350285074912
0.55,0.8441588436971561
0.6500000000000001,1.033236318493105
0.7500000000000001,1.1772730818900545
0.8500000000000001,1.3668696192411278
0.9500000000000001,1.5143836701433286
1.05,1.6900398929438578
1.1500000000000001,1.8915250226347213
1.2500000000000002,2.0347779723750143
1.35,2.258095421095158
1.4500000000000002,2.427191870742025
1.55,2.6264905113453336
1.6500000000000001,2.8589682156824994
1.7500000000000002,3.010481948995138
1.85,3.2772316304198266
1.9500000000000002,3.481623450763558
2.05,3.7166523181546864
2.15,3.992706068171051
2.25,4.152171339639172
2.35,4.479452112386668
2.45,4.683442981755768
2.55,4.932930201264138
2.65,5.2327023794709
2.75,5.381831582609332
2.85,5.749900660399644
2.95,5.972509396152492
3.05,6.243703429313091
3.15,6.583212465550493
3.25,6.729858605288598
3.35,7.159195854263243
3.45,7.396173990884104
3.55,7.688055488797204
3.65,8.064556218670138
3.75,8.209396310642832
3.85,8.689419803178279
3.95,8.944447116314713
4.05,9.256979203154954
4.15,9.65705341091024
4.25,9.814018934848972
4.35,10.34970965556901
4.45,10.62224889265353
4.55,10.946085253008953
4.65,11.398008464701077
4.75,11.525971911639324
4.8500000000000005,12.101222831201541
4.95,12.397641284107754
5.05,12.731314609630768
5.15,13.224012737721818
5.25,13.335001297685329
5.3500000000000005,13.980786268862348
5.45,14.28223242267248
5.55,14.626003119035456
5.65,15.155409243823932
5.75,15.241590052369924
5.8500000000000005,15.933736847551113
5.95,16.25478820228016
6.05,16.594715322658708
6.15,17.157016986135208
6.25,17.21400952896523
6.3500000000000005,17.971394294422886
6.45,18.30660723072207
6.55,18.65022914001254
6.65,19.251986190313357
6.75,19.300581141861255
6.8500000000000005,20.093061143071193
6.95,20.46058625779272
7.05,20.80399506947903
7.15,21.432737307168097
7.25,21.46035200382413
7.3500000000000005,22.304022282523853
7.45,22.68609668251995
7.55,23.01263089887216
7.65,23.682762140542795
7.75,23.695352330846948
7.8500000000000005,24.5876322079665
7.95,25.007683054525142
8.05,25.324844453973657
8.15,26.028228070655345
8.250000000000002,25.989739314899055
8.350000000000001,26.987389793284024
8.450000000000001,27.44012888772896
8.55,27.75407150703839
8.65,28.48075944019762
8.750000000000002,28.46173396965457
8.850000000000001,29.465479517548758
8.950000000000001,29.93261699376718
9.05,30.22548200060686
9.15,31.006417143653113
9.250000000000002,30.957419852148867
9.350000000000001,32.02865715350853
9.450000000000001,32.51572748849192
9.55,32.81040222023347
9.650000000000002,33.60907343901414
9.750000000000002,33.52612321306779
9.850000000000001,34.662307790604984
9.950000000000001,35.17595765981618
10.05,35.445303636452934
10.150000000000002,36.28240379853603
10.250000000000002,36.15437554861048
10.350000000000001,37.36233811719164
10.450000000000001,37.87948449861468
10.55,38.12580437828141
10.650000000000002,39.01513192116904
10.750000000000002,38.84889483382472
10.850000000000001,40.09867439833779
10.950000000000001,40.6803064737082
11.05,40.88917092591055
11.150000000000002,41.81654288928536
11.250000000000002,41.59625323138644
11.350000000000001,42.91299095965621
11.450000000000001,43.52185971664476
11.55,43.71297316686527
11.650000000000002,44.67800041514315
11.750000000000002,44.41278156672877
11.850000000000001,45.8784481613224
