,Ree,Rgy,Length,com (x)
0,0.8071052144123807,0.2506669732650437,25.364,35.139
1,0.4442178033746775,0.1402235859075962,25.364,35.921
2,0.5385771393670249,0.19123011547427615,25.364,34.187000000000005
3,0.5590599850659498,0.22298121242034086,25.364,32.181000000000004
4,0.5873899194445598,0.2285449220372311,25.364,30.617
5,0.27763850357950637,0.08121405460772102,25.364,39.457
6,0.28253353464209596,0.09119170159892158,25.364,38.505
7,0.11196039151646704,0.07651109214298818,25.364,39.117
8,0.34858990948916474,0.13349687217165512,25.364,39.661
9,0.44883752559358286,0.18319846326015568,25.364,42.041
10,0.42447603581388454,0.17513500705230983,25.364,42.993
11,0.28060946419977767,0.17813524267784744,25.364,43.911
12,0.4145213430580758,0.16307754562977111,25.364,44.455000000000005
13,0.39976058213059684,0.14903988357094272,25.364,43.979000000000006
14,0.5190593628582295,0.17007550866786383,25.364,43.639
15,0.24909903129880145,0.17526715144234165,25.364,41.803
16,0.47795864382658415,0.16409814604064057,25.364,44.489
17,0.3990520035826125,0.15605549973157937,25.364,44.489
18,0.4759090722474222,0.15013714875099576,25.364,43.163
19,0.394316113278542,0.13981726626077354,25.364,41.667
20,0.4593710760781129,0.14343328645171735,25.364,41.259
21,0.276464578584381,0.13352186744984115,25.364,42.211000000000006
22,0.35951432745624173,0.1570753601626621,25.364,44.115
23,0.38874225755067804,0.17658114348623982,25.364,42.449000000000005
24,0.24782619085011523,0.06928154623698249,25.364,38.981
25,0.09012191053067888,0.08508752710648068,25.364,37.213
26,0.29550268696994014,0.08113611472109558,25.364,39.457
27,0.445090681592172,0.12345058903999834,25.364,39.695
28,0.41979368648569276,0.1741118803198296,25.364,42.653000000000006
29,0.4453671398451596,0.17739766207611704,25.364,43.707
30,0.349300540526453,0.1599918966649355,25.364,44.115
31,0.39481478806431225,0.17012396866076993,25.364,44.42100000000001
32,0.21589677667869428,0.12037411711258186,25.364,43.129000000000005
33,0.28187451327949153,0.1375679843192296,25.364,43.367
34,0.4228112386856048,0.1519344252435171,25.364,44.081
35,0.3615850801265587,0.16543289927464852,25.364,45.101000000000006
36,0.27276432433308434,0.15452941632203748,25.364,45.101000000000006
37,0.45444138616139346,0.11369528576976719,25.364,43.231
38,0.4629946085040596,0.1521830203889689,25.364,43.639
39,0.4016194066054936,0.1244552161797347,25.364,42.823
40,0.46190858838118365,0.15502079275155045,25.364,42.857000000000006
41,0.4699514729585016,0.14905550773823945,25.364,43.29900000000001
42,0.272365475990805,0.16842552898450697,25.364,45.373000000000005
43,0.40796669855173184,0.19202194972455516,24.49065846374369,45.509
44,0.21230891222862694,0.1537038475880308,25.364,44.727
45,0.17070507427590817,0.1744180234461891,25.364,45.203
46,0.08564414394082193,0.158555057442252,25.364,44.353
47,0.2768023485070307,0.13195589308075945,25.364,43.911
48,0.46047283686265955,0.14210458750149207,25.364,43.061
49,0.4489836273280956,0.15881597954253557,25.364,43.741
50,0.36834012273675065,0.1585802411459329,25.364,44.455000000000005
51,0.2978164949490363,0.1457000425743558,25.364,44.217000000000006
52,0.25947601756805116,0.07702477437042303,25.364,39.389
53,0.23897086285087835,0.07312696620741249,25.364,39.559000000000005
54,0.2605437464110185,0.07351111756931356,25.364,39.559000000000005
55,0.11324499603481548,0.04050868304666997,25.364,39.525000000000006
56,0.1439381200594758,0.04367158030127839,25.364,40.273
57,0.17179632195678682,0.04637477332043424,25.364,40.035
58,0.1534720834462382,0.04776649164710219,25.364,40.035
59,0.15652107332354148,0.05073273998725776,25.364,40.205000000000005
60,0.22969629479271017,0.061448338753825195,25.364,40.409000000000006
61,0.25335475265969265,0.08356650830405819,25.364,44.86300000000001
62,0.00683514680106271,0.09924799009482073,25.364,44.251000000000005
63,0.2890721998752606,0.1011572125406611,25.364,44.047
64,0.28565806308496766,0.09858373029018415,25.364,44.489
65,0.016141547692751067,0.0887013806828257,25.364,44.523
66,0.013404825737265416,0.11190498661858703,25.364,45.169
67,0.2499955077258128,0.09958050572407397,25.364,45.237
68,0.17071033734684551,0.05512056086896428,25.364,45.373000000000005
69,0.20895195381529036,0.0887603242331275,25.364,44.455000000000005
70,0.1790134051469456,0.09735251620301019,25.364,44.251000000000005
71,0.21853566357161563,0.12311480023396296,25.364,44.081
72,0.1676085721414108,0.122665364778426,25.364,44.42100000000001
73,0.00683514680106271,0.1157079951773292,25.364,44.319
74,0.01046950358700624,0.09869322406282222,25.364,45.815000000000005
75,0.007816289403277882,0.11463859907452083,25.364,44.591
76,0.007816289403277882,0.11472793807156516,25.364,44.489
77,0.15014003243531543,0.10406680342589823,25.364,44.353
78,0.1312988824448888,0.09486689240024596,25.364,45.271
79,0.11165503712042253,0.09797951283004586,25.364,45.101000000000006
80,0.16914000679474334,0.09335533366860026,25.364,44.727
81,0.22990741634872222,0.07876931200790453,25.364,44.149
82,0.10561777803534697,0.12254109231297623,25.364,44.625
83,0.05826089493860785,0.1084972069389467,25.364,45.407
84,0.026843142619974246,0.1057870098866767,25.364,45.271
85,0.28190001132457226,0.09071432613879503,25.364,44.081
86,0.2845172289114092,0.11058358684362386,25.364,44.047
87,0.008477956193480908,0.09983470492623292,25.364,44.965
88,0.21941779408638723,0.10461663169146658,25.364,44.013000000000005
89,0.18129748056511222,0.09975760554436659,25.364,46.019000000000005
90,0.018622579074329494,0.060567694019876356,25.364,46.155
91,0.2105411278183661,0.11016734455342253,25.364,44.727
92,0.22658914105923766,0.11711824451615009,25.364,44.761
93,0.23019251360517487,0.12185608855457022,25.364,45.679
94,0.09232801800387433,0.11542278428616017,25.364,45.407
95,0.03680839200468092,0.11861564117707807,25.364,44.353
96,0.06300268096514745,0.10881356443535635,25.364,44.897000000000006
97,0.2710958232728778,0.12374762669438154,25.364,45.169
98,0.017477754437540613,0.1055499677638134,25.364,44.931
99,0.03538975544891176,0.05958865678960389,25.364,43.163
100,0.05024575017155849,0.06200791918449855,25.364,43.29900000000001
101,0.02680965147453083,0.06200861800393732,25.364,42.755
102,0.02471727736539648,0.07392322040686938,25.364,42.551
103,0.3204846863757342,0.09372081409477791,25.364,42.619
