panel,series,Rg_over_lc,Re_over_lc,position_class
10 C,model,0.0856582,0.115326,0
10 C,model,0.095231,0.136057,0
10 C,model,0.0858322,0.0675732,0
10 C,model,0.0896141,0.184876,0
10 C,model,0.0943756,0.175333,0
10 C,model,0.125162,0.0778318,0
10 C,model,0.114314,0.217138,0
10 C,model,0.0822653,0.0809626,0
10 C,model,0.113918,0.200333,0
10 C,model,0.0974897,0.0544273,0
10 C,model,0.0946606,0.18781,0
10 C,model,0.0884097,0.106262,0
10 C,model,0.0803163,0.054099,0
10 C,model,0.0902434,0.162619,0
10 C,model,0.099565,0.11184,0
10 C,model,0.129605,0.143462,0
10 C,model,0.10903,0.245225,0
10 C,model,0.0866683,0.0698911,0
10 C,model,0.115562,0.217683,0
10 C,model,0.103187,0.115155,0
10 C,model,0.0986923,0.226164,0
10 C,model,0.0894967,0.0678656,0
10 C,model,0.080243,0.0750182,0
10 C,model,0.0900319,0.182511,0
10 C,model,0.10211,0.159274,0
10 C,model,0.129561,0.192396,0
10 C,model,0.115504,0.275096,0
10 C,model,0.0875009,0.116581,0
10 C,model,0.107861,0.172628,0
10 C,model,0.102492,0.0978324,0
10 C,model,0.10296,0.26542,0
10 C,model,0.0935999,0.0274942,0
10 C,model,0.0911452,0.0535173,0
10 C,model,0.0825484,0.152766,0
10 C,model,0.0960881,0.214494,0
10 C,model,0.126567,0.255901,0
10 C,model,0.119546,0.338446,0
10 C,model,0.0901916,0.153003,0
10 C,model,0.106138,0.173966,0
10 C,model,0.104999,0.124162,0
10 C,model,0.0983553,0.278025,0
10 C,model,0.0915937,0.075626,0
10 C,model,0.084421,0.0649377,0
10 C,model,0.078137,0.141228,0
10 C,model,0.0945809,0.200474,0
10 C,model,0.120823,0.27842,0
10 C,model,0.129245,0.35694,0
10 C,model,0.0916453,0.169318,0
10 C,model,0.103635,0.20104,0
10 C,model,0.111805,0.143895,0
10 C,model,0.10059,0.306905,0
10 C,model,0.10044,0.126641,0
10 C,model,0.0889223,0.047684,0
10 C,model,0.0758715,0.144561,0
10 C,model,0.101864,0.234813,0
10 C,model,0.106799,0.268327,0
10 C,model,0.12961,0.365911,0
10 C,model,0.0946217,0.174673,0
10 C,model,0.105275,0.206306,0
10 C,model,0.11599,0.130884,0
10 C,model,0.103168,0.334996,0
10 C,model,0.105171,0.212533,0
10 C,model,0.0941497,0.062914,0
10 C,model,0.074301,0.118573,0
10 C,model,0.0949866,0.20627,0
10 C,model,0.10735,0.257827,0
10 C,model,0.14565,0.411545,0
10 C,model,0.0909761,0.156697,0
10 C,model,0.111817,0.196984,0
10 C,model,0.11643,0.149547,0
10 C,model,0.101129,0.24188,0
10 C,model,0.113161,0.240735,0
10 C,model,0.0925242,0.0765538,0
10 C,model,0.0727361,0.128217,0
10 C,model,0.0895716,0.172677,0
10 C,model,0.0974674,0.20255,0
10 C,model,0.1538,0.360599,0
10 C,model,0.0893914,0.194594,0
10 C,model,0.11916,0.252784,0
10 C,model,0.112851,0.134905,0
10 C,model,0.11081,0.287782,0
10 C,model,0.117822,0.284402,0
10 C,model,0.0967985,0.0550394,0
10 C,model,0.073019,0.162274,0
10 C,model,0.0914372,0.155815,0
10 C,model,0.0968203,0.197029,0
10 C,model,0.173486,0.414876,0
10 C,model,0.0897949,0.195249,0
10 C,model,0.127022,0.25683,0
10 C,model,0.110038,0.151986,0
10 C,model,0.109275,0.28449,0
10 C,model,0.121333,0.269583,0
10 C,model,0.102112,0.0596273,0
10 C,model,0.0727311,0.157654,0
10 C,model,0.0897286,0.109509,0
10 C,model,0.0857283,0.186205,0
10 C,model,0.186945,0.459938,4
10 C,model,0.0868708,0.20841,0
10 C,model,0.138709,0.335872,0
10 C,model,0.0988041,0.101848,0
10 C,model,0.114821,0.319427,0
10 C,model,0.122415,0.328131,0
10 C,model,0.101984,0.0278898,0
10 C,model,0.0728461,0.132139,0
10 C,model,0.0904728,0.123289,0
10 C,model,0.0826187,0.0720258,0
10 C,model,0.198605,0.502429,4
10 C,model,0.0877866,0.219607,0
10 C,model,0.147693,0.391744,0
10 C,model,0.105171,0.107876,0
10 C,model,0.11178,0.318532,0
10 C,model,0.117241,0.353453,0
10 C,model,0.103937,0.0483683,0
10 C,model,0.0727454,0.101707,0
10 C,model,0.0944376,0.184408,0
10 C,model,0.0823953,0.11996,0
10 C,model,0.211038,0.571663,4
10 C,model,0.0789819,0.156389,0
10 C,model,0.168415,0.424272,0
10 C,model,0.103656,0.13935,0
10 C,model,0.106033,0.293582,0
10 C,model,0.119568,0.351769,0
10 C,model,0.10456,0.121305,0
10 C,model,0.0698754,0.0425873,0
10 C,model,0.0886627,0.162815,0
10 C,model,0.0847044,0.188675,0
10 C,model,0.219099,0.570535,4
10 C,model,0.0827943,0.175691,0
10 C,model,0.167177,0.438769,0
10 C,model,0.107011,0.115225,0
10 C,model,0.109861,0.288336,0
10 C,model,0.127483,0.398762,0
10 C,model,0.104343,0.129738,0
10 C,model,0.0769488,0.0364118,0
10 C,model,0.0839681,0.161941,0
10 C,model,0.0886904,0.273091,0
10 C,model,0.22147,0.572239,4
10 C,model,0.0829663,0.157938,0
10 C,model,0.171359,0.472619,0
10 C,model,0.11243,0.147439,0
10 C,model,0.111484,0.283455,0
10 C,model,0.139834,0.418621,0
10 C,model,0.107875,0.177906,0
10 C,model,0.0746634,0.0972571,0
10 C,model,0.0889056,0.15707,0
10 C,model,0.0904434,0.250856,0
10 C,model,0.221657,0.562282,4
10 C,model,0.0834963,0.20013,0
10 C,model,0.189526,0.530455,0
10 C,model,0.107492,0.0955945,0
10 C,model,0.11681,0.268494,0
10 C,model,0.141351,0.425674,0
10 C,model,0.110547,0.174765,0
10 C,model,0.0751934,0.158135,0
10 C,model,0.0861162,0.174275,0
10 C,model,0.0907187,0.262844,0
10 C,model,0.217033,0.541042,4
10 C,model,0.0874253,0.226783,0
10 C,model,0.200668,0.625775,0
10 C,model,0.106069,0.135352,0
10 C,model,0.113554,0.283325,0
10 C,model,0.161531,0.466439,0
10 C,model,0.122204,0.1961,0
10 C,model,0.0758914,0.211706,0
10 C,model,0.0826737,0.191158,0
10 C,model,0.0928068,0.238154,0
10 C,model,0.204645,0.510328,4
10 C,model,0.0849949,0.16851,0
10 C,model,0.212845,0.693675,4
10 C,model,0.102627,0.0664449,0
10 C,model,0.112589,0.248368,0
10 C,model,0.174711,0.512769,0
10 C,model,0.116749,0.17626,0
10 C,model,0.0844898,0.208966,0
10 C,model,0.0830193,0.220395,0
10 C,model,0.0843207,0.190281,0
10 C,model,0.211624,0.52243,4
10 C,model,0.0839247,0.1103,0
10 C,model,0.220625,0.710656,4
10 C,model,0.0983317,0.0472778,0
10 C,model,0.115358,0.295406,0
10 C,model,0.185253,0.507319,0
10 C,model,0.120706,0.196542,0
10 C,model,0.0820128,0.243319,0
10 C,model,0.0832296,0.150688,0
10 C,model,0.0893103,0.191767,0
10 C,model,0.200952,0.455889,4
10 C,model,0.0787139,0.073165,0
10 C,model,0.227111,0.731486,4
10 C,model,0.0977019,0.0539074,0
10 C,model,0.109734,0.312914,0
10 C,model,0.196468,0.572669,0
10 C,model,0.12803,0.229548,0
10 C,model,0.0816448,0.239225,0
10 C,model,0.0849937,0.161192,0
10 C,model,0.0937287,0.13327,0
10 C,model,0.189427,0.398769,4
10 C,model,0.0831367,0.020378,0
10 C,model,0.235512,0.752735,4
10 C,model,0.0963454,0.0527798,0
10 C,model,0.110336,0.290156,0
10 C,model,0.209446,0.611974,0
10 C,model,0.139012,0.244943,0
10 C,model,0.0813286,0.199173,0
10 C,model,0.0882562,0.181895,0
10 C,model,0.0850132,0.124174,0
10 C,model,0.172563,0.330309,4
10 C,model,0.0846902,0.0520202,0
10 C,model,0.239875,0.794199,4
10 C,model,0.103931,0.0384184,0
10 C,model,0.107385,0.248262,0
10 C,model,0.22176,0.684455,4
10 C,model,0.127496,0.183088,0
10 C,model,0.0866799,0.169085,0
10 C,model,0.091709,0.211391,0
10 C,model,0.0880456,0.172038,0
10 C,model,0.163576,0.275374,4
10 C,model,0.0857036,0.0648606,0
10 C,model,0.244416,0.8039,4
10 C,model,0.105998,0.0724324,0
10 C,model,0.10256,0.244972,0
10 C,model,0.220326,0.73634,4
10 C,model,0.130774,0.148769,0
10 C,model,0.0911042,0.103144,0
10 C,model,0.0938151,0.211633,0
10 C,model,0.0878836,0.137322,0
10 C,model,0.149899,0.192141,4
10 C,model,0.0876995,0.142942,0
10 C,model,0.244848,0.784621,4
10 C,model,0.103551,0.109241,0
10 C,model,0.106041,0.215314,0
10 C,model,0.229982,0.786559,4
10 C,model,0.132583,0.139545,0
10 C,model,0.0945538,0.060577,0
10 C,model,0.0884669,0.185338,0
10 C,model,0.0843845,0.0316981,0
10 C,model,0.145848,0.158574,4
10 C,model,0.097174,0.221522,0
10 C,model,0.248904,0.797138,4
10 C,model,0.110281,0.203827,0
10 C,model,0.10841,0.23683,0
10 C,model,0.235588,0.772574,4
10 C,model,0.125722,0.145919,0
10 C,model,0.100618,0.112039,0
10 C,model,0.0948833,0.191298,0
10 C,model,0.0877919,0.0555881,0
10 C,model,0.142484,0.107117,4
10 C,model,0.106281,0.318304,0
10 C,model,0.248911,0.813404,4
10 C,model,0.109038,0.192618,0
10 C,model,0.109116,0.187563,0
10 C,model,0.239226,0.76734,4
10 C,model,0.127877,0.166,0
10 C,model,0.0945499,0.166086,0
10 C,model,0.0927407,0.178221,0
10 C,model,0.0908341,0.0598207,0
10 C,model,0.14059,0.0369344,4
10 C,model,0.118175,0.409208,0
10 C,model,0.253591,0.852363,4
10 C,model,0.113095,0.218161,0
10 C,model,0.107161,0.134893,0
10 C,model,0.237282,0.766355,4
10 C,model,0.123386,0.19292,0
10 C,model,0.105611,0.200514,0
10 C,model,0.087787,0.175959,0
10 C,model,0.0922271,0.112614,0
10 C,model,0.139047,0.0493721,4
10 C,model,0.122836,0.451919,0
10 C,model,0.260158,0.879465,4
10 C,model,0.115358,0.23987,0
10 C,model,0.107608,0.0631473,0
10 C,model,0.241112,0.796964,4
10 C,model,0.12728,0.237983,0
10 C,model,0.113018,0.165024,0
10 C,model,0.0869561,0.184708,0
10 C,model,0.0937273,0.178256,0
10 C,model,0.142098,0.103598,4
10 C,model,0.122691,0.444068,0
10 C,model,0.257026,0.86464,4
10 C,model,0.121286,0.260481,0
10 C,model,0.112834,0.0924508,0
10 C,model,0.248626,0.795162,4
10 C,model,0.117665,0.221615,0
10 C,model,0.117966,0.191204,0
10 C,model,0.0889662,0.200361,0
10 C,model,0.0981289,0.203232,0
10 C,model,0.148326,0.171919,4
10 C,model,0.124396,0.436954,0
10 C,model,0.259271,0.870982,4
10 C,model,0.118883,0.307498,0
10 C,model,0.110346,0.0923732,0
10 C,model,0.250174,0.792995,4
10 C,model,0.112391,0.197624,0
10 C,model,0.122608,0.150577,0
10 C,model,0.081678,0.171638,0
10 C,model,0.0981396,0.188041,0
10 C,model,0.16477,0.266583,4
10 C,model,0.13321,0.457955,0
10 C,model,0.256436,0.871511,3
10 C,model,0.11626,0.308659,0
10 C,model,0.110467,0.140176,0
10 C,model,0.259314,0.834846,4
10 C,model,0.121171,0.18502,0
10 C,model,0.124114,0.105912,0
10 C,model,0.0821069,0.0862257,0
10 C,model,0.0998243,0.252677,0
10 C,model,0.174715,0.310872,4
10 C,model,0.150268,0.484251,0
10 C,model,0.256351,0.848543,3
10 C,model,0.115494,0.270888,0
10 C,model,0.116423,0.139017,0
