series,Rg_over_lc,Re_over_lc,position_class
living worms,0.250667,0.807105,4
living worms,0.140224,0.444218,4
living worms,0.19123,0.538577,4
living worms,0.222981,0.55906,4
living worms,0.228545,0.58739,3
living worms,0.0812141,0.277639,4
living worms,0.0911917,0.282534,4
living worms,0.0765111,0.11196,4
living worms,0.133497,0.34859,4
living worms,0.183198,0.448838,0
living worms,0.175135,0.424476,0
living worms,0.178135,0.280609,0
living worms,0.163078,0.414521,0
living worms,0.14904,0.399761,0
living worms,0.170076,0.519059,0
living worms,0.175267,0.249099,0
living worms,0.164098,0.477959,0
living worms,0.156055,0.399052,0
living worms,0.150137,0.475909,0
living worms,0.139817,0.394316,0
living worms,0.143433,0.459371,0
living worms,0.133522,0.276465,0
living worms,0.157075,0.359514,0
living worms,0.176581,0.388742,0
living worms,0.0692815,0.247826,4
living worms,0.0850875,0.0901219,4
living worms,0.0811361,0.295503,4
living worms,0.123451,0.445091,4
living worms,0.174112,0.419794,0
living worms,0.177398,0.445367,0
living worms,0.159992,0.349301,0
living worms,0.170124,0.394815,0
living worms,0.120374,0.215897,0
living worms,0.137568,0.281875,0
living worms,0.151934,0.422811,0
living worms,0.165433,0.361585,0
living worms,0.154529,0.272764,0
living worms,0.152183,0.462995,0
living worms,0.124455,0.401619,0
living worms,0.155021,0.461909,0
living worms,0.149056,0.469951,0
living worms,0.168426,0.272365,0
living worms,0.192022,0.407967,0
living worms,0.153704,0.212309,0
living worms,0.174418,0.170705,0
living worms,0.158555,0.0856441,0
living worms,0.131956,0.276802,0
living worms,0.142105,0.460473,0
living worms,0.158816,0.448984,0
living worms,0.15858,0.36834,0
living worms,0.1457,0.297816,0
living worms,0.0770248,0.259476,4
living worms,0.073127,0.238971,4
living worms,0.0735111,0.260544,4
living worms,0.0835665,0.253355,0
living worms,0.099248,0.00683515,0
living worms,0.101157,0.289072,0
living worms,0.0985837,0.285658,0
living worms,0.0887014,0.0161415,0
living worms,0.111905,0.0134048,0
living worms,0.0995805,0.249996,0
living worms,0.0887603,0.208952,0
living worms,0.0973525,0.179013,0
living worms,0.123115,0.218536,0
living worms,0.122665,0.167609,0
living worms,0.115708,0.00683515,0
living worms,0.0986932,0.0104695,0
living worms,0.114639,0.00781629,0
