series,t_min,translational_msd_mm2,plateau_mm2,plateau_sd_mm2,tau_d_min,window_start_min,window_end_min
living worms,0.0333333,8.54784,15.99,0.0877843,0.665133,0.8,1
living worms,0.0666667,10.8854,15.99,0.0877843,0.665133,0.8,1
living worms,0.1,12.2555,15.99,0.0877843,0.665133,0.8,1
living worms,0.133333,13.2556,15.99,0.0877843,0.665133,0.8,1
living worms,0.166667,13.7468,15.99,0.0877843,0.665133,0.8,1
living worms,0.2,14.0706,15.99,0.0877843,0.665133,0.8,1
living worms,0.233333,14.3743,15.99,0.0877843,0.665133,0.8,1
living worms,0.266667,14.5927,15.99,0.0877843,0.665133,0.8,1
living worms,0.3,14.6927,15.99,0.0877843,0.665133,0.8,1
living worms,0.333333,14.9971,15.99,0.0877843,0.665133,0.8,1
living worms,0.366667,15.0292,15.99,0.0877843,0.665133,0.8,1
living worms,0.4,15.1077,15.99,0.0877843,0.665133,0.8,1
living worms,0.433333,15.2278,15.99,0.0877843,0.665133,0.8,1
living worms,0.466667,15.3123,15.99,0.0877843,0.665133,0.8,1
living worms,0.5,15.4241,15.99,0.0877843,0.665133,0.8,1
living worms,0.533333,15.5757,15.99,0.0877843,0.665133,0.8,1
living worms,0.566667,15.6399,15.99,0.0877843,0.665133,0.8,1
living worms,0.6,15.6687,15.99,0.0877843,0.665133,0.8,1
living worms,0.633333,15.7746,15.99,0.0877843,0.665133,0.8,1
living worms,0.666667,16.0004,15.99,0.0877843,0.665133,0.8,1
living worms,0.7,15.8989,15.99,0.0877843,0.665133,0.8,1
living worms,0.733333,15.842,15.99,0.0877843,0.665133,0.8,1
living worms,0.766667,15.737,15.99,0.0877843,0.665133,0.8,1
living worms,0.8,15.7762,15.99,0.0877843,0.665133,0.8,1
living worms,0.833333,15.8968,15.99,0.0877843,0.665133,0.8,1
living worms,0.866667,15.9762,15.99,0.0877843,0.665133,0.8,1
living worms,0.9,16.0341,15.99,0.0877843,0.665133,0.8,1
living worms,0.933333,15.9603,15.99,0.0877843,0.665133,0.8,1
living worms,0.966667,16.1592,15.99,0.0877843,0.665133,0.8,1
living worms,1,15.9133,15.99,0.0877843,0.665133,0.8,1
living worms,1.03333,15.9536,15.99,0.0877843,0.665133,0.8,1
living worms,1.06667,15.9149,15.99,0.0877843,0.665133,0.8,1
living worms,1.1,15.8262,15.99,0.0877843,0.665133,0.8,1
living worms,1.13333,15.6556,15.99,0.0877843,0.665133,0.8,1
living worms,1.16667,15.2708,15.99,0.0877843,0.665133,0.8,1
living worms,1.2,15.5086,15.99,0.0877843,0.665133,0.8,1
living worms,1.23333,15.4837,15.99,0.0877843,0.665133,0.8,1
living worms,1.26667,15.7609,15.99,0.0877843,0.665133,0.8,1
living worms,1.3,15.6929,15.99,0.0877843,0.665133,0.8,1
living worms,1.33333,15.5895,15.99,0.0877843,0.665133,0.8,1
living worms,1.36667,15.2107,15.99,0.0877843,0.665133,0.8,1
living worms,1.4,14.9939,15.99,0.0877843,0.665133,0.8,1
living worms,1.43333,14.8713,15.99,0.0877843,0.665133,0.8,1
living worms,1.46667,14.869,15.99,0.0877843,0.665133,0.8,1
living worms,1.5,15.0425,15.99,0.0877843,0.665133,0.8,1
living worms,1.53333,14.8237,15.99,0.0877843,0.665133,0.8,1
living worms,1.56667,14.6197,15.99,0.0877843,0.665133,0.8,1
living worms,1.6,15.0226,15.99,0.0877843,0.665133,0.8,1
living worms,1.63333,14.7174,15.99,0.0877843,0.665133,0.8,1
living worms,1.66667,14.2224,15.99,0.0877843,0.665133,0.8,1
