series,Rg_over_lc,Re_over_lc,position_class
living worms,0.0971919,0.109657,0
living worms,0.109218,0.17115,0
living worms,0.119467,0.219419,0
living worms,0.117055,0.191605,0
living worms,0.098435,0.11618,0
living worms,0.0902853,0.18919,0
living worms,0.114438,0.190513,0
living worms,0.120465,0.186574,0
living worms,0.104683,0.2177,0
living worms,0.110949,0.188366,0
living worms,0.110534,0.21436,0
living worms,0.114969,0.0820706,0
living worms,0.106573,0.0287062,0
living worms,0.108179,0.124475,0
living worms,0.115413,0.0319703,0
living worms,0.117793,0.0839874,0
living worms,0.103759,0.109439,0
living worms,0.0972805,0.11216,0
living worms,0.0993536,0.133384,0
living worms,0.10504,0.195239,0
living worms,0.110305,0.159419,0
living worms,0.111722,0.0997601,0
living worms,0.10386,0.0429667,0
living worms,0.105059,0.229665,0
living worms,0.120853,0.228612,0
living worms,0.101846,0.0970836,0
living worms,0.0984771,0.179161,0
living worms,0.113919,0.253069,0
living worms,0.109649,0.242649,0
living worms,0.105318,0.16243,0
living worms,0.105398,0.014688,0
living worms,0.114559,0.0286445,0
living worms,0.0996454,0.228712,0
living worms,0.105269,0.283482,0
living worms,0.10088,0.283107,0
living worms,0.101366,0.273309,0
living worms,0.102307,0.276816,0
living worms,0.110823,0.256456,0
living worms,0.108829,0.191531,0
living worms,0.113539,0.248072,0
living worms,0.107904,0.160045,0
living worms,0.115447,0.145245,0
living worms,0.117199,0.225806,0
living worms,0.130031,0.158379,0
living worms,0.12949,0.197105,0
living worms,0.121015,0.154255,0
living worms,0.124056,0.197709,0
living worms,0.13427,0.218903,0
living worms,0.138886,0.121332,0
living worms,0.129402,0.140543,0
living worms,0.136486,0.0869563,0
living worms,0.140168,0.116111,0
living worms,0.111067,0.117774,0
living worms,0.10893,0.236122,0
living worms,0.108877,0.134335,0
living worms,0.109331,0.204221,0
living worms,0.0980186,0.16365,0
living worms,0.0981671,0.0816494,0
living worms,0.0924157,0.0707917,0
living worms,0.0781248,0.0805043,0
living worms,0.0725593,0.132085,0
living worms,0.0925737,0.0120417,0
living worms,0.107232,0.0239731,0
living worms,0.0989237,0.123749,0
living worms,0.0999287,0.0748943,0
living worms,0.104051,0.108701,0
living worms,0.105088,0.113032,0
living worms,0.114297,0.117391,0
living worms,0.110617,0.0511752,0
living worms,0.107,0.0394927,0
living worms,0.109423,0.0672956,0
living worms,0.122719,0.0590521,0
living worms,0.114082,0.0277668,0
living worms,0.12495,0.232618,0
living worms,0.137112,0.038724,0
living worms,0.127972,0.0600764,0
living worms,0.118422,0.0535229,0
living worms,0.117163,0.130996,0
living worms,0.123043,0.123527,0
living worms,0.110232,0.139571,0
living worms,0.1086,0.123927,0
living worms,0.107741,0.0815085,0
living worms,0.11133,0.180695,0
living worms,0.115229,0.163612,0
living worms,0.126055,0.137071,0
living worms,0.114935,0.150166,0
living worms,0.103657,0.216478,0
living worms,0.1214,0.187406,0
living worms,0.0993874,0.133576,0
living worms,0.0894138,0.0125452,0
living worms,0.0934439,0.157275,0
living worms,0.0928941,0.119681,0
living worms,0.0882667,0.134335,0
living worms,0.0897624,0.0120417,0
living worms,0.0997686,0.0772308,0
living worms,0.105486,0.155948,0
living worms,0.105267,0.0863543,0
living worms,0.104822,0.0680794,0
living worms,0.107333,0.113313,0
living worms,0.123092,0.0219314,0
living worms,0.110673,0.176777,0
living worms,0.0923641,0.146621,0
living worms,0.100842,0.139374,0
living worms,0.106733,0.185776,0
living worms,0.10031,0.215409,0
living worms,0.106224,0.185428,0
living worms,0.121086,0.21543,0
living worms,0.106836,0.226005,0
living worms,0.104149,0.139127,0
living worms,0.100563,0.0279255,0
living worms,0.0886058,0.0543263,0
living worms,0.0962977,0.0439635,0
living worms,0.0905057,0.127271,0
living worms,0.108977,0.0681183,0
living worms,0.101819,0.118538,0
living worms,0.0936232,0.161042,0
living worms,0.0913775,0.143531,0
living worms,0.107354,0.095458,0
living worms,0.104704,0.190513,0
living worms,0.101197,0.185647,0
living worms,0.101892,0.0362961,0
living worms,0.0989819,0.138757,0
living worms,0.104817,0.108653,0
living worms,0.130117,0.168557,0
living worms,0.106248,0.131138,0
living worms,0.0855298,0.170426,0
living worms,0.09615,0.0768635,0
living worms,0.0916857,0.00594699,0
living worms,0.087693,0.0422613,0
living worms,0.101193,0.00808878,0
living worms,0.105142,0.169864,0
living worms,0.105513,0.217931,0
living worms,0.116556,0.240541,0
living worms,0.113428,0.0697853,0
living worms,0.091303,0.108653,0
living worms,0.0870984,0.0312995,0
living worms,0.0945205,0.118709,0
living worms,0.109868,0.227456,0
living worms,0.092635,0.101457,0
living worms,0.100493,0.176561,0
living worms,0.0895512,0.00808878,0
living worms,0.0956811,0.00797872,0
living worms,0.105601,0.279979,0
