panel,series,tau_tr_min,probability_density_per_min,fitted_tau_tr_min,contour_length_mm
A,living worms lc 10-21 mm,0.158204,0.472149,1.30458,
A,living worms lc 10-21 mm,0.188764,1.18713,1.30458,
A,living worms lc 10-21 mm,0.225227,0.994943,1.30458,
A,living worms lc 10-21 mm,0.268733,0.833868,1.30458,
A,living worms lc 10-21 mm,0.320643,0.69887,1.30458,
A,living worms lc 10-21 mm,0.38258,0.585727,1.30458,
A,living worms lc 10-21 mm,0.456482,0.818169,1.30458,
A,living worms lc 10-21 mm,0.544659,0.411427,1.30458,
A,living worms lc 10-21 mm,0.649869,0.5747,1.30458,
A,living worms lc 10-21 mm,0.775401,0.385327,1.30458,
A,living worms lc 10-21 mm,0.925183,0.322945,1.30458,
A,living worms lc 10-21 mm,1.1039,0.338328,1.30458,
A,living worms lc 10-21 mm,1.31713,0.170133,1.30458,
A,living worms lc 10-21 mm,1.57156,0.142589,1.30458,
A,living worms lc 10-21 mm,1.87513,0.15934,1.30458,
A,living worms lc 10-21 mm,2.23734,0.367246,1.30458,
A,living worms lc 10-21 mm,2.66952,0.0839429,1.30458,
A,living worms lc 10-21 mm,3.18518,0.0469021,1.30458,
A,living worms lc 10-21 mm,3.80045,0.117927,1.30458,
A,living worms lc 10-21 mm,4.53457,0.0164725,1.30458,
A,living worms lc 10-21 mm,5.4105,0.0138057,1.30458,
A,living worms lc 23-27 mm,0.158204,1.08737,1.87048,
A,living worms lc 23-27 mm,0.225227,0.763795,1.87048,
A,living worms lc 23-27 mm,0.268733,1.28028,1.87048,
A,living worms lc 23-27 mm,0.320643,1.07301,1.87048,
A,living worms lc 23-27 mm,0.38258,0.449649,1.87048,
A,living worms lc 23-27 mm,0.544659,0.631686,1.87048,
A,living worms lc 23-27 mm,0.649869,0.79413,1.87048,
A,living worms lc 23-27 mm,0.925183,0.557815,1.87048,
A,living worms lc 23-27 mm,1.1039,0.155836,1.87048,
A,living worms lc 23-27 mm,1.31713,0.653035,1.87048,
A,living worms lc 23-27 mm,1.57156,0.218925,1.87048,
A,living worms lc 23-27 mm,1.87513,0.183482,1.87048,
A,living worms lc 23-27 mm,2.23734,0.153778,1.87048,
A,living worms lc 23-27 mm,2.66952,0.193323,1.87048,
A,living worms lc 23-27 mm,3.18518,0.0540084,1.87048,
A,living worms lc 23-27 mm,6.45563,0.0266476,1.87048,
A,living worms lc 23-27 mm,7.70264,0.0223335,1.87048,
A,living worms lc 27-34 mm,0.158204,2.61649,1.58161,
A,living worms lc 27-34 mm,0.188764,0.939813,1.58161,
A,living worms lc 27-34 mm,0.225227,0.525109,1.58161,
A,living worms lc 27-34 mm,0.268733,0.880194,1.58161,
A,living worms lc 27-34 mm,0.320643,0.92212,1.58161,
A,living worms lc 27-34 mm,0.38258,0.618267,1.58161,
A,living worms lc 27-34 mm,0.456482,0.518174,1.58161,
A,living worms lc 27-34 mm,0.544659,0.542856,1.58161,
A,living worms lc 27-34 mm,0.649869,1.36491,1.58161,
A,living worms lc 27-34 mm,0.775401,0.762627,1.58161,
A,living worms lc 27-34 mm,0.925183,0.703079,1.58161,
A,living worms lc 27-34 mm,1.1039,0.267843,1.58161,
A,living worms lc 27-34 mm,1.31713,0.0897923,1.58161,
A,living worms lc 27-34 mm,1.57156,0.0376278,1.58161,
A,living worms lc 27-34 mm,1.87513,0.0630721,1.58161,
A,living worms lc 27-34 mm,2.23734,0.105722,1.58161,
A,living worms lc 27-34 mm,2.66952,0.0664548,1.58161,
A,living worms lc 27-34 mm,3.18518,0.0556962,1.58161,
A,living worms lc 27-34 mm,3.80045,0.0622391,1.58161,
A,living worms lc 27-34 mm,6.45563,0.0091601,1.58161,
A,living worms lc 27-34 mm,9.19053,0.00643426,1.58161,
B,model N=40 (lc = 20 mm),0.158204,0.310678,1.35872,
B,model N=40 (lc = 20 mm),0.188764,0.325476,1.35872,
B,model N=40 (lc = 20 mm),0.225227,0.545568,1.35872,
B,model N=40 (lc = 20 mm),0.268733,0.502968,1.35872,
B,model N=40 (lc = 20 mm),0.320643,0.958046,1.35872,
