panel,series,tau_ec_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,temperature_C,shannon_entropy_H,tau_tr_over_tau_e0,fit_slope_per_H,fit_intercept
A,model,0.03808,0.376255,100,1,0.1,,,,,
A,model,0.039398,1.81918,100,0.35,0.15,,,,,
A,model,0.039314,1.43533,100,0.4,0.15,,,,,
A,model,0.039623,1.23272,100,0.5,0.15,,,,,
A,model,0.038987,0.976761,100,0.65,0.15,,,,,
A,model,0.040609,1.91533,100,0.35,0.2,,,,,
A,model,0.04087,1.68043,100,0.4,0.2,,,,,
A,model,0.040145,1.65379,100,0.5,0.2,,,,,
A,model,0.039166,1.32715,100,0.65,0.2,,,,,
A,model,0.041018,1.46336,100,0.35,0.3,,,,,
A,model,0.040437,1.60283,100,0.4,0.3,,,,,
A,model,0.039971,1.41911,100,0.5,0.3,,,,,
A,model,0.040752,1.4053,100,0.65,0.3,,,,,
A,model,0.032843,1.50992,117.8,0.4,0.103,,,,,
A,model,0.030559,1.24286,120,0.35,0.08,,,,,
A,model,0.031906,1.31181,120,0.4,0.08,,,,,
A,model,0.032077,0.841462,120,0.5,0.08,,,,,
A,model,0.032129,0.548457,120,0.65,0.08,,,,,
A,model,0.032637,1.804,120,0.35,0.1,,,,,
A,model,0.032485,1.57583,120,0.4,0.1,,,,,
A,model,0.032845,0.995161,120,0.5,0.1,,,,,
A,model,0.032121,0.686477,120,0.65,0.1,,,,,
A,model,0.030521,0.367732,120,1,0.1,,,,,
A,model,0.032719,1.80614,120,0.35,0.15,,,,,
A,model,0.032448,1.71688,120,0.4,0.15,,,,,
A,model,0.03307,1.57788,120,0.5,0.15,,,,,
A,model,0.03232,1.06208,120,0.65,0.15,,,,,
A,model,0.033765,1.73804,120,0.35,0.2,,,,,
A,model,0.033194,1.79678,120,0.4,0.2,,,,,
A,model,0.033318,1.24516,120,0.5,0.2,,,,,
A,model,0.032959,1.02273,120,0.65,0.2,,,,,
A,model,0.035765,1.1062,120,0.35,0.3,,,,,
A,model,0.037045,1.00124,120,0.4,0.3,,,,,
A,model,0.035442,0.752711,120,0.5,0.3,,,,,
A,model,0.032692,0.836709,120,0.65,0.3,,,,,
A,model,0.028718,1.589,150,0.35,0.08,,,,,
A,model,0.027389,0.989015,150,0.5,0.08,,,,,
A,model,0.027123,0.592576,150,0.65,0.08,,,,,
A,model,0.028787,1.66831,150,0.35,0.1,,,,,
A,model,0.02824,1.08638,150,0.5,0.1,,,,,
A,model,0.026767,0.79612,150,0.65,0.1,,,,,
A,model,0.030473,1.45918,150,0.35,0.15,,,,,
A,model,0.029465,1.04542,150,0.5,0.15,,,,,
A,model,0.028846,0.592865,150,0.65,0.15,,,,,
A,model,0.020017,0.625635,200,0.4,0.1,,,,,
A,model,0.021812,0.573852,200,0.6,0.1,,,,,
A,living worms,0.178,3.0917,,,,10,,,,
A,living worms,0.485,0.76,,,,20,,,,
A,living worms,0.168,2.1983,,,,30,,,,
B,model,,2.08083,30,0.35,0.08,,5.56777,,,
B,model,,1.50972,30,0.4,0.08,,5.67977,,,
B,model,,1.24282,30,0.5,0.08,,5.74387,,,
B,model,,1.11938,30,0.65,0.08,,5.69178,,,
B,model,,2.72584,30,0.3,0.1,,5.35433,,,
B,model,,2.29572,30,0.35,0.1,,5.43728,,,
B,model,,1.58309,30,0.4,0.1,,5.61291,,,
B,model,,1.33692,30,0.5,0.1,,5.72428,,,
B,model,,1.20643,30,0.65,0.1,,5.71572,,,
B,model,,1.16226,30,0.8,0.1,,5.6594,,,
B,model,,1.01457,30,1,0.1,,5.55923,,,
B,model,,3.11189,30,0.35,0.15,,5.21259,,,
B,model,,2.52953,30,0.4,0.15,,5.30805,,,
B,model,,1.90205,30,0.5,0.15,,5.48814,,,
B,model,,1.6367,30,0.65,0.15,,5.60194,,,
B,model,,4.38803,30,0.3,0.2,,4.91505,,,
B,model,,3.60159,30,0.35,0.2,,5.04606,,,
B,model,,3.28019,30,0.4,0.2,,5.0672,,,
B,model,,2.98084,30,0.5,0.2,,5.21321,,,
B,model,,2.11829,30,0.65,0.2,,5.36568,,,
B,model,,1.59539,30,0.8,0.2,,5.51468,,,
B,model,,1.41281,30,1,0.2,,5.59561,,,
B,model,,3.92951,30,0.3,0.3,,4.78319,,,
B,model,,4.30732,30,0.35,0.3,,4.8178,,,
B,model,,3.45903,30,0.4,0.3,,4.90076,,,
B,model,,3.83253,30,0.5,0.3,,4.95002,,,
B,model,,3.0229,30,0.65,0.3,,5.08062,,,
B,model,,2.42358,30,0.8,0.3,,5.21098,,,
B,model,,1.80706,30,1,0.3,,5.39314,,,
B,model,,1.62334,31,0.414,0.097,,5.64134,,,
B,model,,2.57844,40,0.3,0.1,,5.34062,,,
B,model,,1.75812,40,0.4,0.1,,5.43027,,,
B,model,,1.24446,40,0.5,0.1,,5.68367,,,
B,model,,0.988462,40,0.65,0.1,,5.73255,,,
B,model,,0.876266,40,0.8,0.1,,5.69439,,,
B,model,,0.79745,40,1,0.1,,5.61659,,,
B,model,,4.29917,40,0.3,0.2,,4.91499,,,
B,model,,2.39722,40,0.4,0.2,,5.07468,,,
B,model,,2.0888,40,0.5,0.2,,5.24371,,,
B,model,,1.61993,40,0.65,0.2,,5.42145,,,
B,model,,1.33706,40,0.8,0.2,,5.52545,,,
B,model,,1.02646,40,1,0.2,,5.65704,,,
B,model,,2.89803,40,0.3,0.3,,4.86243,,,
B,model,,2.64709,40,0.5,0.3,,4.96783,,,
B,model,,2.20145,40,0.65,0.3,,5.13318,,,
B,model,,1.91633,40,0.8,0.3,,5.24189,,,
B,model,,1.60696,40,1,0.3,,5.36691,,,
B,model,,1.35554,50,0.35,0.08,,5.59796,,,
B,model,,1.1777,50,0.4,0.08,,5.66282,,,
B,model,,0.944852,50,0.5,0.08,,5.75855,,,
B,model,,0.738875,50,0.65,0.08,,5.74469,,,
B,model,,2.23531,50,0.3,0.1,,5.28592,,,
B,model,,1.91563,50,0.35,0.1,,5.3768,,,
B,model,,1.53184,50,0.4,0.1,,5.48583,,,
B,model,,1.10903,50,0.5,0.1,,5.68329,,,
B,model,,1.057,50,0.6,0.1,,5.6461,,,
B,model,,0.738918,50,0.65,0.1,,5.78026,,,
B,model,,0.728145,50,0.8,0.1,,5.7166,,,
B,model,,0.623842,50,1,0.1,,5.5923,,,
B,model,,2.5145,50,0.35,0.15,,5.16193,,,
B,model,,1.82868,50,0.4,0.15,,5.30258,,,
