series,Rg_over_lc,Re_over_lc,position_class
model,0.112574,0.0903027,0
model,0.104203,0.113341,0
model,0.0867182,0.209963,0
model,0.103418,0.0665562,0
model,0.0979359,0.105955,0
model,0.0855405,0.134558,0
model,0.0976593,0.0985704,0
model,0.0885081,0.21527,0
model,0.110265,0.163913,0
model,0.0832486,0.0329044,0
model,0.111074,0.0721921,0
model,0.108571,0.0848975,0
model,0.0953664,0.168511,0
model,0.111178,0.160692,0
model,0.105771,0.102554,0
model,0.0940717,0.207578,0
model,0.101759,0.124021,0
model,0.0878261,0.134998,0
model,0.113977,0.074977,0
model,0.10225,0.0969123,0
model,0.111745,0.124776,0
model,0.11139,0.117185,0
model,0.0946918,0.0450874,0
model,0.120721,0.238684,0
model,0.119245,0.22013,0
model,0.104631,0.232541,0
model,0.113369,0.157846,0
model,0.0994624,0.111579,0
model,0.118287,0.129942,0
model,0.102026,0.109841,0
model,0.11167,0.0575467,0
model,0.110394,0.158303,0
model,0.0970827,0.0699142,0
model,0.123353,0.202911,0
model,0.126678,0.265729,0
model,0.123311,0.249856,0
model,0.124838,0.256366,0
model,0.103351,0.151964,0
model,0.122326,0.19126,0
model,0.102797,0.122307,0
model,0.126142,0.115905,0
model,0.105958,0.107172,0
model,0.0994032,0.0987587,0
model,0.122522,0.0903547,0
model,0.132137,0.179851,0
model,0.129804,0.233572,0
model,0.136789,0.292867,0
model,0.113619,0.170939,0
model,0.125418,0.160469,0
model,0.102003,0.0898002,0
model,0.132719,0.126842,0
model,0.10078,0.166501,0
model,0.112841,0.167696,0
model,0.12516,0.042404,0
model,0.145032,0.179379,0
model,0.139321,0.22831,0
model,0.144432,0.23401,0
model,0.11839,0.198392,0
model,0.132224,0.100738,0
model,0.103965,0.0743857,0
model,0.134584,0.175753,0
model,0.0968036,0.162989,0
model,0.130078,0.255046,0
model,0.137444,0.0367767,0
model,0.142145,0.187962,0
model,0.145648,0.22779,0
model,0.152067,0.203751,0
model,0.120838,0.245123,0
model,0.128604,0.0796066,0
model,0.106821,0.0956503,0
model,0.136999,0.197453,0
model,0.0956982,0.207927,0
model,0.152601,0.34085,0
model,0.141537,0.0972326,0
model,0.142459,0.133669,0
model,0.139926,0.165674,0
model,0.152337,0.193328,0
model,0.112964,0.217509,0
model,0.130029,0.0653984,0
model,0.112498,0.121897,0
model,0.139294,0.12475,0
model,0.0969383,0.282582,0
model,0.165027,0.399707,0
model,0.139766,0.107781,0
model,0.144008,0.166437,0
model,0.142676,0.133796,0
model,0.156366,0.141354,0
model,0.110404,0.138565,0
model,0.128219,0.0907711,0
model,0.121936,0.150001,0
model,0.139621,0.146016,0
model,0.0994143,0.250184,0
model,0.189565,0.490295,0
model,0.131999,0.0890355,0
model,0.149184,0.109327,0
model,0.143089,0.113565,0
model,0.154018,0.146888,0
model,0.118263,0.0987387,0
model,0.125605,0.170676,0
model,0.123606,0.058965,0
model,0.146626,0.131997,0
model,0.105166,0.170279,0
model,0.199798,0.537213,0
model,0.126782,0.0500446,0
model,0.148995,0.0872993,0
model,0.140429,0.151632,0
model,0.153731,0.14919,0
model,0.119892,0.0868236,0
model,0.124851,0.210706,0
model,0.127321,0.059227,0
model,0.144207,0.132927,0
model,0.104927,0.118105,0
model,0.208121,0.565529,0
model,0.122094,0.0932231,0
model,0.145323,0.137109,0
model,0.135886,0.218402,0
model,0.152748,0.225662,0
model,0.118779,0.0457843,0
model,0.11972,0.238599,0
model,0.119919,0.0945258,0
model,0.14297,0.1844,0
model,0.105351,0.0317906,0
model,0.202486,0.511476,0
model,0.121959,0.0774295,0
model,0.150477,0.190363,0
model,0.129982,0.28233,0
model,0.14645,0.256829,0
model,0.121801,0.0344938,0
model,0.111496,0.254062,0
model,0.115118,0.155326,0
model,0.14331,0.187064,0
model,0.11604,0.0588136,0
model,0.18755,0.43807,0
model,0.126778,0.0755742,0
model,0.163219,0.289925,0
model,0.121339,0.284065,0
model,0.147308,0.274582,0
model,0.118522,0.0625627,0
model,0.101367,0.254184,0
model,0.104047,0.18255,0
model,0.124563,0.237541,0
model,0.122572,0.103831,0
model,0.182335,0.373579,4
model,0.113432,0.122543,0
model,0.170752,0.298677,0
model,0.114356,0.234256,0
model,0.137232,0.289826,0
model,0.113393,0.0551648,0
model,0.102155,0.232663,0
model,0.0998189,0.187296,0
model,0.116969,0.233222,0
model,0.124156,0.107911,0
model,0.167329,0.293552,4
model,0.115972,0.111455,0
model,0.175718,0.337046,0
model,0.118565,0.20195,0
model,0.129997,0.292263,0
model,0.111933,0.0648351,0
model,0.0980744,0.24919,0
model,0.100468,0.171675,0
model,0.11655,0.189351,0
model,0.120977,0.105885,0
model,0.14811,0.16936,4
model,0.11608,0.118485,0
model,0.167883,0.323252,0
model,0.120378,0.159711,0
model,0.116442,0.196357,0
model,0.112625,0.1522,0
model,0.091574,0.264179,0
model,0.0969429,0.130216,0
model,0.109843,0.185259,0
model,0.120704,0.125757,0
model,0.141307,0.0792052,4
model,0.111811,0.123293,0
model,0.15511,0.271902,0
model,0.115811,0.125724,0
model,0.106115,0.13881,0
model,0.110236,0.189779,0
model,0.0921203,0.251685,0
model,0.0922212,0.133864,0
model,0.107197,0.251733,0
model,0.128433,0.101023,0
model,0.136957,0.0715893,4
model,0.108447,0.11266,0
model,0.138535,0.241036,0
model,0.110473,0.138685,0
model,0.101513,0.127417,0
model,0.113437,0.208164,0
model,0.0897582,0.198804,0
model,0.091011,0.111865,0
model,0.0995715,0.222036,0
model,0.12843,0.191913,0
model,0.145083,0.156133,4
model,0.103888,0.101097,0
model,0.12422,0.164772,0
model,0.107405,0.116203,0
model,0.0943112,0.149117,0
model,0.108209,0.0994417,0
model,0.0922825,0.23023,0
model,0.0897234,0.150684,0
model,0.0937821,0.226592,0
model,0.128189,0.259327,0
model,0.15878,0.235087,4
model,0.107675,0.110498,0
model,0.127181,0.0506467,0
model,0.108606,0.108616,0
model,0.0955825,0.0799611,0
model,0.108831,0.158024,0
model,0.094496,0.267499,0
model,0.0911941,0.157451,0
model,0.088365,0.130306,0
model,0.130763,0.286473,0
model,0.178743,0.32417,4
model,0.111083,0.141941,0
model,0.126014,0.069196,0
model,0.103849,0.115971,0
model,0.0969977,0.14606,0
model,0.108782,0.224566,0
model,0.100798,0.26309,0
model,0.0871934,0.116303,0
model,0.0869604,0.150724,0
model,0.12922,0.289156,0
model,0.194683,0.41024,4
model,0.104274,0.136723,0
model,0.134547,0.103358,0
model,0.107233,0.0749409,0
model,0.0913894,0.201256,0
model,0.106535,0.240292,0
model,0.106858,0.210273,0
