series,t_min,translational_msd_mm2,plateau_mm2,plateau_sd_mm2,tau_d_min,window_start_min,window_end_min
living worms,0.0333333,5.9721,16.4039,0.141513,0.728004,0.8,1
living worms,0.0666667,8.49511,16.4039,0.141513,0.728004,0.8,1
living worms,0.1,10.1964,16.4039,0.141513,0.728004,0.8,1
living worms,0.133333,11.4894,16.4039,0.141513,0.728004,0.8,1
living worms,0.166667,12.7724,16.4039,0.141513,0.728004,0.8,1
living worms,0.2,13.4913,16.4039,0.141513,0.728004,0.8,1
living worms,0.233333,14.0737,16.4039,0.141513,0.728004,0.8,1
living worms,0.266667,14.425,16.4039,0.141513,0.728004,0.8,1
living worms,0.3,14.843,16.4039,0.141513,0.728004,0.8,1
living worms,0.333333,15.1057,16.4039,0.141513,0.728004,0.8,1
living worms,0.366667,15.2253,16.4039,0.141513,0.728004,0.8,1
living worms,0.4,15.4139,16.4039,0.141513,0.728004,0.8,1
living worms,0.433333,15.7886,16.4039,0.141513,0.728004,0.8,1
living worms,0.466667,15.7438,16.4039,0.141513,0.728004,0.8,1
living worms,0.5,15.955,16.4039,0.141513,0.728004,0.8,1
living worms,0.533333,15.8876,16.4039,0.141513,0.728004,0.8,1
living worms,0.566667,15.8001,16.4039,0.141513,0.728004,0.8,1
living worms,0.6,15.9642,16.4039,0.141513,0.728004,0.8,1
living worms,0.633333,16.0683,16.4039,0.141513,0.728004,0.8,1
living worms,0.666667,15.9459,16.4039,0.141513,0.728004,0.8,1
living worms,0.7,16.0167,16.4039,0.141513,0.728004,0.8,1
living worms,0.733333,16.4776,16.4039,0.141513,0.728004,0.8,1
living worms,0.766667,16.3083,16.4039,0.141513,0.728004,0.8,1
living worms,0.8,16.2856,16.4039,0.141513,0.728004,0.8,1
living worms,0.833333,16.2701,16.4039,0.141513,0.728004,0.8,1
living worms,0.866667,16.4659,16.4039,0.141513,0.728004,0.8,1
living worms,0.9,16.615,16.4039,0.141513,0.728004,0.8,1
living worms,0.933333,16.4964,16.4039,0.141513,0.728004,0.8,1
living worms,0.966667,16.192,16.4039,0.141513,0.728004,0.8,1
living worms,1,16.384,16.4039,0.141513,0.728004,0.8,1
living worms,1.03333,16.1004,16.4039,0.141513,0.728004,0.8,1
living worms,1.06667,15.9799,16.4039,0.141513,0.728004,0.8,1
living worms,1.1,15.847,16.4039,0.141513,0.728004,0.8,1
living worms,1.13333,15.8653,16.4039,0.141513,0.728004,0.8,1
living worms,1.16667,15.414,16.4039,0.141513,0.728004,0.8,1
living worms,1.2,14.9088,16.4039,0.141513,0.728004,0.8,1
living worms,1.23333,15.5609,16.4039,0.141513,0.728004,0.8,1
living worms,1.26667,15.2247,16.4039,0.141513,0.728004,0.8,1
living worms,1.3,14.9818,16.4039,0.141513,0.728004,0.8,1
living worms,1.33333,14.6381,16.4039,0.141513,0.728004,0.8,1
living worms,1.36667,14.5282,16.4039,0.141513,0.728004,0.8,1
living worms,1.4,13.6441,16.4039,0.141513,0.728004,0.8,1
living worms,1.43333,13.586,16.4039,0.141513,0.728004,0.8,1
living worms,1.46667,13.7815,16.4039,0.141513,0.728004,0.8,1
