series,Rg_over_lc,Re_over_lc,position_class
living worms,0.061208,0.187552,0
living worms,0.0744119,0.194863,0
living worms,0.102131,0.0297349,0
living worms,0.0936744,0.253009,0
living worms,0.0675733,0.222853,0
living worms,0.0907137,0.284587,0
living worms,0.082327,0.254855,0
living worms,0.0910044,0.213202,0
living worms,0.0910545,0.00716112,0
living worms,0.0899934,0.156045,0
living worms,0.129166,0.145331,0
living worms,0.122306,0.318156,0
living worms,0.0934386,0.228201,0
living worms,0.0996594,0.258749,0
living worms,0.101644,0.103013,0
living worms,0.104178,0.273465,0
living worms,0.0978041,0.142734,0
living worms,0.0989734,0.176261,0
living worms,0.0786096,0.250216,0
living worms,0.0681407,0.00678061,0
living worms,0.0683051,0.0739079,0
living worms,0.0867992,0.189396,0
living worms,0.0959195,0.142492,0
living worms,0.0819074,0.105381,0
living worms,0.0960897,0.263533,0
living worms,0.0898149,0.270431,0
living worms,0.0674854,0.203323,0
living worms,0.108764,0.185456,0
living worms,0.102729,0.158043,0
living worms,0.0992172,0.219978,0
living worms,0.0981674,0.00664894,0
living worms,0.0776111,0.22777,0
living worms,0.111852,0.247247,0
living worms,0.101588,0.231559,0
living worms,0.108808,0.252597,0
living worms,0.106849,0.190902,0
living worms,0.0856986,0.200286,0
living worms,0.0914559,0.21538,0
living worms,0.100648,0.0460844,0
living worms,0.0977809,0.26072,0
living worms,0.114739,0.330978,0
living worms,0.104682,0.290993,0
living worms,0.122971,0.00940302,0
living worms,0.0989566,0.214793,0
living worms,0.113965,0.21338,0
living worms,0.0709247,0.0558669,0
living worms,0.0666491,0.00797872,0
living worms,0.091305,0.239055,0
living worms,0.0856978,0.182574,0
living worms,0.0725691,0.146572,0
living worms,0.113816,0.247301,0
living worms,0.0758671,0.144513,0
living worms,0.0940702,0.284316,0
living worms,0.103461,0.232713,0
living worms,0.0769414,0.185218,0
living worms,0.076484,0.229711,0
living worms,0.0876815,0.0897286,0
living worms,0.0722539,0.195601,0
living worms,0.0981709,0.10849,0
living worms,0.108883,0.145312,0
living worms,0.0963048,0.218381,0
living worms,0.110812,0.250117,0
living worms,0.0981051,0.300888,0
living worms,0.0859393,0.216723,0
living worms,0.0798175,0.172698,0
living worms,0.0916206,0.185914,0
living worms,0.109335,0.208077,0
living worms,0.106137,0.259721,0
living worms,0.12094,0.317371,0
living worms,0.133826,0.110019,0
living worms,0.15222,0.361998,0
living worms,0.217702,0.652209,4
living worms,0.196684,0.549899,4
living worms,0.189902,0.553604,4
living worms,0.129136,0.361741,4
living worms,0.136858,0.43698,4
living worms,0.151365,0.0112836,0
living worms,0.164897,0.399738,0
living worms,0.132286,0.331234,0
living worms,0.179254,0.520049,0
living worms,0.150417,0.449486,0
living worms,0.140031,0.023788,0
living worms,0.164383,0.482304,0
living worms,0.143246,0.414213,0
living worms,0.0737752,0.00841031,4
living worms,0.116056,0.388482,4
living worms,0.0591536,0.180973,4
living worms,0.125376,0.233759,4
living worms,0.153954,0.00841031,4
living worms,0.107839,0.370097,4
living worms,0.115159,0.169014,4
living worms,0.127691,0.373396,4
living worms,0.15616,0.368533,4
living worms,0.0936024,0.00594699,4
living worms,0.110966,0.329382,4
living worms,0.113854,0.399346,4
living worms,0.16598,0.362047,0
living worms,0.135515,0.400604,0
living worms,0.190206,0.453839,0
living worms,0.1942,0.388136,0
living worms,0.1734,0.459795,4
living worms,0.172541,0.437063,0
living worms,0.150915,0.383956,0
living worms,0.0945786,0.245604,4
living worms,0.073108,0.254156,0
living worms,0.0930083,0.241659,0
living worms,0.0726345,0.172057,0
living worms,0.104256,0.155767,0
living worms,0.120175,0.105733,0
living worms,0.112211,0.233092,0
living worms,0.125938,0.13983,0
living worms,0.113552,0.326018,0
living worms,0.0988306,0.130102,0
living worms,0.0694369,0.180013,0
living worms,0.0871446,0.266386,0
living worms,0.0992941,0.133748,0
living worms,0.109247,0.349661,0
living worms,0.0941668,0.224356,0
living worms,0.109105,0.126127,0
living worms,0.108457,0.0479646,0
living worms,0.0831238,0.256625,0
living worms,0.0960003,0.251755,0
living worms,0.131294,0.424277,0
living worms,0.0823515,0.304533,0
living worms,0.11177,0.013691,0
living worms,0.110243,0.34798,0
living worms,0.132026,0.382417,0
living worms,0.11943,0.342014,0
living worms,0.135302,0.420215,0
living worms,0.0736522,0.175436,0
living worms,0.174389,0.209162,0
living worms,0.116859,0.296077,0
living worms,0.144413,0.203462,0
living worms,0.132236,0.411891,0
living worms,0.0829695,0.192714,0
living worms,0.144117,0.417208,0
living worms,0.0803717,0.0896596,0
living worms,0.109759,0.00851479,0
living worms,0.0952653,0.253697,0
living worms,0.0994157,0.169348,0
living worms,0.0997445,0.018474,0
living worms,0.0738598,0.0973927,0
living worms,0.110632,0.0768635,0
living worms,0.083524,0.117119,0
living worms,0.0915757,0.13691,0
living worms,0.136207,0.2386,0
living worms,0.0708324,0.227456,0
living worms,0.110948,0.0381025,0
living worms,0.101365,0.105263,0
living worms,0.128063,0.0174906,0
living worms,0.148932,0.396718,0
living worms,0.112243,0.140888,0
living worms,0.0932148,0.0201233,0
living worms,0.159821,0.389119,0
living worms,0.111619,0.0333244,0
living worms,0.0893762,0.244916,0
living worms,0.110544,0.302084,0
living worms,0.10533,0.129673,0
living worms,0.108987,0.188661,0
living worms,0.0678691,0.0177416,0
living worms,0.0569361,0.167574,0
living worms,0.0850177,0.0858511,0
living worms,0.0953003,0.0201233,0
living worms,0.0873403,0.151974,0
living worms,0.0904932,0.129755,0
living worms,0.0935235,0.185561,0
living worms,0.111852,0.171011,0
living worms,0.0998144,0.111805,0
living worms,0.0946203,0.010386,0
living worms,0.0898679,0.258465,0
living worms,0.104108,0.0598404,0
living worms,0.113332,0.0511579,0
living worms,0.118365,0.154827,0
living worms,0.11999,0.169489,0
living worms,0.104368,0.104268,0
living worms,0.0714301,0.17042,0
living worms,0.107081,0.15477,0
living worms,0.0992802,0.26771,0
living worms,0.103771,0.285731,0
living worms,0.124866,0.176025,0
living worms,0.0951484,0.0903668,0
living worms,0.0945131,0.0107211,0
living worms,0.123231,0.138815,0
living worms,0.103236,0.150542,0
living worms,0.101896,0.0455246,0
living worms,0.101374,0.199566,0
living worms,0.0834612,0.260977,0
living worms,0.0858123,0.134177,0
living worms,0.0733943,0.0120417,0
living worms,0.0954544,0.212037,0
living worms,0.117706,0.237656,0
living worms,0.0705497,0.111781,0
living worms,0.0947322,0.282069,0
living worms,0.0962774,0.0346766,0
living worms,0.0938013,0.171378,0
living worms,0.097847,0.0114393,0
living worms,0.110532,0.230939,0
living worms,0.0660544,0.0683904,0
living worms,0.0681952,0.235008,0
living worms,0.0850797,0.232382,0
living worms,0.0830449,0.174238,0
