series,Rg_over_lc,Re_over_lc,position_class
model,0.136979,0.137306,0
model,0.134453,0.0559622,0
model,0.119296,0.332176,0
model,0.219361,0.70186,4
model,0.109938,0.107557,0
model,0.0914297,0.183127,0
model,0.0794953,0.158774,0
model,0.0966491,0.239978,0
model,0.12755,0.197014,0
model,0.0651966,0.0612142,0
model,0.149384,0.137265,0
model,0.138589,0.120971,0
model,0.119216,0.248648,4
model,0.234332,0.739011,4
model,0.115926,0.0358041,4
model,0.0899842,0.135669,0
model,0.078239,0.206755,0
model,0.0972271,0.211411,0
model,0.146755,0.285008,0
model,0.0606748,0.118205,0
model,0.149674,0.114999,0
model,0.134456,0.161865,0
model,0.11143,0.222769,4
model,0.245215,0.807596,4
model,0.119973,0.0576167,4
model,0.0876425,0.0788081,0
model,0.0830287,0.27281,0
model,0.104568,0.176716,0
model,0.15354,0.241915,0
model,0.0611892,0.11413,0
model,0.147268,0.0979092,0
model,0.126928,0.0682718,0
model,0.106193,0.125272,4
model,0.246166,0.826455,4
model,0.132331,0.18999,4
model,0.0822382,0.0649938,0
model,0.0911568,0.203249,0
model,0.123465,0.224919,0
model,0.159832,0.133884,0
model,0.0634646,0.0450147,0
model,0.13888,0.14158,0
model,0.134497,0.0815851,0
model,0.114811,0.127973,4
model,0.246903,0.83721,4
model,0.15,0.291413,4
model,0.0847675,0.0479977,0
model,0.0971952,0.0860718,0
model,0.139202,0.293384,0
model,0.15807,0.150371,0
model,0.0742904,0.180805,0
model,0.139138,0.181833,0
model,0.136561,0.16889,0
model,0.12899,0.176686,4
model,0.244501,0.824272,3
model,0.171002,0.392131,0
model,0.0896134,0.0948912,0
model,0.106395,0.0513212,0
model,0.148307,0.260882,0
model,0.155135,0.103355,0
model,0.0889989,0.254574,0
model,0.128808,0.173698,0
model,0.131265,0.262178,0
model,0.148279,0.206909,4
model,0.248726,0.842078,3
model,0.176435,0.455875,0
model,0.0908167,0.0377712,0
model,0.106464,0.0396977,0
model,0.166394,0.373849,0
model,0.153822,0.133639,0
model,0.0901619,0.263175,0
model,0.116198,0.175401,0
model,0.123668,0.277325,0
model,0.176122,0.33823,4
model,0.249917,0.843945,3
model,0.151631,0.433515,0
model,0.0860155,0.161431,0
model,0.111224,0.0871868,0
model,0.181597,0.536132,0
model,0.150152,0.121675,0
model,0.0856011,0.181952,0
model,0.1004,0.125296,0
model,0.109752,0.16856,0
model,0.186381,0.393792,4
model,0.249038,0.847465,3
model,0.121044,0.373722,0
model,0.0878474,0.286595,0
model,0.112047,0.138994,0
model,0.194803,0.653645,0
model,0.147314,0.130257,0
model,0.0921436,0.0945746,0
model,0.0950511,0.0786124,0
model,0.102734,0.226568,0
model,0.194707,0.531053,4
model,0.251949,0.858627,2
model,0.100651,0.273968,0
model,0.0901643,0.242558,0
model,0.105952,0.189243,0
model,0.209813,0.726402,0
model,0.147551,0.174205,0
model,0.0964477,0.140982,0
model,0.0933504,0.0452678,0
model,0.0894568,0.259564,0
model,0.175368,0.58192,0
model,0.251875,0.863533,2
model,0.0824887,0.194934,0
model,0.0895136,0.155318,0
model,0.0980235,0.20031,0
model,0.22621,0.746981,4
model,0.147021,0.205862,0
model,0.102999,0.140971,0
model,0.0941567,0.154293,0
model,0.0805076,0.229858,0
model,0.151948,0.47595,0
model,0.255006,0.867318,2
model,0.0770448,0.193623,0
model,0.0931763,0.0667869,0
model,0.0875078,0.169359,0
model,0.246721,0.770162,4
model,0.141629,0.267623,0
model,0.108818,0.138953,0
model,0.0956363,0.164275,0
model,0.0830354,0.17651,0
model,0.124836,0.309578,0
model,0.254985,0.866485,2
model,0.0657255,0.107767,0
model,0.100829,0.110758,0
model,0.0816658,0.103692,0
model,0.259314,0.857731,4
model,0.128794,0.213242,0
model,0.108844,0.0996322,0
model,0.0978708,0.150997,0
model,0.0808514,0.114389,0
model,0.102262,0.15262,0
model,0.254383,0.83513,2
model,0.0626655,0.093663,0
model,0.10023,0.110686,0
model,0.0856571,0.0678512,0
model,0.269169,0.885244,4
model,0.119445,0.137173,0
model,0.107278,0.0847473,0
model,0.111844,0.219966,0
model,0.0829665,0.0636512,0
model,0.0924358,0.0626415,0
model,0.251384,0.845744,1
model,0.0588234,0.0925252,0
model,0.113335,0.123658,0
model,0.0900258,0.197466,0
model,0.256953,0.7689,4
model,0.109663,0.175036,0
model,0.111764,0.177468,0
model,0.116083,0.248291,0
model,0.0948836,0.213995,0
model,0.105932,0.181829,0
model,0.242825,0.721594,1
model,0.0560999,0.0607868,0
model,0.118858,0.137541,0
model,0.0914883,0.223998,0
model,0.229479,0.585238,3
model,0.114009,0.230424,0
model,0.110429,0.248973,0
model,0.122095,0.178511,0
model,0.103657,0.297101,0
model,0.121271,0.231199,0
model,0.219323,0.573852,1
model,0.0566536,0.132139,0
model,0.122099,0.14497,0
model,0.0960216,0.182334,0
model,0.198331,0.421456,3
model,0.121642,0.23258,0
model,0.106368,0.290474,0
model,0.130171,0.205408,0
model,0.10767,0.310045,0
model,0.133758,0.20963,0
model,0.183282,0.370356,1
model,0.0560267,0.140306,0
model,0.118355,0.132789,0
model,0.102762,0.12692,0
model,0.163868,0.251997,3
model,0.119886,0.195261,0
model,0.107219,0.274954,0
model,0.125404,0.272146,0
model,0.118897,0.24549,0
model,0.125163,0.158807,0
model,0.155256,0.199712,1
model,0.0615959,0.0776716,0
model,0.109534,0.228613,0
model,0.119959,0.195438,0
model,0.14245,0.080242,3
model,0.111916,0.247613,0
model,0.112647,0.341491,0
model,0.121707,0.311004,0
model,0.136698,0.371945,0
model,0.113683,0.201729,0
model,0.140236,0.0322496,1
model,0.0645395,0.056779,0
model,0.0949804,0.24086,0
model,0.130987,0.149505,0
model,0.145375,0.11828,3
model,0.106822,0.261363,0
model,0.10416,0.301871,0
model,0.114485,0.284842,0
model,0.147839,0.472125,0
model,0.102496,0.201229,0
model,0.152182,0.165459,1
model,0.0694195,0.0503597,0
model,0.084587,0.152578,0
model,0.129451,0.191766,0
