series,t_min,x_cm_mm
model 20 C,6.41667,86.8194
model 20 C,6.43333,87.8231
model 20 C,6.45,88.7641
model 20 C,6.46667,89.6732
model 20 C,6.48333,90.3169
model 20 C,6.5,91.0947
model 20 C,6.51667,91.7045
model 20 C,6.53333,92.2904
model 20 C,6.55,92.6742
model 20 C,6.56667,93.0938
model 20 C,6.58333,93.228
model 20 C,6.6,93.4207
model 20 C,6.61667,93.3845
model 20 C,6.63333,93.3821
model 20 C,6.65,93.2057
model 20 C,6.66667,92.916
model 20 C,6.68333,92.7016
model 20 C,6.7,92.5174
model 20 C,6.71667,92.5047
model 20 C,6.73333,92.6811
model 20 C,6.75,92.3829
model 20 C,6.76667,92.0591
model 20 C,6.78333,91.7562
model 20 C,6.8,91.5289
model 20 C,6.81667,91.3474
model 20 C,6.83333,91.315
model 20 C,6.85,91.4153
model 20 C,6.86667,91.1544
model 20 C,6.88333,91.1423
model 20 C,6.9,91.1967
model 20 C,6.91667,91.2635
model 20 C,6.93333,91.4547
model 20 C,6.95,91.6211
model 20 C,6.96667,91.6348
model 20 C,6.98333,91.6306
model 20 C,7,91.603
model 20 C,7.01667,91.944
model 20 C,7.03333,91.9048
model 20 C,7.05,91.8756
model 20 C,7.06667,92.2142
model 20 C,7.08333,92.3761
model 20 C,7.1,92.2362
model 20 C,7.11667,92.2322
model 20 C,7.13333,92.4895
model 20 C,7.15,92.5216
model 20 C,7.16667,92.5294
model 20 C,7.18333,92.5134
model 20 C,7.2,92.3226
model 20 C,7.21667,91.9885
model 20 C,7.23333,91.7948
model 20 C,7.25,91.6199
model 20 C,7.26667,91.4434
model 20 C,7.28333,91.3989
model 20 C,7.3,91.3119
model 20 C,7.31667,91.3127
model 20 C,7.33333,91.1137
model 20 C,7.35,90.7623
model 20 C,7.36667,90.5947
model 20 C,7.38333,90.2023
model 20 C,7.4,89.8855
model 20 C,7.41667,89.5552
model 20 C,7.43333,89.1068
model 20 C,7.45,88.6128
model 20 C,7.46667,87.9018
model 20 C,7.48333,87.4138
model 20 C,7.5,86.4616
model 20 C,7.51667,85.4032
model 20 C,7.53333,84.4661
model 20 C,7.55,83.5085
model 20 C,7.56667,82.3325
model 20 C,7.58333,81.3556
model 20 C,7.6,80.2833
model 20 C,7.61667,79.1148
model 20 C,7.63333,78.0755
model 20 C,7.65,76.8952
model 20 C,7.66667,75.816
model 20 C,7.68333,74.7249
model 20 C,7.7,73.5831
model 20 C,7.71667,72.3522
model 20 C,7.73333,71.247
model 20 C,7.75,70.1663
model 20 C,7.76667,69.0504
model 20 C,7.78333,67.8383
model 20 C,7.8,66.8606
model 20 C,7.81667,66.1105
model 20 C,7.83333,65.6983
model 20 C,7.85,65.005
model 20 C,7.86667,64.7489
model 20 C,7.88333,64.6668
model 20 C,7.9,64.4367
model 20 C,7.91667,64.5062
model 20 C,7.93333,64.8875
model 20 C,7.95,65.1443
model 20 C,7.96667,65.8361
model 20 C,7.98333,66.6011
model 20 C,8,67.5515
model 20 C,8.01667,68.4782
model 20 C,8.03333,69.776
model 20 C,8.05,70.8798
model 20 C,8.06667,71.9674
model 20 C,8.08333,73.0397
model 20 C,8.1,74.0537
model 20 C,8.11667,75.1056
model 20 C,8.13333,76.1037
model 20 C,8.15,76.9507
model 20 C,8.16667,77.7968
model 20 C,8.18333,78.456
model 20 C,8.2,78.9235
model 20 C,8.21667,79.3518
model 20 C,8.23333,79.6356
model 20 C,8.25,79.8202
model 20 C,8.26667,79.7766
model 20 C,8.28333,79.5405
model 20 C,8.3,79.2045
model 20 C,8.31667,78.6517
model 20 C,8.33333,77.9564
model 20 C,8.35,76.9952
model 20 C,8.36667,75.9689
model 20 C,8.38333,74.656
model 20 C,8.4,73.6085
model 20 C,8.41667,72.5131
model 20 C,8.43333,71.2932
model 20 C,8.45,69.992
model 20 C,8.46667,68.8384
model 20 C,8.48333,67.7475
model 20 C,8.5,66.5626
model 20 C,8.51667,65.3516
model 20 C,8.53333,64.1839
model 20 C,8.55,63.1134
model 20 C,8.56667,61.9643
model 20 C,8.58333,60.6838
model 20 C,8.6,59.5968
model 20 C,8.61667,58.3751
model 20 C,8.63333,57.3922
model 20 C,8.65,56.5018
model 20 C,8.66667,55.5645
model 20 C,8.68333,54.8499
model 20 C,8.7,54.3409
model 20 C,8.71667,53.7991
model 20 C,8.73333,53.4974
model 20 C,8.75,53.3947
model 20 C,8.76667,53.2741
model 20 C,8.78333,53.4838
model 20 C,8.8,53.9885
model 20 C,8.81667,54.5384
model 20 C,8.83333,55.0385
model 20 C,8.85,55.8496
model 20 C,8.86667,56.8124
model 20 C,8.88333,57.8453
model 20 C,8.9,58.994
model 20 C,8.91667,60.0166
model 20 C,8.93333,61.1771
model 20 C,8.95,62.2093
model 20 C,8.96667,63.331
model 20 C,8.98333,64.3767
model 20 C,9,65.3495
model 20 C,9.01667,66.45
model 20 C,9.03333,67.3431
model 20 C,9.05,68.3451
model 20 C,9.06667,68.9973
model 20 C,9.08333,69.5164
model 20 C,9.1,70.0185
model 20 C,9.11667,70.3992
model 20 C,9.13333,70.4667
model 20 C,9.15,70.3658
model 20 C,9.16667,70.3897
model 20 C,9.18333,70.0548
model 20 C,9.2,69.6829
model 20 C,9.21667,69.2459
model 20 C,9.23333,68.51
model 20 C,9.25,67.7326
model 20 C,9.26667,66.4901
model 20 C,9.28333,65.2179
model 20 C,9.3,64.0552
model 20 C,9.31667,62.961
model 20 C,9.33333,61.9115
model 20 C,9.35,60.902
model 20 C,9.36667,59.7711
model 20 C,9.38333,58.604
model 20 C,9.4,57.4291
model 20 C,9.41667,56.3565
model 20 C,9.43333,55.08
model 20 C,9.45,53.9042
model 20 C,9.46667,52.8456
model 20 C,9.48333,51.6994
model 20 C,9.5,50.701
model 20 C,9.51667,49.6342
model 20 C,9.53333,48.5087
model 20 C,9.55,47.3678
model 20 C,9.56667,46.2518
model 20 C,9.58333,45.0814
model 20 C,9.6,43.951
model 20 C,9.61667,42.9877
model 20 C,9.63333,41.8383
model 20 C,9.65,40.9423
model 20 C,9.66667,40.3958
model 20 C,9.68333,39.9121
model 20 C,9.7,39.4997
model 20 C,9.71667,39.3498
model 20 C,9.73333,39.2493
model 20 C,9.75,39.2649
model 20 C,9.76667,39.389
model 20 C,9.78333,39.7579
model 20 C,9.8,40.2285
model 20 C,9.81667,40.6618
model 20 C,9.83333,41.1736
model 20 C,9.85,41.7813
model 20 C,9.86667,42.2308
model 20 C,9.88333,42.4827
model 20 C,9.9,42.8734
model 20 C,9.91667,43.0761
model 20 C,9.93333,42.9196
model 20 C,9.95,42.6624
model 20 C,9.96667,42.1546
model 20 C,9.98333,41.4816
model 20 C,10,40.6493
model 20 C,10.0167,39.728
model 20 C,10.0333,38.6628
model 20 C,10.05,37.6184
model 20 C,10.0667,36.6673
model 20 C,10.0833,35.5286
model 20 C,10.1,34.4617
model 20 C,10.1167,33.364
model 20 C,10.1333,32.2735
model 20 C,10.15,31.1288
model 20 C,10.1667,29.9455
model 20 C,10.1833,28.7074
model 20 C,10.2,27.3727
model 20 C,10.2167,26.2553
model 20 C,10.2333,25.0232
model 20 C,10.25,23.8979
model 20 C,10.2667,22.8009
model 20 C,10.2833,21.5902
model 20 C,10.3,20.3981
model 20 C,10.3167,19.3612
model 20 C,10.3333,18.2508
model 20 C,10.35,17.1289
model 20 C,10.3667,15.7048
model 20 C,10.3833,14.4983
model 20 C,10.4,13.5451
model 20 C,10.4167,12.4998
model 20 C,10.4333,11.4027
model 20 C,10.45,10.2921
model 20 C,10.4667,9.30725
model 20 C,10.4833,8.39995
model 20 C,10.5,7.5407
model 20 C,10.5167,6.63265
model 20 C,10.5333,5.90935
model 20 C,10.55,5.2361
model 20 C,10.5667,4.54585
model 20 C,10.5833,4.04455
model 20 C,10.6,3.6292
model 20 C,10.6167,3.442
model 20 C,10.6333,3.29995
model 20 C,10.65,3.1334
model 20 C,10.6667,3.053
model 20 C,10.6833,3.04795
model 20 C,10.7,3.2306
model 20 C,10.7167,3.388
model 20 C,10.7333,3.8474
model 20 C,10.75,4.0173
model 20 C,10.7667,4.112
model 20 C,10.7833,4.5831
model 20 C,10.8,5.15625
model 20 C,10.8167,5.69585
model 20 C,10.8333,6.11105
model 20 C,10.85,6.4302
model 20 C,10.8667,6.53835
model 20 C,10.8833,6.7951
model 20 C,10.9,7.0162
model 20 C,10.9167,7.0415
model 20 C,10.9333,6.88955
model 20 C,10.95,6.8324
model 20 C,10.9667,6.3492
model 20 C,10.9833,5.76425
model 20 C,11,5.4746
model 20 C,11.0167,5.01345
model 20 C,11.0333,4.709
model 20 C,11.05,4.4308
model 20 C,11.0667,4.28545
model 20 C,11.0833,4.17295
model 20 C,11.1,4.25085
model 20 C,11.1167,4.28345
model 20 C,11.1333,4.24315
model 20 C,11.15,4.39825
model 20 C,11.1667,4.80475
model 20 C,11.1833,4.84655
model 20 C,11.2,4.9412
model 20 C,11.2167,5.1095
model 20 C,11.2333,4.99845
model 20 C,11.25,4.84195
model 20 C,11.2667,4.88195
model 20 C,11.2833,4.7806
model 20 C,11.3,4.782
model 20 C,11.3167,4.79765
model 20 C,11.3333,4.8696
model 20 C,11.35,4.52425
model 20 C,11.3667,4.3326
model 20 C,11.3833,4.2686
model 20 C,11.4,4.20545
model 20 C,11.4167,4.1023
model 20 C,11.4333,4.02985
model 20 C,11.45,4.2051
model 20 C,11.4667,4.15305
model 20 C,11.4833,4.1858
model 20 C,11.5,4.23295
model 20 C,11.5167,4.3219
model 20 C,11.5333,4.36095
model 20 C,11.55,4.40815
model 20 C,11.5667,4.44665
model 20 C,11.5833,4.28365
model 20 C,11.6,4.19185
model 20 C,11.6167,3.99335
model 20 C,11.6333,3.61685
model 20 C,11.65,3.4057
model 20 C,11.6667,3.04925
model 20 C,11.6833,2.76295
model 20 C,11.7,2.66285
model 20 C,11.7167,2.62765
model 20 C,11.7333,2.70555
model 20 C,11.75,3.0616
model 20 C,11.7667,3.3332
model 20 C,11.7833,3.78235
model 20 C,11.8,4.2416
model 20 C,11.8167,4.69385
model 20 C,11.8333,5.0193
model 20 C,11.85,5.3708
model 20 C,11.8667,5.95325
model 20 C,11.8833,6.2344
model 20 C,11.9,6.6588
model 20 C,11.9167,7.09095
model 20 C,11.9333,7.4662
model 20 C,11.95,7.4657
model 20 C,11.9667,7.6314
model 20 C,11.9833,7.67645
model 20 C,12,7.49975
model 20 C,12.0167,7.2717
model 20 C,12.0333,6.9622
model 20 C,12.05,6.41525
model 20 C,12.0667,5.90215
model 20 C,12.0833,5.61375
model 20 C,12.1,5.04455
model 20 C,12.1167,4.632
model 20 C,12.1333,4.0299
model 20 C,12.15,3.51935
model 20 C,12.1667,3.40375
model 20 C,12.1833,3.4465
model 20 C,12.2,3.58195
model 20 C,12.2167,3.78615
model 20 C,12.2333,4.0413
model 20 C,12.25,4.0289
model 20 C,12.2667,4.1138
model 20 C,12.2833,4.31925
model 20 C,12.3,4.49985
model 20 C,12.3167,4.48925
model 20 C,12.3333,4.5737
model 20 C,12.35,4.1862
model 20 C,12.3667,4.0317
