series,tau_tr_min,fa_nN,kappa_over_uE,T_star,temperature_C,shannon_entropy_H
model,1.02273,120,0.65,0.2,,5.40298
model,1.1062,120,0.35,0.3,,5.00743
model,1.00124,120,0.4,0.3,,5.119
model,0.752711,120,0.5,0.3,,5.23963
model,0.836709,120,0.65,0.3,,5.32478
model,1.589,150,0.35,0.08,,4.96825
model,0.989015,150,0.5,0.08,,5.36236
model,0.592576,150,0.65,0.08,,5.66487
model,1.66831,150,0.35,0.1,,4.88934
model,1.08638,150,0.5,0.1,,5.2765
model,0.79612,150,0.65,0.1,,5.67221
model,1.45918,150,0.35,0.15,,4.92834
model,1.04542,150,0.5,0.15,,5.28445
model,0.592865,150,0.65,0.15,,5.5945
model,0.625635,200,0.4,0.1,,5.23568
model,0.573852,200,0.6,0.1,,5.31262
living worms,3.0917,,,,10,5.78
living worms,0.76,,,,20,6.18
living worms,2.1983,,,,30,5.83
