series,x_mm,y_mm,counts
living worms all temperatures,2.835,0.525,48
living worms all temperatures,3.045,0.525,76
living worms all temperatures,3.255,0.525,69
living worms all temperatures,3.465,0.525,83
living worms all temperatures,3.675,0.525,105
living worms all temperatures,3.885,0.525,98
living worms all temperatures,-3.885,0.735,51
living worms all temperatures,-3.675,0.735,76
living worms all temperatures,-3.465,0.735,55
living worms all temperatures,-3.255,0.735,41
living worms all temperatures,-3.045,0.735,50
living worms all temperatures,-2.835,0.735,47
living worms all temperatures,-2.625,0.735,36
living worms all temperatures,-2.415,0.735,36
living worms all temperatures,-2.205,0.735,64
living worms all temperatures,-1.995,0.735,28
living worms all temperatures,-1.785,0.735,43
living worms all temperatures,-1.575,0.735,33
living worms all temperatures,-1.365,0.735,32
living worms all temperatures,-1.155,0.735,30
living worms all temperatures,-0.945,0.735,37
living worms all temperatures,-0.735,0.735,43
living worms all temperatures,-0.525,0.735,39
living worms all temperatures,-0.315,0.735,45
living worms all temperatures,-0.105,0.735,44
living worms all temperatures,0.105,0.735,38
living worms all temperatures,0.315,0.735,30
living worms all temperatures,0.525,0.735,33
living worms all temperatures,0.735,0.735,38
living worms all temperatures,0.945,0.735,35
living worms all temperatures,1.155,0.735,40
living worms all temperatures,1.365,0.735,39
living worms all temperatures,1.575,0.735,28
living worms all temperatures,1.785,0.735,31
living worms all temperatures,1.995,0.735,37
living worms all temperatures,2.205,0.735,23
living worms all temperatures,2.415,0.735,39
living worms all temperatures,2.625,0.735,58
living worms all temperatures,2.835,0.735,43
living worms all temperatures,3.045,0.735,68
living worms all temperatures,3.255,0.735,55
living worms all temperatures,3.465,0.735,62
living worms all temperatures,3.675,0.735,100
living worms all temperatures,3.885,0.735,64
living worms all temperatures,-3.885,0.945,32
living worms all temperatures,-3.675,0.945,66
living worms all temperatures,-3.465,0.945,66
living worms all temperatures,-3.255,0.945,65
living worms all temperatures,-3.045,0.945,35
living worms all temperatures,-2.835,0.945,52
living worms all temperatures,-2.625,0.945,31
living worms all temperatures,-2.415,0.945,36
living worms all temperatures,-2.205,0.945,35
living worms all temperatures,-1.995,0.945,45
living worms all temperatures,-1.785,0.945,40
living worms all temperatures,-1.575,0.945,45
living worms all temperatures,-1.365,0.945,34
living worms all temperatures,-1.155,0.945,42
living worms all temperatures,-0.945,0.945,26
living worms all temperatures,-0.735,0.945,33
living worms all temperatures,-0.525,0.945,31
living worms all temperatures,-0.315,0.945,39
living worms all temperatures,-0.105,0.945,29
living worms all temperatures,0.105,0.945,32
living worms all temperatures,0.315,0.945,28
living worms all temperatures,0.525,0.945,29
living worms all temperatures,0.735,0.945,33
living worms all temperatures,0.945,0.945,37
living worms all temperatures,1.155,0.945,23
living worms all temperatures,1.365,0.945,22
living worms all temperatures,1.575,0.945,26
living worms all temperatures,1.785,0.945,29
living worms all temperatures,1.995,0.945,49
living worms all temperatures,2.205,0.945,24
living worms all temperatures,2.415,0.945,30
living worms all temperatures,2.625,0.945,38
living worms all temperatures,2.835,0.945,49
living worms all temperatures,3.045,0.945,52
living worms all temperatures,3.255,0.945,67
living worms all temperatures,3.465,0.945,67
living worms all temperatures,3.675,0.945,84
living worms all temperatures,3.885,0.945,43
living worms all temperatures,-3.675,1.155,33
living worms all temperatures,-3.465,1.155,55
living worms all temperatures,-3.255,1.155,61
living worms all temperatures,-3.045,1.155,46
living worms all temperatures,-2.835,1.155,61
living worms all temperatures,-2.625,1.155,38
living worms all temperatures,-2.415,1.155,29
living worms all temperatures,-2.205,1.155,35
living worms all temperatures,-1.995,1.155,34
living worms all temperatures,-1.785,1.155,47
living worms all temperatures,-1.575,1.155,34
living worms all temperatures,-1.365,1.155,32
living worms all temperatures,-1.155,1.155,36
living worms all temperatures,-0.945,1.155,27
living worms all temperatures,-0.735,1.155,47
living worms all temperatures,-0.525,1.155,38
living worms all temperatures,-0.315,1.155,29
living worms all temperatures,-0.105,1.155,26
living worms all temperatures,0.105,1.155,25
living worms all temperatures,0.315,1.155,25
living worms all temperatures,0.525,1.155,32
living worms all temperatures,0.735,1.155,46
living worms all temperatures,0.945,1.155,27
living worms all temperatures,1.155,1.155,22
living worms all temperatures,1.365,1.155,36
living worms all temperatures,1.575,1.155,18
living worms all temperatures,1.785,1.155,23
living worms all temperatures,1.995,1.155,29
living worms all temperatures,2.205,1.155,25
living worms all temperatures,2.415,1.155,40
living worms all temperatures,2.625,1.155,42
living worms all temperatures,2.835,1.155,61
living worms all temperatures,3.045,1.155,78
living worms all temperatures,3.255,1.155,67
living worms all temperatures,3.465,1.155,78
living worms all temperatures,3.675,1.155,74
living worms all temperatures,-3.675,1.365,33
living worms all temperatures,-3.465,1.365,50
living worms all temperatures,-3.255,1.365,66
living worms all temperatures,-3.045,1.365,40
living worms all temperatures,-2.835,1.365,45
living worms all temperatures,-2.625,1.365,35
living worms all temperatures,-2.415,1.365,47
living worms all temperatures,-2.205,1.365,25
living worms all temperatures,-1.995,1.365,33
living worms all temperatures,-1.785,1.365,27
living worms all temperatures,-1.575,1.365,26
living worms all temperatures,-1.365,1.365,36
living worms all temperatures,-1.155,1.365,32
living worms all temperatures,-0.945,1.365,25
living worms all temperatures,-0.735,1.365,34
living worms all temperatures,-0.525,1.365,37
living worms all temperatures,-0.315,1.365,37
living worms all temperatures,-0.105,1.365,42
living worms all temperatures,0.105,1.365,32
living worms all temperatures,0.315,1.365,24
living worms all temperatures,0.525,1.365,38
living worms all temperatures,0.735,1.365,25
living worms all temperatures,0.945,1.365,33
living worms all temperatures,1.155,1.365,38
living worms all temperatures,1.365,1.365,33
living worms all temperatures,1.575,1.365,22
living worms all temperatures,1.785,1.365,31
living worms all temperatures,1.995,1.365,38
living worms all temperatures,2.205,1.365,38
living worms all temperatures,2.415,1.365,41
living worms all temperatures,2.625,1.365,43
living worms all temperatures,2.835,1.365,68
living worms all temperatures,3.045,1.365,62
living worms all temperatures,3.255,1.365,86
living worms all temperatures,3.465,1.365,68
living worms all temperatures,3.675,1.365,55
living worms all temperatures,-3.675,1.575,10
living worms all temperatures,-3.465,1.575,48
living worms all temperatures,-3.255,1.575,53
living worms all temperatures,-3.045,1.575,50
living worms all temperatures,-2.835,1.575,55
living worms all temperatures,-2.625,1.575,31
living worms all temperatures,-2.415,1.575,35
living worms all temperatures,-2.205,1.575,35
living worms all temperatures,-1.995,1.575,33
living worms all temperatures,-1.785,1.575,27
living worms all temperatures,-1.575,1.575,25
living worms all temperatures,-1.365,1.575,26
living worms all temperatures,-1.155,1.575,28
living worms all temperatures,-0.945,1.575,25
living worms all temperatures,-0.735,1.575,22
living worms all temperatures,-0.525,1.575,30
living worms all temperatures,-0.315,1.575,32
living worms all temperatures,-0.105,1.575,28
living worms all temperatures,0.105,1.575,27
living worms all temperatures,0.315,1.575,31
living worms all temperatures,0.525,1.575,20
living worms all temperatures,0.735,1.575,23
living worms all temperatures,0.945,1.575,20
living worms all temperatures,1.155,1.575,24
living worms all temperatures,1.365,1.575,38
living worms all temperatures,1.575,1.575,31
living worms all temperatures,1.785,1.575,24
living worms all temperatures,1.995,1.575,37
living worms all temperatures,2.205,1.575,27
living worms all temperatures,2.415,1.575,32
living worms all temperatures,2.625,1.575,47
living worms all temperatures,2.835,1.575,50
living worms all temperatures,3.045,1.575,51
living worms all temperatures,3.255,1.575,82
living worms all temperatures,3.465,1.575,80
living worms all temperatures,3.675,1.575,44
living worms all temperatures,-3.465,1.785,28
living worms all temperatures,-3.255,1.785,45
living worms all temperatures,-3.045,1.785,56
living worms all temperatures,-2.835,1.785,74
living worms all temperatures,-2.625,1.785,39
living worms all temperatures,-2.415,1.785,36
living worms all temperatures,-2.205,1.785,41
living worms all temperatures,-1.995,1.785,43
living worms all temperatures,-1.785,1.785,42
living worms all temperatures,-1.575,1.785,37
living worms all temperatures,-1.365,1.785,43
living worms all temperatures,-1.155,1.785,24
living worms all temperatures,-0.945,1.785,33
living worms all temperatures,-0.735,1.785,25
living worms all temperatures,-0.525,1.785,39
living worms all temperatures,-0.315,1.785,33
living worms all temperatures,-0.105,1.785,40
living worms all temperatures,0.105,1.785,33
living worms all temperatures,0.315,1.785,26
living worms all temperatures,0.525,1.785,39
living worms all temperatures,0.735,1.785,31
living worms all temperatures,0.945,1.785,20
living worms all temperatures,1.155,1.785,47
living worms all temperatures,1.365,1.785,29
living worms all temperatures,1.575,1.785,44
living worms all temperatures,1.785,1.785,30
living worms all temperatures,1.995,1.785,48
living worms all temperatures,2.205,1.785,49
living worms all temperatures,2.415,1.785,46
living worms all temperatures,2.625,1.785,56
living worms all temperatures,2.835,1.785,79
living worms all temperatures,3.045,1.785,74
living worms all temperatures,3.255,1.785,88
living worms all temperatures,3.465,1.785,83
living worms all temperatures,-3.465,1.995,6
living worms all temperatures,-3.255,1.995,37
living worms all temperatures,-3.045,1.995,49
living worms all temperatures,-2.835,1.995,68
living worms all temperatures,-2.625,1.995,36
living worms all temperatures,-2.415,1.995,39
living worms all temperatures,-2.205,1.995,31
living worms all temperatures,-1.995,1.995,28
living worms all temperatures,-1.785,1.995,31
living worms all temperatures,-1.575,1.995,36
living worms all temperatures,-1.365,1.995,27
living worms all temperatures,-1.155,1.995,35
living worms all temperatures,-0.945,1.995,22
living worms all temperatures,-0.735,1.995,30
living worms all temperatures,-0.525,1.995,32
living worms all temperatures,-0.315,1.995,30
living worms all temperatures,-0.105,1.995,44
living worms all temperatures,0.105,1.995,31
living worms all temperatures,0.315,1.995,24
living worms all temperatures,0.525,1.995,22
living worms all temperatures,0.735,1.995,20
living worms all temperatures,0.945,1.995,27
living worms all temperatures,1.155,1.995,32
living worms all temperatures,1.365,1.995,32
living worms all temperatures,1.575,1.995,36
living worms all temperatures,1.785,1.995,35
living worms all temperatures,1.995,1.995,44
living worms all temperatures,2.205,1.995,31
living worms all temperatures,2.415,1.995,55
living worms all temperatures,2.625,1.995,56
living worms all temperatures,2.835,1.995,58
living worms all temperatures,3.045,1.995,70
living worms all temperatures,3.255,1.995,82
living worms all temperatures,3.465,1.995,19
living worms all temperatures,-3.255,2.205,33
living worms all temperatures,-3.045,2.205,51
living worms all temperatures,-2.835,2.205,44
living worms all temperatures,-2.625,2.205,41
living worms all temperatures,-2.415,2.205,41
living worms all temperatures,-2.205,2.205,34
living worms all temperatures,-1.995,2.205,31
living worms all temperatures,-1.785,2.205,27
living worms all temperatures,-1.575,2.205,33
living worms all temperatures,-1.365,2.205,30
living worms all temperatures,-1.155,2.205,27
living worms all temperatures,-0.945,2.205,27
living worms all temperatures,-0.735,2.205,24
living worms all temperatures,-0.525,2.205,26
living worms all temperatures,-0.315,2.205,33
living worms all temperatures,-0.105,2.205,26
living worms all temperatures,0.105,2.205,34
living worms all temperatures,0.315,2.205,34
living worms all temperatures,0.525,2.205,28
living worms all temperatures,0.735,2.205,22
living worms all temperatures,0.945,2.205,37
living worms all temperatures,1.155,2.205,35
living worms all temperatures,1.365,2.205,27
living worms all temperatures,1.575,2.205,31
living worms all temperatures,1.785,2.205,50
living worms all temperatures,1.995,2.205,47
living worms all temperatures,2.205,2.205,40
living worms all temperatures,2.415,2.205,38
living worms all temperatures,2.625,2.205,56
living worms all temperatures,2.835,2.205,59
living worms all temperatures,3.045,2.205,56
living worms all temperatures,3.255,2.205,51
living worms all temperatures,-3.045,2.415,30
living worms all temperatures,-2.835,2.415,63
living worms all temperatures,-2.625,2.415,50
living worms all temperatures,-2.415,2.415,41
living worms all temperatures,-2.205,2.415,34
living worms all temperatures,-1.995,2.415,22
living worms all temperatures,-1.785,2.415,25
living worms all temperatures,-1.575,2.415,35
living worms all temperatures,-1.365,2.415,28
living worms all temperatures,-1.155,2.415,22
living worms all temperatures,-0.945,2.415,24
living worms all temperatures,-0.735,2.415,28
living worms all temperatures,-0.525,2.415,27
living worms all temperatures,-0.315,2.415,29
living worms all temperatures,-0.105,2.415,23
living worms all temperatures,0.105,2.415,25
living worms all temperatures,0.315,2.415,27
living worms all temperatures,0.525,2.415,16
living worms all temperatures,0.735,2.415,25
living worms all temperatures,0.945,2.415,26
living worms all temperatures,1.155,2.415,30
living worms all temperatures,1.365,2.415,27
living worms all temperatures,1.575,2.415,30
living worms all temperatures,1.785,2.415,48
living worms all temperatures,1.995,2.415,53
living worms all temperatures,2.205,2.415,68
living worms all temperatures,2.415,2.415,66
living worms all temperatures,2.625,2.415,45
living worms all temperatures,2.835,2.415,70
living worms all temperatures,3.045,2.415,54
living worms all temperatures,-2.835,2.625,41
living worms all temperatures,-2.625,2.625,36
living worms all temperatures,-2.415,2.625,39
living worms all temperatures,-2.205,2.625,32
living worms all temperatures,-1.995,2.625,39
living worms all temperatures,-1.785,2.625,30
living worms all temperatures,-1.575,2.625,30
living worms all temperatures,-1.365,2.625,24
living worms all temperatures,-1.155,2.625,23
living worms all temperatures,-0.945,2.625,27
living worms all temperatures,-0.735,2.625,31
living worms all temperatures,-0.525,2.625,26
living worms all temperatures,-0.315,2.625,23
living worms all temperatures,-0.105,2.625,31
living worms all temperatures,0.105,2.625,22
living worms all temperatures,0.315,2.625,20
living worms all temperatures,0.525,2.625,11
living worms all temperatures,0.735,2.625,25
living worms all temperatures,0.945,2.625,28
living worms all temperatures,1.155,2.625,39
living worms all temperatures,1.365,2.625,36
living worms all temperatures,1.575,2.625,34
living worms all temperatures,1.785,2.625,46
living worms all temperatures,1.995,2.625,60
living worms all temperatures,2.205,2.625,54
living worms all temperatures,2.415,2.625,60
living worms all temperatures,2.625,2.625,52
living worms all temperatures,2.835,2.625,51
living worms all temperatures,-2.625,2.835,25
living worms all temperatures,-2.415,2.835,38
living worms all temperatures,-2.205,2.835,46
living worms all temperatures,-1.995,2.835,35
living worms all temperatures,-1.785,2.835,39
living worms all temperatures,-1.575,2.835,38
living worms all temperatures,-1.365,2.835,27
living worms all temperatures,-1.155,2.835,31
living worms all temperatures,-0.945,2.835,34
living worms all temperatures,-0.735,2.835,21
living worms all temperatures,-0.525,2.835,14
living worms all temperatures,-0.315,2.835,30
living worms all temperatures,-0.105,2.835,24
living worms all temperatures,0.105,2.835,26
living worms all temperatures,0.315,2.835,24
living worms all temperatures,0.525,2.835,20
living worms all temperatures,0.735,2.835,31
living worms all temperatures,0.945,2.835,33
living worms all temperatures,1.155,2.835,34
living worms all temperatures,1.365,2.835,41
living worms all temperatures,1.575,2.835,23
living worms all temperatures,1.785,2.835,40
living worms all temperatures,1.995,2.835,50
living worms all temperatures,2.205,2.835,58
living worms all temperatures,2.415,2.835,44
living worms all temperatures,2.625,2.835,55
living worms all temperatures,-2.415,3.045,22
living worms all temperatures,-2.205,3.045,48
living worms all temperatures,-1.995,3.045,27
living worms all temperatures,-1.785,3.045,29
living worms all temperatures,-1.575,3.045,53
living worms all temperatures,-1.365,3.045,40
living worms all temperatures,-1.155,3.045,41
living worms all temperatures,-0.945,3.045,38
living worms all temperatures,-0.735,3.045,45
living worms all temperatures,-0.525,3.045,39
living worms all temperatures,-0.315,3.045,41
living worms all temperatures,-0.105,3.045,30
living worms all temperatures,0.105,3.045,37
living worms all temperatures,0.315,3.045,38
living worms all temperatures,0.525,3.045,41
living worms all temperatures,0.735,3.045,42
living worms all temperatures,0.945,3.045,25
living worms all temperatures,1.155,3.045,47
living worms all temperatures,1.365,3.045,40
living worms all temperatures,1.575,3.045,57
living worms all temperatures,1.785,3.045,61
living worms all temperatures,1.995,3.045,59
living worms all temperatures,2.205,3.045,41
living worms all temperatures,2.415,3.045,39
living worms all temperatures,-2.205,3.255,22
living worms all temperatures,-1.995,3.255,35
living worms all temperatures,-1.785,3.255,36
living worms all temperatures,-1.575,3.255,17
living worms all temperatures,-1.365,3.255,34
living worms all temperatures,-1.155,3.255,33
living worms all temperatures,-0.945,3.255,43
living worms all temperatures,-0.735,3.255,35
living worms all temperatures,-0.525,3.255,36
living worms all temperatures,-0.315,3.255,31
living worms all temperatures,-0.105,3.255,33
living worms all temperatures,0.105,3.255,20
living worms all temperatures,0.315,3.255,34
living worms all temperatures,0.525,3.255,23
living worms all temperatures,0.735,3.255,37
living worms all temperatures,0.945,3.255,48
living worms all temperatures,1.155,3.255,39
living worms all temperatures,1.365,3.255,38
living worms all temperatures,1.575,3.255,37
living worms all temperatures,1.785,3.255,36
living worms all temperatures,1.995,3.255,56
living worms all temperatures,2.205,3.255,26
living worms all temperatures,-1.995,3.465,14
living worms all temperatures,-1.785,3.465,28
living worms all temperatures,-1.575,3.465,30
living worms all temperatures,-1.365,3.465,28
living worms all temperatures,-1.155,3.465,39
living worms all temperatures,-0.945,3.465,34
living worms all temperatures,-0.735,3.465,59
living worms all temperatures,-0.525,3.465,37
living worms all temperatures,-0.315,3.465,23
living worms all temperatures,-0.105,3.465,35
living worms all temperatures,0.105,3.465,28
living worms all temperatures,0.315,3.465,40
living worms all temperatures,0.525,3.465,38
living worms all temperatures,0.735,3.465,51
living worms all temperatures,0.945,3.465,32
living worms all temperatures,1.155,3.465,30
living worms all temperatures,1.365,3.465,32
living worms all temperatures,1.575,3.465,34
living worms all temperatures,1.785,3.465,26
living worms all temperatures,1.995,3.465,11
living worms all temperatures,-1.575,3.675,11
living worms all temperatures,-1.365,3.675,16
living worms all temperatures,-1.155,3.675,24
living worms all temperatures,-0.945,3.675,26
living worms all temperatures,-0.735,3.675,46
living worms all temperatures,-0.525,3.675,32
living worms all temperatures,-0.315,3.675,47
living worms all temperatures,-0.105,3.675,29
living worms all temperatures,0.105,3.675,28
living worms all temperatures,0.315,3.675,28
living worms all temperatures,0.525,3.675,21
living worms all temperatures,0.735,3.675,24
living worms all temperatures,0.945,3.675,30
living worms all temperatures,1.155,3.675,28
living worms all temperatures,1.365,3.675,24
living worms all temperatures,1.575,3.675,6
living worms all temperatures,-0.945,3.885,9
living worms all temperatures,-0.735,3.885,14
living worms all temperatures,-0.525,3.885,16
living worms all temperatures,-0.315,3.885,22
living worms all temperatures,-0.105,3.885,21
living worms all temperatures,0.105,3.885,17
living worms all temperatures,0.315,3.885,15
living worms all temperatures,0.525,3.885,17
living worms all temperatures,0.735,3.885,20
living worms all temperatures,0.945,3.885,7
