panel,series,t_min,angular_msd_rad2,fitted_D_theta_per_min,translational_msd_mm2,plateau_mm2,tau_d_min,x_mm,y_mm,counts,temperature_C,tau_theta_s,tau_d_s,tau_theta_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,tau_tr_inf_min,n_runs,pe_number,tau_tr_over_tau_tr_inf
B,living worms 10 C,0.4,,,14.2582,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.433333,,,14.4223,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.466667,,,14.5507,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.5,,,14.6956,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.533333,,,14.8418,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.566667,,,15.0019,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.6,,,15.2654,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.633333,,,15.3886,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.666667,,,15.4233,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.7,,,15.489,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.733333,,,15.7019,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.766667,,,15.7269,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.8,,,15.8582,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.833333,,,15.8517,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.866667,,,15.8145,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.9,,,15.7972,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.933333,,,15.8298,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,0.966667,,,15.9412,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1,,,16.0203,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.03333,,,15.936,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.06667,,,15.8509,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.1,,,15.9139,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.13333,,,15.7807,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.16667,,,15.8548,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.2,,,15.6786,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.23333,,,15.6113,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.26667,,,15.6435,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.3,,,15.5707,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.33333,,,15.6749,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.36667,,,15.8574,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.4,,,15.7007,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.43333,,,15.6981,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.46667,,,15.7925,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.5,,,15.8761,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.53333,,,15.6992,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.56667,,,15.6383,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.6,,,15.8137,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.63333,,,15.8903,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.66667,,,15.6815,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.7,,,15.5632,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.73333,,,15.7371,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.76667,,,15.7488,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.8,,,15.9098,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.83333,,,16.0415,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.86667,,,16.0431,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.9,,,16.2667,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.93333,,,16.0003,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,1.96667,,,16.0654,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,2,,,15.7858,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,2.03333,,,15.7326,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,2.06667,,,16.0233,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,2.1,,,15.9155,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 10 C,2.13333,,,15.7112,15.8758,0.947088,,,,,,,,,,,,,,,
B,living worms 20 C,0.0333333,,,5.9721,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.0666667,,,8.49511,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.1,,,10.1964,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.133333,,,11.4894,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.166667,,,12.7724,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.2,,,13.4913,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.233333,,,14.0737,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.266667,,,14.425,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.3,,,14.843,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.333333,,,15.1057,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.366667,,,15.2253,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.4,,,15.4139,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.433333,,,15.7886,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.466667,,,15.7438,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.5,,,15.955,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.533333,,,15.8876,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.566667,,,15.8001,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.6,,,15.9642,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.633333,,,16.0683,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.666667,,,15.9459,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.7,,,16.0167,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.733333,,,16.4776,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.766667,,,16.3083,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.8,,,16.2856,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.833333,,,16.2701,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.866667,,,16.4659,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.9,,,16.615,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.933333,,,16.4964,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,0.966667,,,16.192,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1,,,16.384,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.03333,,,16.1004,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.06667,,,15.9799,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.1,,,15.847,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.13333,,,15.8653,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.16667,,,15.414,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.2,,,14.9088,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.23333,,,15.5609,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.26667,,,15.2247,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.3,,,14.9818,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.33333,,,14.6381,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.36667,,,14.5282,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.4,,,13.6441,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.43333,,,13.586,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 20 C,1.46667,,,13.7815,16.4039,0.728004,,,,,,,,,,,,,,,
B,living worms 30 C,0.0333333,,,8.54784,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.0666667,,,10.8854,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.1,,,12.2555,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.133333,,,13.2556,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.166667,,,13.7468,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.2,,,14.0706,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.233333,,,14.3743,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.266667,,,14.5927,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.3,,,14.6927,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.333333,,,14.9971,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.366667,,,15.0292,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.4,,,15.1077,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.433333,,,15.2278,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.466667,,,15.3123,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.5,,,15.4241,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.533333,,,15.5757,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.566667,,,15.6399,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.6,,,15.6687,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.633333,,,15.7746,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.666667,,,16.0004,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.7,,,15.8989,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.733333,,,15.842,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.766667,,,15.737,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.8,,,15.7762,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.833333,,,15.8968,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.866667,,,15.9762,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.9,,,16.0341,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.933333,,,15.9603,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,0.966667,,,16.1592,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1,,,15.9133,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.03333,,,15.9536,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.06667,,,15.9149,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.1,,,15.8262,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.13333,,,15.6556,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.16667,,,15.2708,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.2,,,15.5086,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.23333,,,15.4837,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.26667,,,15.7609,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.3,,,15.6929,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.33333,,,15.5895,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.36667,,,15.2107,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.4,,,14.9939,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.43333,,,14.8713,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.46667,,,14.869,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.5,,,15.0425,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.53333,,,14.8237,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.56667,,,14.6197,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.6,,,15.0226,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.63333,,,14.7174,15.99,0.665133,,,,,,,,,,,,,,,
B,living worms 30 C,1.66667,,,14.2224,15.99,0.665133,,,,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-3.885,32,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-3.885,73,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.525,-3.885,89,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.315,-3.885,96,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.105,-3.885,85,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.105,-3.885,78,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.315,-3.885,86,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.525,-3.885,78,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.735,-3.885,86,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.945,-3.885,44,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.575,-3.675,35,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.365,-3.675,82,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.155,-3.675,91,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-3.675,108,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-3.675,104,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.525,-3.675,120,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.315,-3.675,118,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.105,-3.675,97,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.105,-3.675,107,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.315,-3.675,101,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.525,-3.675,111,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.735,-3.675,130,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.945,-3.675,115,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.155,-3.675,108,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.365,-3.675,81,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.575,-3.675,46,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.995,-3.465,21,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.785,-3.465,107,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.575,-3.465,155,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.365,-3.465,120,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.155,-3.465,118,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-3.465,109,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-3.465,117,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.525,-3.465,111,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.315,-3.465,120,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.105,-3.465,131,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.105,-3.465,119,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.315,-3.465,125,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.525,-3.465,123,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.735,-3.465,138,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.945,-3.465,115,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.155,-3.465,142,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.365,-3.465,112,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.575,-3.465,93,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.785,-3.465,95,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.995,-3.465,55,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.205,-3.255,70,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.995,-3.255,110,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.785,-3.255,155,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.575,-3.255,167,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.365,-3.255,95,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.155,-3.255,107,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-3.255,97,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-3.255,100,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.525,-3.255,89,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.315,-3.255,101,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.105,-3.255,79,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.105,-3.255,95,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.315,-3.255,92,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.525,-3.255,88,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.735,-3.255,114,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.945,-3.255,108,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.155,-3.255,102,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.365,-3.255,122,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.575,-3.255,111,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.785,-3.255,118,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.995,-3.255,112,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.205,-3.255,64,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.415,-3.045,172,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.205,-3.045,200,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.995,-3.045,134,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.785,-3.045,123,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.575,-3.045,158,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.365,-3.045,98,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.155,-3.045,98,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-3.045,80,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-3.045,97,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.525,-3.045,105,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.315,-3.045,94,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.105,-3.045,91,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.105,-3.045,79,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.315,-3.045,81,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.525,-3.045,73,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.735,-3.045,98,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.945,-3.045,98,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.155,-3.045,93,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.365,-3.045,115,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.575,-3.045,138,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.785,-3.045,152,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.995,-3.045,173,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.205,-3.045,115,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.415,-3.045,106,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.625,-2.835,182,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.415,-2.835,148,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.205,-2.835,160,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.995,-2.835,115,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.785,-2.835,76,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.575,-2.835,93,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.365,-2.835,80,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.155,-2.835,63,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-2.835,76,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-2.835,79,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.525,-2.835,82,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.315,-2.835,64,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.105,-2.835,71,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.105,-2.835,61,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.315,-2.835,75,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.525,-2.835,65,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.735,-2.835,87,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.945,-2.835,56,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.155,-2.835,78,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.365,-2.835,72,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.575,-2.835,93,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.785,-2.835,81,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.995,-2.835,111,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.205,-2.835,143,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.415,-2.835,110,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.625,-2.835,97,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.835,-2.625,143,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.625,-2.625,144,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.415,-2.625,140,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.205,-2.625,128,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.995,-2.625,100,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.785,-2.625,67,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.575,-2.625,67,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.365,-2.625,60,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.155,-2.625,67,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-2.625,65,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-2.625,57,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.525,-2.625,68,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.315,-2.625,62,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.105,-2.625,48,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.105,-2.625,79,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.315,-2.625,67,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.525,-2.625,55,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.735,-2.625,68,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,0.945,-2.625,62,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.155,-2.625,66,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.365,-2.625,77,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.575,-2.625,57,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.785,-2.625,84,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,1.995,-2.625,110,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.205,-2.625,99,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.415,-2.625,116,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.625,-2.625,114,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,2.835,-2.625,103,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-3.045,-2.415,90,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.835,-2.415,171,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.625,-2.415,101,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.415,-2.415,107,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-2.205,-2.415,85,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.995,-2.415,70,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.785,-2.415,66,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.575,-2.415,77,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.365,-2.415,49,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-1.155,-2.415,55,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.945,-2.415,54,,,,,,,,,,,,
B inset,"living worms, all temperatures",,,,,,,-0.735,-2.415,66,,,,,,,,,,,,
