series,contour_length_mm,tau_tr_min
living worms,15.3635,1.6
living worms,15.3635,0.633333
living worms,15.3635,2.43333
living worms,15.3635,0.4
living worms,15.3635,0.733333
living worms,15.3635,1.83333
living worms,15.3635,0.166667
living worms,15.3635,0.7
living worms,15.3635,0.3
living worms,15.3635,1.16667
living worms,15.3635,1
living worms,15.3635,2.6
living worms,15.3635,0.233333
living worms,15.3635,2
living worms,15.3635,0.7
living worms,15.3635,0.433333
living worms,15.3635,5.6
living worms,15.3635,3.53333
living worms,15.3635,2.3
living worms,15.3635,3.23333
living worms,15.3635,0.4
living worms,15.3635,2.13333
living worms,15.3635,2.23333
living worms,15.3635,2.3
living worms,15.3635,3.83333
living worms,15.3635,0.266667
living worms,15.3635,0.2
living worms,15.3635,4.43333
living worms,15.3635,1.33333
living worms,15.3635,1.7
living worms,15.3635,3.43333
living worms,15.3635,2.06667
living worms,15.3635,1.3
living worms,15.3635,3.76667
living worms,15.3635,2.33333
living worms,15.3635,0.5
living worms,15.3635,2.73333
living worms,15.3635,0.5
living worms,15.3635,2.06667
living worms,15.3635,1
living worms,15.3635,0.266667
living worms,15.3635,1.06667
living worms,15.3635,2.33333
living worms,15.3635,0.566667
living worms,15.3635,3.8
living worms,15.3635,2.36667
living worms,15.3635,1.03333
living worms,17.8606,0.633333
living worms,17.8606,1.16667
living worms,17.8606,0.2
living worms,17.8606,0.333333
living worms,17.8606,1.4
living worms,17.8606,1.93333
living worms,17.8606,0.266667
living worms,17.8606,0.4
living worms,17.8606,2.63333
living worms,17.8606,0.2
living worms,17.8606,0.233333
living worms,17.8606,3.66667
living worms,17.8606,0.466667
living worms,17.8606,0.7
living worms,17.8606,1
living worms,17.8606,1.73333
living worms,21.3087,0.433333
living worms,21.3087,1.53333
living worms,21.3087,1.1
living worms,21.3087,0.433333
living worms,21.3087,0.333333
living worms,21.3087,0.233333
living worms,21.3087,3.8
living worms,21.3087,0.466667
living worms,21.3087,0.833333
living worms,21.3087,0.8
living worms,21.3087,0.766667
living worms,21.3087,0.866667
living worms,21.3087,2.3
living worms,21.3087,1.83333
living worms,21.3087,0.466667
living worms,21.3087,2.46667
living worms,21.3087,0.233333
living worms,21.3087,0.266667
living worms,21.3087,0.8
living worms,21.3087,1.2
living worms,21.3087,1.43333
living worms,21.3087,1.9
living worms,21.3087,0.8
living worms,21.3087,0.166667
living worms,21.3087,0.2
living worms,21.3087,0.966667
living worms,21.3087,0.6
living worms,21.3087,0.2
living worms,21.3087,3.23333
living worms,21.3087,1.5
living worms,21.3087,0.7
living worms,21.3087,0.533333
living worms,21.3087,1.33333
living worms,24.9221,0.6
living worms,24.9221,0.4
living worms,24.9221,1.3
living worms,24.9221,2.56667
living worms,24.9221,2.1
living worms,24.9221,1.66667
living worms,24.9221,0.233333
living worms,24.9221,1.33333
living worms,24.9221,0.5
living worms,24.9221,1.23333
living worms,24.9221,0.3
living worms,24.9221,3.1
