panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,8.63333,85.859,,,,
C,living worm 20 C,8.66667,89.395,,,,
C,living worm 20 C,8.7,89.871,,,,
C,living worm 20 C,8.73333,90.245,,,,
C,living worm 20 C,8.76667,89.463,,,,
C,living worm 20 C,8.8,91.095,,,,
C,living worm 20 C,8.83333,91.333,,,,
C,living worm 20 C,8.86667,90.551,,,,
C,living worm 20 C,8.9,91.061,,,,
C,living worm 20 C,8.93333,91.197,,,,
C,living worm 20 C,8.96667,92.285,,,,
C,living worm 20 C,9,90.449,,,,
C,living worm 20 C,9.03333,91.537,,,,
C,living worm 20 C,9.06667,91.163,,,,
C,living worm 20 C,9.1,91.333,,,,
C,living worm 20 C,9.13333,90.075,,,,
C,living worm 20 C,9.16667,91.911,,,,
C,living worm 20 C,9.2,92.523,,,,
C,living worm 20 C,9.23333,92.863,,,,
C,living worm 20 C,9.26667,91.265,,,,
C,living worm 20 C,9.3,92.217,,,,
C,living worm 20 C,9.33333,94.189,,,,
C,living worm 20 C,9.36667,93.713,,,,
C,living worm 20 C,9.4,93.713,,,,
C,living worm 20 C,9.43333,92.115,,,,
C,living worm 20 C,9.46667,91.945,,,,
C,living worm 20 C,9.5,93.135,,,,
C,living worm 20 C,9.53333,92.829,,,,
C,living worm 20 C,9.56667,93.373,,,,
C,living worm 20 C,9.6,93.033,,,,
C,living worm 20 C,9.63333,93.373,,,,
C,living worm 20 C,9.66667,93.985,,,,
C,living worm 20 C,9.7,93.067,,,,
C,living worm 20 C,9.73333,92.421,,,,
C,living worm 20 C,9.76667,92.387,,,,
C,living worm 20 C,9.8,91.52,,,,
C,living worm 20 C,9.83333,90.993,,,,
C,living worm 20 C,9.86667,91.265,,,,
C,living worm 20 C,9.9,90.993,,,,
C,living worm 20 C,9.93333,91.945,,,,
C,living worm 20 C,9.96667,92.897,,,,
C,living worm 20 C,10,94.291,,,,
C,living worm 20 C,10.0333,92.557,,,,
C,living worm 20 C,10.0667,92.421,,,,
C,living worm 20 C,10.1,93.033,,,,
C,living worm 20 C,10.1333,90.993,,,,
C,living worm 20 C,10.1667,87.525,,,,
C,living worm 20 C,10.2,84.771,,,,
