panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,50.1,27.277,,,,
C,living worm 20 C,50.1333,26.461,,,,
C,living worm 20 C,50.1667,26.189,,,,
C,living worm 20 C,50.2,24.557,,,,
C,living worm 20 C,50.2333,24.353,,,,
C,living worm 20 C,50.2667,24.387,,,,
C,living worm 20 C,50.3,24.251,,,,
C,living worm 20 C,50.3333,24.489,,,,
C,living worm 20 C,50.3667,23.673,,,,
C,living worm 20 C,50.4,25.883,,,,
C,living worm 20 C,50.4333,26.087,,,,
C,living worm 20 C,50.4667,25.781,,,,
C,living worm 20 C,50.5,25.135,,,,
C,living worm 20 C,50.5333,29.011,,,,
C,living worm 20 C,50.5667,28.977,,,,
C,living worm 20 C,50.6,29.827,,,,
C,living worm 20 C,50.6333,29.453,,,,
C,living worm 20 C,50.6667,27.311,,,,
C,living worm 20 C,50.7,26.104,,,,
C,living worm 20 C,50.7333,21.497,,,,
C,living worm 20 C,50.7667,20.001,,,,
C,living worm 20 C,50.8,18.029,,,,
C,living worm 20 C,50.8333,17.519,,,,
C,living worm 20 C,50.8667,16.431,,,,
C,living worm 20 C,50.9,16.125,,,,
C,living worm 20 C,50.9333,18.403,,,,
C,living worm 20 C,50.9667,17.927,,,,
C,living worm 20 C,51,20.239,,,,
C,living worm 20 C,51.0333,21.089,,,,
C,living worm 20 C,51.0667,21.633,,,,
C,living worm 20 C,51.1,21.021,,,,
C,living worm 20 C,51.1333,20.103,,,,
C,living worm 20 C,51.1667,21.089,,,,
C,living worm 20 C,51.2,21.803,,,,
C,living worm 20 C,51.2333,22.041,,,,
C,living worm 20 C,51.2667,21.701,,,,
C,living worm 20 C,51.3,21.837,,,,
C,living worm 20 C,51.3333,22.211,,,,
C,living worm 20 C,51.3667,22.551,,,,
C,living worm 20 C,51.4,21.021,,,,
C,living worm 20 C,51.4333,20.749,,,,
C,living worm 20 C,51.4667,20.171,,,,
C,living worm 20 C,51.5,20.375,,,,
C,living worm 20 C,51.5333,20.409,,,,
C,living worm 20 C,51.5667,20.137,,,,
C,living worm 20 C,51.6,18.403,,,,
C,living worm 20 C,51.6333,17.995,,,,
C,living worm 20 C,51.6667,18.165,,,,
C,living worm 20 C,51.7,17.995,,,,
C,living worm 20 C,51.7333,17.451,,,,
C,living worm 20 C,51.7667,17.519,,,,
C,living worm 20 C,51.8,17.587,,,,
C,living worm 20 C,51.8333,17.145,,,,
C,living worm 20 C,51.8667,17.621,,,,
C,living worm 20 C,51.9,17.553,,,,
C,living worm 20 C,51.9333,17.485,,,,
C,living worm 20 C,51.9667,17.451,,,,
C,living worm 20 C,52,17.009,,,,
C,living worm 20 C,52.0333,16.431,,,,
C,living worm 20 C,52.0667,16.873,,,,
C,living worm 20 C,52.1,16.975,,,,
C,living worm 20 C,52.1333,16.839,,,,
C,living worm 20 C,52.1667,16.907,,,,
C,living worm 20 C,52.2,17.451,,,,
C,living worm 20 C,52.2333,16.635,,,,
C,living worm 20 C,52.2667,17.213,,,,
C,living worm 20 C,52.3,17.383,,,,
C,living worm 20 C,52.3333,17.349,,,,
C,living worm 20 C,52.3667,18.879,,,,
C,living worm 20 C,52.4,18.777,,,,
C,living worm 20 C,52.4333,18.165,,,,
C,living worm 20 C,52.4667,18.301,,,,
C,living worm 20 C,52.5,18.573,,,,
C,living worm 20 C,52.5333,17.179,,,,
C,living worm 20 C,52.5667,17.111,,,,
C,living worm 20 C,52.6,17.077,,,,
C,living worm 20 C,52.6333,17.043,,,,
C,living worm 20 C,52.6667,17.145,,,,
C,living worm 20 C,52.7,16.907,,,,
C,living worm 20 C,52.7333,16.805,,,,
C,living worm 20 C,52.7667,17.791,,,,
C,living worm 20 C,52.8,16.975,,,,
C,living worm 20 C,52.8333,16.227,,,,
C,living worm 20 C,52.8667,16.295,,,,
C,living worm 20 C,52.9,14.935,,,,
C,living worm 20 C,52.9333,14.731,,,,
C,living worm 20 C,52.9667,15.479,,,,
C,living worm 20 C,53,14.697,,,,
C,living worm 20 C,53.0333,15.547,,,,
C,living worm 20 C,53.0667,16.363,,,,
C,living worm 20 C,53.1,16.125,,,,
C,living worm 20 C,53.1333,17.349,,,,
C,living worm 20 C,53.1667,17.655,,,,
C,living worm 20 C,53.2,17.927,,,,
C,living worm 20 C,53.2333,16.499,,,,
C,living worm 20 C,53.2667,15.003,,,,
C,living worm 20 C,53.3,14.697,,,,
C,living worm 20 C,53.3333,13.915,,,,
C,living worm 20 C,53.3667,15.173,,,,
C,living worm 20 C,53.4,14.187,,,,
C,living worm 20 C,53.4333,14.969,,,,
C,living worm 20 C,53.4667,16.669,,,,
C,living worm 20 C,53.5,19.423,,,,
C,living worm 20 C,53.5333,20.035,,,,
C,living worm 20 C,53.5667,20.375,,,,
C,living worm 20 C,53.6,17.825,,,,
C,living worm 20 C,53.6333,17.655,,,,
C,living worm 20 C,53.6667,17.247,,,,
C,living worm 20 C,53.7,17.043,,,,
C,living worm 20 C,53.7333,17.077,,,,
C,living worm 20 C,53.7667,16.975,,,,
C,living worm 20 C,53.8,16.839,,,,
C,living worm 20 C,53.8333,16.873,,,,
C,living worm 20 C,53.8667,17.349,,,,
C,living worm 20 C,53.9,17.383,,,,
C,living worm 20 C,53.9333,15.649,,,,
C,living worm 20 C,53.9667,15.139,,,,
C,living worm 20 C,54,14.255,,,,
C,living worm 20 C,54.0333,14.731,,,,
C,living worm 20 C,54.0667,13.235,,,,
C,living worm 20 C,54.1,14.493,,,,
C,living worm 20 C,54.1333,16.295,,,,
C,living worm 20 C,54.1667,13.949,,,,
C,living worm 20 C,54.2,14.901,,,,
C,living worm 20 C,54.2333,14.221,,,,
C,living worm 20 C,54.2667,14.595,,,,
C,living worm 20 C,54.3,18.471,,,,
C,living worm 20 C,54.3333,17.961,,,,
C,living worm 20 C,54.3667,17.383,,,,
C,living worm 20 C,54.4,17.077,,,,
C,living worm 20 C,54.4333,16.363,,,,
C,living worm 20 C,54.4667,16.414,,,,
C,living worm 20 C,54.5,16.533,,,,
C,living worm 20 C,54.5333,14.051,,,,
C,living worm 20 C,54.5667,14.561,,,,
C,living worm 20 C,54.6,11.399,,,,
C,living worm 20 C,54.6333,9.767,,,,
C,living worm 20 C,54.6667,8.543,,,,
C,living worm 20 C,54.7,7.387,,,,
C,living worm 20 C,54.7333,7.523,,,,
C,living worm 20 C,54.7667,5.313,,,,
C,living worm 20 C,54.8,3.069,,,,
C,living worm 20 C,54.8333,5.041,,,,
C,living worm 20 C,54.8667,4.735,,,,
C,living worm 20 C,54.9,4.497,,,,
C,living worm 20 C,54.9333,3.987,,,,
C,living worm 20 C,54.9667,4.939,,,,
C,living worm 20 C,55,5.381,,,,
C,living worm 20 C,55.0333,5.381,,,,
C,living worm 20 C,55.0667,3.715,,,,
C,living worm 20 C,55.1,3.715,,,,
C,living worm 20 C,55.1333,3.851,,,,
C,living worm 20 C,55.1667,4.735,,,,
C,living worm 20 C,55.2,6.027,,,,
C,living worm 20 C,55.2333,5.891,,,,
C,living worm 20 C,55.2667,5.789,,,,
C,living worm 20 C,55.3,6.095,,,,
C,living worm 20 C,55.3333,6.333,,,,
C,living worm 20 C,55.3667,5.789,,,,
C,living worm 20 C,55.4,6.163,,,,
C,living worm 20 C,55.4333,6.775,,,,
C,living worm 20 C,55.4667,7.591,,,,
C,living worm 20 C,55.5,8.135,,,,
C,living worm 20 C,55.5333,9.393,,,,
C,living worm 20 C,55.5667,10.413,,,,
C,living worm 20 C,55.6,10.753,,,,
C,living worm 20 C,55.6333,11.977,,,,
C,living worm 20 C,55.6667,11.841,,,,
C,living worm 20 C,55.7,13.541,,,,
C,living worm 20 C,55.7333,13.643,,,,
C,living worm 20 C,55.7667,13.983,,,,
C,living worm 20 C,55.8,15.751,,,,
C,living worm 20 C,55.8333,17.077,,,,
C,living worm 20 C,55.8667,17.621,,,,
C,living worm 20 C,55.9,18.131,,,,
C,living worm 20 C,55.9333,16.567,,,,
C,living worm 20 C,55.9667,14.799,,,,
C,living worm 20 C,56,14.731,,,,
C,living worm 20 C,56.0333,14.561,,,,
C,living worm 20 C,56.0667,13.133,,,,
C,living worm 20 C,56.1,13.473,,,,
C,living worm 20 C,56.1333,12.997,,,,
C,living worm 20 C,56.1667,12.249,,,,
C,living worm 20 C,56.2,12.079,,,,
C,living worm 20 C,56.2333,13.575,,,,
C,living worm 20 C,56.2667,13.575,,,,
C,living worm 20 C,56.3,16.533,,,,
C,living worm 20 C,56.3333,18.845,,,,
C,living worm 20 C,56.3667,23.741,,,,
C,living worm 20 C,56.4,27.277,,,,
C,living worm 20 C,56.4333,31.357,,,,
C,living worm 20 C,56.4667,32.717,,,,
C,living worm 20 C,56.5,32.717,,,,
C,living worm 20 C,56.5333,34.655,,,,
C,living worm 20 C,56.5667,34.417,,,,
C,living worm 20 C,56.6,34.791,,,,
C,living worm 20 C,56.6333,36.457,,,,
C,living worm 20 C,56.6667,35.913,,,,
C,living worm 20 C,56.7,36.049,,,,
C,living worm 20 C,56.7333,34.587,,,,
C,living worm 20 C,56.7667,33.227,,,,
C,living worm 20 C,56.8,35.165,,,,
C,living worm 20 C,56.8333,34.689,,,,
C,living worm 20 C,56.8667,33.499,,,,
C,living worm 20 C,56.9,29.181,,,,
C,living worm 20 C,56.9333,27.753,,,,
C,living worm 20 C,56.9667,26.138,,,,
C,living worm 20 C,57,25.713,,,,
C,living worm 20 C,57.0333,24.353,,,,
C,living worm 20 C,57.0667,23.707,,,,
C,living worm 20 C,57.1,21.242,,,,
C,living worm 20 C,57.1333,20.511,,,,
C,living worm 20 C,57.1667,19.015,,,,
C,living worm 20 C,57.2,21.633,,,,
C,living worm 20 C,57.2333,20.579,,,,
C,living worm 20 C,57.2667,22.177,,,,
C,living worm 20 C,57.3,24.999,,,,
C,living worm 20 C,57.3333,25.645,,,,
C,living worm 20 C,57.3667,26.053,,,,
C,living worm 20 C,57.4,26.325,,,,
C,living worm 20 C,57.4333,26.699,,,,
C,living worm 20 C,57.4667,27.617,,,,
C,living worm 20 C,57.5,27.379,,,,
C,living worm 20 C,57.5333,27.209,,,,
C,living worm 20 C,57.5667,27.719,,,,
C,living worm 20 C,57.6,26.937,,,,
C,living worm 20 C,57.6333,27.719,,,,
C,living worm 20 C,57.6667,26.087,,,,
C,living worm 20 C,57.7,24.693,,,,
C,living worm 20 C,57.7333,24.115,,,,
C,living worm 20 C,57.7667,24.081,,,,
C,living worm 20 C,57.8,22.075,,,,
C,living worm 20 C,57.8333,20.273,,,,
C,living worm 20 C,57.8667,20.188,,,,
C,living worm 20 C,57.9,19.151,,,,
C,living worm 20 C,57.9333,18.199,,,,
C,living worm 20 C,57.9667,18.641,,,,
C,living worm 20 C,58,18.675,,,,
C,living worm 20 C,58.0333,19.355,,,,
C,living worm 20 C,58.0667,18.505,,,,
C,living worm 20 C,58.1,19.219,,,,
C,living worm 20 C,58.1333,19.049,,,,
C,living worm 20 C,58.1667,12.249,,,,
C,living worm 20 C,58.2,10.328,,,,
C,living worm 20 C,58.2333,10.141,,,,
C,living worm 20 C,58.2667,8.271,,,,
C,living worm 20 C,58.3,6.435,,,,
C,living worm 20 C,58.3333,5.551,,,,
C,living worm 20 C,58.3667,6.197,,,,
C,living worm 20 C,58.4,5.585,,,,
C,living worm 20 C,58.4333,5.075,,,,
C,living worm 20 C,58.4667,5.177,,,,
C,living worm 20 C,58.5,5.041,,,,
C,living worm 20 C,58.5333,5.415,,,,
C,living worm 20 C,58.5667,5.211,,,,
C,living worm 20 C,58.6,5.857,,,,
C,living worm 20 C,58.6333,5.823,,,,
C,living worm 20 C,58.6667,5.721,,,,
C,living worm 20 C,58.7,6.061,,,,
C,living worm 20 C,58.7333,6.095,,,,
C,living worm 20 C,58.7667,6.095,,,,
C,living worm 20 C,58.8,6.333,,,,
C,living worm 20 C,58.8333,6.435,,,,
C,living worm 20 C,58.8667,6.197,,,,
C,living worm 20 C,58.9,6.333,,,,
C,living worm 20 C,58.9333,4.633,,,,
C,living worm 20 C,58.9667,4.973,,,,
C,living worm 20 C,59,5.041,,,,
C,living worm 20 C,59.0333,4.803,,,,
C,living worm 20 C,59.0667,4.667,,,,
C,living worm 20 C,59.1,5.245,,,,
C,living worm 20 C,59.1333,4.701,,,,
C,living worm 20 C,59.1667,4.327,,,,
C,living worm 20 C,59.2,4.361,,,,
C,living worm 20 C,59.2333,4.497,,,,
C,living worm 20 C,59.2667,4.395,,,,
C,living worm 20 C,59.3,4.191,,,,
C,living worm 20 C,59.3333,3.8,,,,
C,living worm 20 C,59.3667,5.075,,,,
C,living worm 20 C,59.4,6.231,,,,
C,living worm 20 C,59.4333,6.027,,,,
C,living worm 20 C,59.4667,6.401,,,,
C,living worm 20 C,59.5,9.631,,,,
C,living worm 20 C,59.5333,9.427,,,,
C,living worm 20 C,59.5667,10.277,,,,
C,living worm 20 C,59.6,16.227,,,,
C,living worm 20 C,59.6333,14.935,,,,
C,living worm 20 C,59.6667,17.043,,,,
C,living worm 20 C,59.7,17.655,,,,
C,living worm 20 C,59.7333,17.349,,,,
C,living worm 20 C,59.7667,19.627,,,,
C,living worm 20 C,59.8,21.633,,,,
C,living worm 20 C,59.8333,22.585,,,,
C,living worm 20 C,59.8667,22.143,,,,
C,living worm 20 C,59.9,21.327,,,,
C,living worm 20 C,59.9333,20.885,,,,
D,model 20 C,3,33.0739,,,,
D,model 20 C,3.01667,33.2974,,,,
D,model 20 C,3.03333,33.7614,,,,
D,model 20 C,3.05,34.3958,,,,
D,model 20 C,3.06667,35.1217,,,,
D,model 20 C,3.08333,36.0876,,,,
D,model 20 C,3.1,36.9812,,,,
D,model 20 C,3.11667,38.1123,,,,
D,model 20 C,3.13333,39.4364,,,,
D,model 20 C,3.15,40.4975,,,,
D,model 20 C,3.16667,41.7542,,,,
D,model 20 C,3.18333,42.8284,,,,
D,model 20 C,3.2,44.0473,,,,
D,model 20 C,3.21667,45.0611,,,,
D,model 20 C,3.23333,46.2156,,,,
D,model 20 C,3.25,47.356,,,,
D,model 20 C,3.26667,48.4251,,,,
D,model 20 C,3.28333,49.6275,,,,
D,model 20 C,3.3,50.8627,,,,
D,model 20 C,3.31667,51.9004,,,,
D,model 20 C,3.33333,52.9415,,,,
D,model 20 C,3.35,54.0087,,,,
D,model 20 C,3.36667,54.9675,,,,
D,model 20 C,3.38333,55.9479,,,,
D,model 20 C,3.4,56.9929,,,,
D,model 20 C,3.41667,57.8516,,,,
D,model 20 C,3.43333,58.5549,,,,
D,model 20 C,3.45,58.935,,,,
D,model 20 C,3.46667,59.1442,,,,
D,model 20 C,3.48333,59.1811,,,,
D,model 20 C,3.5,58.9337,,,,
D,model 20 C,3.51667,58.7893,,,,
D,model 20 C,3.53333,58.5967,,,,
D,model 20 C,3.55,58.0436,,,,
D,model 20 C,3.56667,57.3969,,,,
D,model 20 C,3.58333,56.9325,,,,
D,model 20 C,3.6,56.5403,,,,
D,model 20 C,3.61667,56.0793,,,,
D,model 20 C,3.63333,55.7293,,,,
D,model 20 C,3.65,55.4884,,,,
D,model 20 C,3.66667,55.3077,,,,
D,model 20 C,3.68333,55.1694,,,,
D,model 20 C,3.7,55.4992,,,,
D,model 20 C,3.71667,55.8638,,,,
D,model 20 C,3.73333,56.3499,,,,
D,model 20 C,3.75,56.8646,,,,
D,model 20 C,3.76667,57.669,,,,
D,model 20 C,3.78333,58.5378,,,,
D,model 20 C,3.8,59.4822,,,,
D,model 20 C,3.81667,60.4641,,,,
D,model 20 C,3.83333,61.6555,,,,
D,model 20 C,3.85,62.6925,,,,
D,model 20 C,3.86667,63.9366,,,,
D,model 20 C,3.88333,64.9779,,,,
D,model 20 C,3.9,66.0183,,,,
D,model 20 C,3.91667,67.0466,,,,
D,model 20 C,3.93333,68.1421,,,,
D,model 20 C,3.95,69.1557,,,,
D,model 20 C,3.96667,70.187,,,,
D,model 20 C,3.98333,71.2146,,,,
D,model 20 C,4,72.2964,,,,
D,model 20 C,4.01667,73.4727,,,,
D,model 20 C,4.03333,74.7044,,,,
D,model 20 C,4.05,75.9219,,,,
D,model 20 C,4.06667,76.9971,,,,
D,model 20 C,4.08333,78.1178,,,,
D,model 20 C,4.1,79.2374,,,,
D,model 20 C,4.11667,80.1492,,,,
D,model 20 C,4.13333,81.3958,,,,
D,model 20 C,4.15,82.5954,,,,
D,model 20 C,4.16667,83.7629,,,,
D,model 20 C,4.18333,84.5788,,,,
D,model 20 C,4.2,85.4894,,,,
D,model 20 C,4.21667,86.2708,,,,
D,model 20 C,4.23333,87.0491,,,,
D,model 20 C,4.25,87.933,,,,
D,model 20 C,4.26667,88.6791,,,,
D,model 20 C,4.28333,89.5411,,,,
D,model 20 C,4.3,90.2685,,,,
D,model 20 C,4.31667,90.7511,,,,
D,model 20 C,4.33333,91.2602,,,,
D,model 20 C,4.35,91.4957,,,,
D,model 20 C,4.36667,91.569,,,,
D,model 20 C,4.38333,91.699,,,,
D,model 20 C,4.4,91.7584,,,,
D,model 20 C,4.41667,91.7702,,,,
D,model 20 C,4.43333,91.5323,,,,
D,model 20 C,4.45,91.2982,,,,
D,model 20 C,4.46667,90.9905,,,,
D,model 20 C,4.48333,90.4417,,,,
D,model 20 C,4.5,89.8749,,,,
D,model 20 C,4.51667,89.2964,,,,
D,model 20 C,4.53333,88.6296,,,,
D,model 20 C,4.55,87.838,,,,
D,model 20 C,4.56667,87.1347,,,,
D,model 20 C,4.58333,86.3273,,,,
D,model 20 C,4.6,85.3088,,,,
D,model 20 C,4.61667,84.4142,,,,
D,model 20 C,4.63333,83.4818,,,,
D,model 20 C,4.65,82.3682,,,,
D,model 20 C,4.66667,81.162,,,,
D,model 20 C,4.68333,80.0388,,,,
D,model 20 C,4.7,78.7994,,,,
D,model 20 C,4.71667,77.6251,,,,
D,model 20 C,4.73333,76.5177,,,,
D,model 20 C,4.75,75.4676,,,,
D,model 20 C,4.76667,74.3813,,,,
D,model 20 C,4.78333,73.2819,,,,
D,model 20 C,4.8,72.1951,,,,
D,model 20 C,4.81667,70.995,,,,
D,model 20 C,4.83333,69.9904,,,,
D,model 20 C,4.85,68.943,,,,
D,model 20 C,4.86667,68.0555,,,,
D,model 20 C,4.88333,67.1356,,,,
D,model 20 C,4.9,66.6898,,,,
D,model 20 C,4.91667,65.9623,,,,
D,model 20 C,4.93333,65.5098,,,,
D,model 20 C,4.95,65.1884,,,,
D,model 20 C,4.96667,64.9138,,,,
D,model 20 C,4.98333,65.1469,,,,
D,model 20 C,5,65.2088,,,,
D,model 20 C,5.01667,65.6238,,,,
D,model 20 C,5.03333,66.1406,,,,
D,model 20 C,5.05,66.982,,,,
D,model 20 C,5.06667,67.8354,,,,
D,model 20 C,5.08333,68.8939,,,,
D,model 20 C,5.1,69.9736,,,,
D,model 20 C,5.11667,71.1538,,,,
D,model 20 C,5.13333,72.2618,,,,
D,model 20 C,5.15,73.1861,,,,
D,model 20 C,5.16667,74.2424,,,,
D,model 20 C,5.18333,75.2647,,,,
D,model 20 C,5.2,76.0466,,,,
D,model 20 C,5.21667,76.6856,,,,
D,model 20 C,5.23333,77.1695,,,,
D,model 20 C,5.25,77.4622,,,,
D,model 20 C,5.26667,77.6807,,,,
D,model 20 C,5.28333,77.7458,,,,
D,model 20 C,5.3,77.6719,,,,
D,model 20 C,5.31667,77.3632,,,,
D,model 20 C,5.33333,76.8591,,,,
D,model 20 C,5.35,76.1596,,,,
D,model 20 C,5.36667,75.6051,,,,
D,model 20 C,5.38333,74.5965,,,,
D,model 20 C,5.4,73.3481,,,,
D,model 20 C,5.41667,72.2273,,,,
D,model 20 C,5.43333,71.1732,,,,
D,model 20 C,5.45,70.0998,,,,
D,model 20 C,5.46667,69.1527,,,,
D,model 20 C,5.48333,68.0311,,,,
D,model 20 C,5.5,67.0894,,,,
D,model 20 C,5.51667,66.0067,,,,
D,model 20 C,5.53333,64.8636,,,,
D,model 20 C,5.55,63.8068,,,,
D,model 20 C,5.56667,62.7377,,,,
D,model 20 C,5.58333,61.6345,,,,
D,model 20 C,5.6,60.556,,,,
D,model 20 C,5.61667,59.4333,,,,
D,model 20 C,5.63333,58.0072,,,,
D,model 20 C,5.65,56.9915,,,,
D,model 20 C,5.66667,56.0401,,,,
D,model 20 C,5.68333,54.9834,,,,
D,model 20 C,5.7,53.8869,,,,
D,model 20 C,5.71667,53.0801,,,,
D,model 20 C,5.73333,52.2722,,,,
D,model 20 C,5.75,51.8201,,,,
D,model 20 C,5.76667,51.3717,,,,
D,model 20 C,5.78333,51.0391,,,,
D,model 20 C,5.8,50.9041,,,,
D,model 20 C,5.81667,51.0177,,,,
D,model 20 C,5.83333,51.3231,,,,
D,model 20 C,5.85,51.5947,,,,
D,model 20 C,5.86667,52.0474,,,,
D,model 20 C,5.88333,52.5963,,,,
D,model 20 C,5.9,53.267,,,,
D,model 20 C,5.91667,54.0295,,,,
D,model 20 C,5.93333,54.9135,,,,
D,model 20 C,5.95,55.9907,,,,
D,model 20 C,5.96667,57.0725,,,,
D,model 20 C,5.98333,58.083,,,,
D,model 20 C,6,59.2487,,,,
D,model 20 C,6.01667,60.3171,,,,
D,model 20 C,6.03333,61.5231,,,,
D,model 20 C,6.05,62.6183,,,,
D,model 20 C,6.06667,63.8055,,,,
D,model 20 C,6.08333,64.901,,,,
D,model 20 C,6.1,65.8669,,,,
D,model 20 C,6.11667,67.1467,,,,
D,model 20 C,6.13333,68.2921,,,,
D,model 20 C,6.15,69.293,,,,
D,model 20 C,6.16667,70.4759,,,,
D,model 20 C,6.18333,71.6265,,,,
D,model 20 C,6.2,72.8339,,,,
D,model 20 C,6.21667,73.8671,,,,
D,model 20 C,6.23333,75.0667,,,,
D,model 20 C,6.25,76.1642,,,,
D,model 20 C,6.26667,77.153,,,,
D,model 20 C,6.28333,78.2202,,,,
D,model 20 C,6.3,79.3363,,,,
D,model 20 C,6.31667,80.3894,,,,
D,model 20 C,6.33333,81.5521,,,,
D,model 20 C,6.35,82.5652,,,,
D,model 20 C,6.36667,83.6853,,,,
D,model 20 C,6.38333,84.723,,,,
D,model 20 C,6.4,85.8351,,,,
D,model 20 C,6.41667,86.8194,,,,
D,model 20 C,6.43333,87.8231,,,,
D,model 20 C,6.45,88.7641,,,,
D,model 20 C,6.46667,89.6732,,,,
D,model 20 C,6.48333,90.3169,,,,
D,model 20 C,6.5,91.0947,,,,
D,model 20 C,6.51667,91.7045,,,,
D,model 20 C,6.53333,92.2904,,,,
D,model 20 C,6.55,92.6742,,,,
D,model 20 C,6.56667,93.0938,,,,
D,model 20 C,6.58333,93.228,,,,
D,model 20 C,6.6,93.4207,,,,
D,model 20 C,6.61667,93.3845,,,,
D,model 20 C,6.63333,93.3821,,,,
D,model 20 C,6.65,93.2057,,,,
D,model 20 C,6.66667,92.916,,,,
D,model 20 C,6.68333,92.7016,,,,
D,model 20 C,6.7,92.5174,,,,
D,model 20 C,6.71667,92.5047,,,,
D,model 20 C,6.73333,92.6811,,,,
D,model 20 C,6.75,92.3829,,,,
D,model 20 C,6.76667,92.0591,,,,
D,model 20 C,6.78333,91.7562,,,,
D,model 20 C,6.8,91.5289,,,,
D,model 20 C,6.81667,91.3474,,,,
D,model 20 C,6.83333,91.315,,,,
D,model 20 C,6.85,91.4153,,,,
D,model 20 C,6.86667,91.1544,,,,
D,model 20 C,6.88333,91.1423,,,,
D,model 20 C,6.9,91.1967,,,,
D,model 20 C,6.91667,91.2635,,,,
D,model 20 C,6.93333,91.4547,,,,
D,model 20 C,6.95,91.6211,,,,
D,model 20 C,6.96667,91.6348,,,,
D,model 20 C,6.98333,91.6306,,,,
D,model 20 C,7,91.603,,,,
D,model 20 C,7.01667,91.944,,,,
D,model 20 C,7.03333,91.9048,,,,
D,model 20 C,7.05,91.8756,,,,
D,model 20 C,7.06667,92.2142,,,,
D,model 20 C,7.08333,92.3761,,,,
D,model 20 C,7.1,92.2362,,,,
D,model 20 C,7.11667,92.2322,,,,
D,model 20 C,7.13333,92.4895,,,,
D,model 20 C,7.15,92.5216,,,,
D,model 20 C,7.16667,92.5294,,,,
D,model 20 C,7.18333,92.5134,,,,
D,model 20 C,7.2,92.3226,,,,
D,model 20 C,7.21667,91.9885,,,,
D,model 20 C,7.23333,91.7948,,,,
D,model 20 C,7.25,91.6199,,,,
D,model 20 C,7.26667,91.4434,,,,
D,model 20 C,7.28333,91.3989,,,,
D,model 20 C,7.3,91.3119,,,,
D,model 20 C,7.31667,91.3127,,,,
D,model 20 C,7.33333,91.1137,,,,
D,model 20 C,7.35,90.7623,,,,
D,model 20 C,7.36667,90.5947,,,,
D,model 20 C,7.38333,90.2023,,,,
D,model 20 C,7.4,89.8855,,,,
D,model 20 C,7.41667,89.5552,,,,
D,model 20 C,7.43333,89.1068,,,,
D,model 20 C,7.45,88.6128,,,,
D,model 20 C,7.46667,87.9018,,,,
D,model 20 C,7.48333,87.4138,,,,
D,model 20 C,7.5,86.4616,,,,
D,model 20 C,7.51667,85.4032,,,,
D,model 20 C,7.53333,84.4661,,,,
D,model 20 C,7.55,83.5085,,,,
D,model 20 C,7.56667,82.3325,,,,
D,model 20 C,7.58333,81.3556,,,,
D,model 20 C,7.6,80.2833,,,,
D,model 20 C,7.61667,79.1148,,,,
D,model 20 C,7.63333,78.0755,,,,
D,model 20 C,7.65,76.8952,,,,
D,model 20 C,7.66667,75.816,,,,
D,model 20 C,7.68333,74.7249,,,,
D,model 20 C,7.7,73.5831,,,,
D,model 20 C,7.71667,72.3522,,,,
D,model 20 C,7.73333,71.247,,,,
D,model 20 C,7.75,70.1663,,,,
D,model 20 C,7.76667,69.0504,,,,
D,model 20 C,7.78333,67.8383,,,,
D,model 20 C,7.8,66.8606,,,,
D,model 20 C,7.81667,66.1105,,,,
D,model 20 C,7.83333,65.6983,,,,
D,model 20 C,7.85,65.005,,,,
D,model 20 C,7.86667,64.7489,,,,
D,model 20 C,7.88333,64.6668,,,,
D,model 20 C,7.9,64.4367,,,,
D,model 20 C,7.91667,64.5062,,,,
D,model 20 C,7.93333,64.8875,,,,
D,model 20 C,7.95,65.1443,,,,
D,model 20 C,7.96667,65.8361,,,,
D,model 20 C,7.98333,66.6011,,,,
D,model 20 C,8,67.5515,,,,
D,model 20 C,8.01667,68.4782,,,,
D,model 20 C,8.03333,69.776,,,,
D,model 20 C,8.05,70.8798,,,,
D,model 20 C,8.06667,71.9674,,,,
D,model 20 C,8.08333,73.0397,,,,
D,model 20 C,8.1,74.0537,,,,
D,model 20 C,8.11667,75.1056,,,,
D,model 20 C,8.13333,76.1037,,,,
D,model 20 C,8.15,76.9507,,,,
D,model 20 C,8.16667,77.7968,,,,
D,model 20 C,8.18333,78.456,,,,
D,model 20 C,8.2,78.9235,,,,
D,model 20 C,8.21667,79.3518,,,,
D,model 20 C,8.23333,79.6356,,,,
D,model 20 C,8.25,79.8202,,,,
D,model 20 C,8.26667,79.7766,,,,
D,model 20 C,8.28333,79.5405,,,,
D,model 20 C,8.3,79.2045,,,,
D,model 20 C,8.31667,78.6517,,,,
D,model 20 C,8.33333,77.9564,,,,
D,model 20 C,8.35,76.9952,,,,
D,model 20 C,8.36667,75.9689,,,,
D,model 20 C,8.38333,74.656,,,,
D,model 20 C,8.4,73.6085,,,,
D,model 20 C,8.41667,72.5131,,,,
D,model 20 C,8.43333,71.2932,,,,
D,model 20 C,8.45,69.992,,,,
D,model 20 C,8.46667,68.8384,,,,
D,model 20 C,8.48333,67.7475,,,,
D,model 20 C,8.5,66.5626,,,,
D,model 20 C,8.51667,65.3516,,,,
D,model 20 C,8.53333,64.1839,,,,
D,model 20 C,8.55,63.1134,,,,
D,model 20 C,8.56667,61.9643,,,,
D,model 20 C,8.58333,60.6838,,,,
D,model 20 C,8.6,59.5968,,,,
