series,Rg_over_lc,Re_over_lc,log10_probability_ratio
living worms 30 C over 20 C,0.063,0.049,0.137914
living worms 30 C over 20 C,0.063,0.071,0.153757
living worms 30 C over 20 C,0.063,0.093,0.208512
living worms 30 C over 20 C,0.063,0.115,0.26047
living worms 30 C over 20 C,0.063,0.137,0.280895
living worms 30 C over 20 C,0.063,0.159,0.270976
living worms 30 C over 20 C,0.063,0.181,0.251811
living worms 30 C over 20 C,0.063,0.203,0.224314
living worms 30 C over 20 C,0.069,0.005,0.211817
living worms 30 C over 20 C,0.069,0.027,0.180967
living worms 30 C over 20 C,0.069,0.049,0.149994
living worms 30 C over 20 C,0.069,0.071,0.155142
living worms 30 C over 20 C,0.069,0.093,0.192666
living worms 30 C over 20 C,0.069,0.115,0.24663
living worms 30 C over 20 C,0.069,0.137,0.275977
living worms 30 C over 20 C,0.069,0.159,0.269614
living worms 30 C over 20 C,0.069,0.181,0.255934
living worms 30 C over 20 C,0.069,0.203,0.23996
living worms 30 C over 20 C,0.069,0.225,0.211698
living worms 30 C over 20 C,0.069,0.247,0.17476
living worms 30 C over 20 C,0.075,0.005,0.213479
living worms 30 C over 20 C,0.075,0.027,0.173429
living worms 30 C over 20 C,0.075,0.049,0.149212
living worms 30 C over 20 C,0.075,0.071,0.161852
living worms 30 C over 20 C,0.075,0.093,0.183256
living worms 30 C over 20 C,0.075,0.115,0.220349
living worms 30 C over 20 C,0.075,0.137,0.245692
living worms 30 C over 20 C,0.075,0.159,0.248451
living worms 30 C over 20 C,0.075,0.181,0.24843
living worms 30 C over 20 C,0.075,0.203,0.246076
living worms 30 C over 20 C,0.075,0.225,0.232226
living worms 30 C over 20 C,0.075,0.247,0.198897
living worms 30 C over 20 C,0.075,0.269,0.145966
living worms 30 C over 20 C,0.081,0.005,0.220065
living worms 30 C over 20 C,0.081,0.027,0.166347
living worms 30 C over 20 C,0.081,0.049,0.146766
living worms 30 C over 20 C,0.081,0.071,0.179471
living worms 30 C over 20 C,0.081,0.093,0.205844
living worms 30 C over 20 C,0.081,0.115,0.219135
living worms 30 C over 20 C,0.081,0.137,0.221992
living worms 30 C over 20 C,0.081,0.159,0.227037
living worms 30 C over 20 C,0.081,0.181,0.237204
living worms 30 C over 20 C,0.081,0.203,0.242453
living worms 30 C over 20 C,0.081,0.225,0.243593
living worms 30 C over 20 C,0.081,0.247,0.225125
living worms 30 C over 20 C,0.081,0.269,0.170208
living worms 30 C over 20 C,0.081,0.291,0.0940257
living worms 30 C over 20 C,0.087,0.005,0.209191
living worms 30 C over 20 C,0.087,0.027,0.155029
living worms 30 C over 20 C,0.087,0.049,0.146581
living worms 30 C over 20 C,0.087,0.071,0.190866
living worms 30 C over 20 C,0.087,0.093,0.222041
living worms 30 C over 20 C,0.087,0.115,0.229577
living worms 30 C over 20 C,0.087,0.137,0.227907
living worms 30 C over 20 C,0.087,0.159,0.235021
living worms 30 C over 20 C,0.087,0.181,0.242218
living worms 30 C over 20 C,0.087,0.203,0.247419
living worms 30 C over 20 C,0.087,0.225,0.262905
living worms 30 C over 20 C,0.087,0.247,0.261587
living worms 30 C over 20 C,0.087,0.269,0.211547
living worms 30 C over 20 C,0.087,0.291,0.137491
living worms 30 C over 20 C,0.087,0.313,0.0739344
living worms 30 C over 20 C,0.087,0.335,0.0359197
living worms 30 C over 20 C,0.093,0.005,0.216805
living worms 30 C over 20 C,0.093,0.027,0.16386
living worms 30 C over 20 C,0.093,0.049,0.151864
living worms 30 C over 20 C,0.093,0.071,0.189402
living worms 30 C over 20 C,0.093,0.093,0.230033
living worms 30 C over 20 C,0.093,0.115,0.256345
living worms 30 C over 20 C,0.093,0.137,0.267335
living worms 30 C over 20 C,0.093,0.159,0.265604
living worms 30 C over 20 C,0.093,0.181,0.252295
living worms 30 C over 20 C,0.093,0.203,0.251471
living worms 30 C over 20 C,0.093,0.225,0.278489
living worms 30 C over 20 C,0.093,0.247,0.293432
living worms 30 C over 20 C,0.093,0.269,0.258713
living worms 30 C over 20 C,0.093,0.291,0.193757
living worms 30 C over 20 C,0.093,0.313,0.12491
living worms 30 C over 20 C,0.093,0.335,0.0642551
living worms 30 C over 20 C,0.093,0.357,0.011441
living worms 30 C over 20 C,0.099,0.005,0.259818
living worms 30 C over 20 C,0.099,0.027,0.20212
living worms 30 C over 20 C,0.099,0.049,0.166748
living worms 30 C over 20 C,0.099,0.071,0.181547
living worms 30 C over 20 C,0.099,0.093,0.231694
living worms 30 C over 20 C,0.099,0.115,0.28232
living worms 30 C over 20 C,0.099,0.137,0.304636
living worms 30 C over 20 C,0.099,0.159,0.285535
living worms 30 C over 20 C,0.099,0.181,0.252657
living worms 30 C over 20 C,0.099,0.203,0.251024
living worms 30 C over 20 C,0.099,0.225,0.287488
living worms 30 C over 20 C,0.099,0.247,0.318513
living worms 30 C over 20 C,0.099,0.269,0.305069
living worms 30 C over 20 C,0.099,0.291,0.249039
living worms 30 C over 20 C,0.099,0.313,0.172743
living worms 30 C over 20 C,0.099,0.335,0.0941733
living worms 30 C over 20 C,0.099,0.357,0.0273178
living worms 30 C over 20 C,0.099,0.379,-0.0456628
living worms 30 C over 20 C,0.105,0.005,0.270117
living worms 30 C over 20 C,0.105,0.027,0.208927
living worms 30 C over 20 C,0.105,0.049,0.158923
living worms 30 C over 20 C,0.105,0.071,0.157793
living worms 30 C over 20 C,0.105,0.093,0.204274
living worms 30 C over 20 C,0.105,0.115,0.265118
living worms 30 C over 20 C,0.105,0.137,0.298188
living worms 30 C over 20 C,0.105,0.159,0.29067
living worms 30 C over 20 C,0.105,0.181,0.2718
living worms 30 C over 20 C,0.105,0.203,0.275893
living worms 30 C over 20 C,0.105,0.225,0.30759
living worms 30 C over 20 C,0.105,0.247,0.33529
living worms 30 C over 20 C,0.105,0.269,0.32931
living worms 30 C over 20 C,0.105,0.291,0.289811
living worms 30 C over 20 C,0.105,0.313,0.224391
living worms 30 C over 20 C,0.105,0.335,0.144601
living worms 30 C over 20 C,0.105,0.357,0.0641986
living worms 30 C over 20 C,0.105,0.379,-0.01396
living worms 30 C over 20 C,0.105,0.401,-0.0656521
living worms 30 C over 20 C,0.111,0.005,0.229882
living worms 30 C over 20 C,0.111,0.027,0.165195
living worms 30 C over 20 C,0.111,0.049,0.113149
living worms 30 C over 20 C,0.111,0.071,0.113879
living worms 30 C over 20 C,0.111,0.093,0.162556
living worms 30 C over 20 C,0.111,0.115,0.233567
living worms 30 C over 20 C,0.111,0.137,0.291131
living worms 30 C over 20 C,0.111,0.159,0.311424
living worms 30 C over 20 C,0.111,0.181,0.31155
living worms 30 C over 20 C,0.111,0.203,0.313316
living worms 30 C over 20 C,0.111,0.225,0.322506
living worms 30 C over 20 C,0.111,0.247,0.330889
living worms 30 C over 20 C,0.111,0.269,0.323593
living worms 30 C over 20 C,0.111,0.291,0.302468
living worms 30 C over 20 C,0.111,0.313,0.256053
living worms 30 C over 20 C,0.111,0.335,0.185689
living worms 30 C over 20 C,0.111,0.357,0.0958933
living worms 30 C over 20 C,0.111,0.379,0.0120442
living worms 30 C over 20 C,0.111,0.401,-0.0321074
living worms 30 C over 20 C,0.111,0.423,-0.0484754
living worms 30 C over 20 C,0.117,0.005,0.196529
living worms 30 C over 20 C,0.117,0.027,0.123932
living worms 30 C over 20 C,0.117,0.049,0.0600756
living worms 30 C over 20 C,0.117,0.071,0.057213
living worms 30 C over 20 C,0.117,0.093,0.121481
living worms 30 C over 20 C,0.117,0.115,0.211153
living worms 30 C over 20 C,0.117,0.137,0.291229
living worms 30 C over 20 C,0.117,0.159,0.32543
living worms 30 C over 20 C,0.117,0.181,0.331518
living worms 30 C over 20 C,0.117,0.203,0.334009
living worms 30 C over 20 C,0.117,0.225,0.333028
living worms 30 C over 20 C,0.117,0.247,0.334938
living worms 30 C over 20 C,0.117,0.269,0.326924
living worms 30 C over 20 C,0.117,0.291,0.301292
living worms 30 C over 20 C,0.117,0.313,0.250758
living worms 30 C over 20 C,0.117,0.335,0.178754
living worms 30 C over 20 C,0.117,0.357,0.0820981
living worms 30 C over 20 C,0.117,0.379,3.7589e-05
living worms 30 C over 20 C,0.117,0.401,-0.0335991
living worms 30 C over 20 C,0.117,0.423,-0.046259
living worms 30 C over 20 C,0.117,0.445,-0.0768512
living worms 30 C over 20 C,0.123,0.005,0.193685
living worms 30 C over 20 C,0.123,0.027,0.116588
living worms 30 C over 20 C,0.123,0.049,0.0382142
living worms 30 C over 20 C,0.123,0.071,0.0292693
living worms 30 C over 20 C,0.123,0.093,0.105621
living worms 30 C over 20 C,0.123,0.115,0.195157
living worms 30 C over 20 C,0.123,0.137,0.26253
living worms 30 C over 20 C,0.123,0.159,0.292203
living worms 30 C over 20 C,0.123,0.181,0.312813
living worms 30 C over 20 C,0.123,0.203,0.337405
living worms 30 C over 20 C,0.123,0.225,0.35196
living worms 30 C over 20 C,0.123,0.247,0.359297
living worms 30 C over 20 C,0.123,0.269,0.340241
living worms 30 C over 20 C,0.123,0.291,0.295089
living worms 30 C over 20 C,0.123,0.313,0.235096
living worms 30 C over 20 C,0.123,0.335,0.160416
living worms 30 C over 20 C,0.123,0.357,0.061107
living worms 30 C over 20 C,0.123,0.379,-0.0140915
living worms 30 C over 20 C,0.123,0.401,-0.0351446
living worms 30 C over 20 C,0.123,0.423,-0.0383024
living worms 30 C over 20 C,0.123,0.445,-0.0623251
living worms 30 C over 20 C,0.123,0.467,-0.113632
living worms 30 C over 20 C,0.129,0.005,0.221599
living worms 30 C over 20 C,0.129,0.027,0.143271
living worms 30 C over 20 C,0.129,0.049,0.0500298
living worms 30 C over 20 C,0.129,0.071,0.0448439
living worms 30 C over 20 C,0.129,0.093,0.121731
living worms 30 C over 20 C,0.129,0.115,0.190351
living worms 30 C over 20 C,0.129,0.137,0.228795
living worms 30 C over 20 C,0.129,0.159,0.24663
living worms 30 C over 20 C,0.129,0.181,0.275599
living worms 30 C over 20 C,0.129,0.203,0.307699
living worms 30 C over 20 C,0.129,0.225,0.340443
living worms 30 C over 20 C,0.129,0.247,0.356167
living worms 30 C over 20 C,0.129,0.269,0.327483
living worms 30 C over 20 C,0.129,0.291,0.279884
living worms 30 C over 20 C,0.129,0.313,0.222054
living worms 30 C over 20 C,0.129,0.335,0.147184
living worms 30 C over 20 C,0.129,0.357,0.0469059
living worms 30 C over 20 C,0.129,0.379,-0.0311865
living worms 30 C over 20 C,0.129,0.401,-0.0534613
living worms 30 C over 20 C,0.129,0.423,-0.0513475
living worms 30 C over 20 C,0.129,0.445,-0.0648715
living worms 30 C over 20 C,0.129,0.467,-0.107659
living worms 30 C over 20 C,0.129,0.489,-0.148764
living worms 30 C over 20 C,0.135,0.005,0.230049
living worms 30 C over 20 C,0.135,0.027,0.172002
living worms 30 C over 20 C,0.135,0.049,0.0877396
living worms 30 C over 20 C,0.135,0.071,0.080179
living worms 30 C over 20 C,0.135,0.093,0.129836
living worms 30 C over 20 C,0.135,0.115,0.188223
living worms 30 C over 20 C,0.135,0.137,0.22405
living worms 30 C over 20 C,0.135,0.159,0.234947
living worms 30 C over 20 C,0.135,0.181,0.246589
living worms 30 C over 20 C,0.135,0.203,0.250432
living worms 30 C over 20 C,0.135,0.225,0.283814
living worms 30 C over 20 C,0.135,0.247,0.317258
living worms 30 C over 20 C,0.135,0.269,0.306434
living worms 30 C over 20 C,0.135,0.291,0.268061
living worms 30 C over 20 C,0.135,0.313,0.205386
living worms 30 C over 20 C,0.135,0.335,0.124225
living worms 30 C over 20 C,0.135,0.357,0.0211006
living worms 30 C over 20 C,0.135,0.379,-0.0627173
living worms 30 C over 20 C,0.135,0.401,-0.0926423
living worms 30 C over 20 C,0.135,0.423,-0.0854023
living worms 30 C over 20 C,0.135,0.445,-0.0741942
living worms 30 C over 20 C,0.135,0.467,-0.0929058
living worms 30 C over 20 C,0.135,0.489,-0.127392
living worms 30 C over 20 C,0.135,0.511,-0.149309
living worms 30 C over 20 C,0.141,0.005,0.221499
living worms 30 C over 20 C,0.141,0.027,0.193468
living worms 30 C over 20 C,0.141,0.049,0.136668
living worms 30 C over 20 C,0.141,0.071,0.114609
living worms 30 C over 20 C,0.141,0.093,0.127174
living worms 30 C over 20 C,0.141,0.115,0.186884
living worms 30 C over 20 C,0.141,0.137,0.239909
living worms 30 C over 20 C,0.141,0.159,0.252021
living worms 30 C over 20 C,0.141,0.181,0.233874
living worms 30 C over 20 C,0.141,0.203,0.189701
living worms 30 C over 20 C,0.141,0.225,0.199214
living worms 30 C over 20 C,0.141,0.247,0.241812
living worms 30 C over 20 C,0.141,0.269,0.260277
living worms 30 C over 20 C,0.141,0.291,0.23892
living worms 30 C over 20 C,0.141,0.313,0.172743
living worms 30 C over 20 C,0.141,0.335,0.0897259
living worms 30 C over 20 C,0.141,0.357,-0.00391884
living worms 30 C over 20 C,0.141,0.379,-0.0836586
living worms 30 C over 20 C,0.141,0.401,-0.120314
living worms 30 C over 20 C,0.141,0.423,-0.109885
living worms 30 C over 20 C,0.141,0.445,-0.0792098
living worms 30 C over 20 C,0.141,0.467,-0.0800895
living worms 30 C over 20 C,0.141,0.489,-0.110604
living worms 30 C over 20 C,0.141,0.511,-0.140586
living worms 30 C over 20 C,0.141,0.533,-0.14101
living worms 30 C over 20 C,0.147,0.005,0.262594
living worms 30 C over 20 C,0.147,0.027,0.25546
living worms 30 C over 20 C,0.147,0.049,0.209637
living worms 30 C over 20 C,0.147,0.071,0.157336
living worms 30 C over 20 C,0.147,0.093,0.142882
living worms 30 C over 20 C,0.147,0.115,0.189535
living worms 30 C over 20 C,0.147,0.137,0.228992
living worms 30 C over 20 C,0.147,0.159,0.243972
living worms 30 C over 20 C,0.147,0.181,0.218125
living worms 30 C over 20 C,0.147,0.203,0.139958
living worms 30 C over 20 C,0.147,0.225,0.114965
living worms 30 C over 20 C,0.147,0.247,0.138539
living worms 30 C over 20 C,0.147,0.269,0.16198
living worms 30 C over 20 C,0.147,0.291,0.161452
living worms 30 C over 20 C,0.147,0.313,0.107704
living worms 30 C over 20 C,0.147,0.335,0.0282683
living worms 30 C over 20 C,0.147,0.357,-0.0484567
living worms 30 C over 20 C,0.147,0.379,-0.110057
living worms 30 C over 20 C,0.147,0.401,-0.13986
living worms 30 C over 20 C,0.147,0.423,-0.131476
living worms 30 C over 20 C,0.147,0.445,-0.0990378
living worms 30 C over 20 C,0.147,0.467,-0.0874944
living worms 30 C over 20 C,0.147,0.489,-0.100689
living worms 30 C over 20 C,0.147,0.511,-0.113314
living worms 30 C over 20 C,0.147,0.533,-0.106413
living worms 30 C over 20 C,0.147,0.555,-0.0965443
living worms 30 C over 20 C,0.153,0.005,0.309726
living worms 30 C over 20 C,0.153,0.027,0.337536
living worms 30 C over 20 C,0.153,0.049,0.319342
living worms 30 C over 20 C,0.153,0.071,0.245725
living worms 30 C over 20 C,0.153,0.093,0.205292
living worms 30 C over 20 C,0.153,0.115,0.208961
living worms 30 C over 20 C,0.153,0.137,0.191478
living worms 30 C over 20 C,0.153,0.159,0.196035
living worms 30 C over 20 C,0.153,0.181,0.177976
living worms 30 C over 20 C,0.153,0.203,0.1051
living worms 30 C over 20 C,0.153,0.225,0.0735737
living worms 30 C over 20 C,0.153,0.247,0.0747509
living worms 30 C over 20 C,0.153,0.269,0.0761807
living worms 30 C over 20 C,0.153,0.291,0.0644658
living worms 30 C over 20 C,0.153,0.313,0.0158662
living worms 30 C over 20 C,0.153,0.335,-0.0511874
living worms 30 C over 20 C,0.153,0.357,-0.1043
living worms 30 C over 20 C,0.153,0.379,-0.142191
living worms 30 C over 20 C,0.153,0.401,-0.165387
living worms 30 C over 20 C,0.153,0.423,-0.171991
living worms 30 C over 20 C,0.153,0.445,-0.152926
living worms 30 C over 20 C,0.153,0.467,-0.134743
living worms 30 C over 20 C,0.153,0.489,-0.120879
living worms 30 C over 20 C,0.153,0.511,-0.105103
living worms 30 C over 20 C,0.153,0.533,-0.0907725
living worms 30 C over 20 C,0.153,0.555,-0.0831242
living worms 30 C over 20 C,0.153,0.577,-0.073525
living worms 30 C over 20 C,0.159,0.005,0.273788
living worms 30 C over 20 C,0.159,0.027,0.353941
living worms 30 C over 20 C,0.159,0.049,0.412536
living worms 30 C over 20 C,0.159,0.071,0.370618
living worms 30 C over 20 C,0.159,0.093,0.304358
living worms 30 C over 20 C,0.159,0.115,0.242272
living worms 30 C over 20 C,0.159,0.137,0.173473
living worms 30 C over 20 C,0.159,0.159,0.174628
living worms 30 C over 20 C,0.159,0.181,0.171582
living worms 30 C over 20 C,0.159,0.203,0.115716
living worms 30 C over 20 C,0.159,0.225,0.0826551
living worms 30 C over 20 C,0.159,0.247,0.058465
living worms 30 C over 20 C,0.159,0.269,0.0207719
living worms 30 C over 20 C,0.159,0.291,-0.0214837
living worms 30 C over 20 C,0.159,0.313,-0.0713943
living worms 30 C over 20 C,0.159,0.335,-0.117239
living worms 30 C over 20 C,0.159,0.357,-0.143764
living worms 30 C over 20 C,0.159,0.379,-0.168201
living worms 30 C over 20 C,0.159,0.401,-0.197206
living worms 30 C over 20 C,0.159,0.423,-0.222572
living worms 30 C over 20 C,0.159,0.445,-0.218107
living worms 30 C over 20 C,0.159,0.467,-0.197493
living worms 30 C over 20 C,0.159,0.489,-0.165234
living worms 30 C over 20 C,0.159,0.511,-0.127996
living worms 30 C over 20 C,0.159,0.533,-0.100417
living worms 30 C over 20 C,0.159,0.555,-0.0865177
living worms 30 C over 20 C,0.159,0.577,-0.075125
living worms 30 C over 20 C,0.165,0.049,0.460142
living worms 30 C over 20 C,0.165,0.071,0.473672
living worms 30 C over 20 C,0.165,0.093,0.394854
living worms 30 C over 20 C,0.165,0.115,0.290971
living worms 30 C over 20 C,0.165,0.137,0.20537
living worms 30 C over 20 C,0.165,0.159,0.203327
living worms 30 C over 20 C,0.165,0.181,0.196711
living worms 30 C over 20 C,0.165,0.203,0.137081
living worms 30 C over 20 C,0.165,0.225,0.0937626
living worms 30 C over 20 C,0.165,0.247,0.0555215
living worms 30 C over 20 C,0.165,0.269,-0.00352098
living worms 30 C over 20 C,0.165,0.291,-0.0634919
living worms 30 C over 20 C,0.165,0.313,-0.120789
living worms 30 C over 20 C,0.165,0.335,-0.166026
living worms 30 C over 20 C,0.165,0.357,-0.188135
living worms 30 C over 20 C,0.165,0.379,-0.207413
living worms 30 C over 20 C,0.165,0.401,-0.236284
living worms 30 C over 20 C,0.165,0.423,-0.26754
living worms 30 C over 20 C,0.165,0.445,-0.261396
living worms 30 C over 20 C,0.165,0.467,-0.229187
living worms 30 C over 20 C,0.165,0.489,-0.188052
living worms 30 C over 20 C,0.165,0.511,-0.147391
living worms 30 C over 20 C,0.165,0.533,-0.124657
living worms 30 C over 20 C,0.165,0.555,-0.115305
living worms 30 C over 20 C,0.165,0.577,-0.105698
living worms 30 C over 20 C,0.165,0.599,-0.0930785
living worms 30 C over 20 C,0.171,0.093,0.390765
living worms 30 C over 20 C,0.171,0.115,0.30171
living worms 30 C over 20 C,0.171,0.137,0.220562
living worms 30 C over 20 C,0.171,0.159,0.194268
living worms 30 C over 20 C,0.171,0.181,0.158678
living worms 30 C over 20 C,0.171,0.203,0.102618
living worms 30 C over 20 C,0.171,0.225,0.0747215
living worms 30 C over 20 C,0.171,0.247,0.0393477
living worms 30 C over 20 C,0.171,0.269,-0.0168133
living worms 30 C over 20 C,0.171,0.291,-0.0691543
living worms 30 C over 20 C,0.171,0.313,-0.129282
living worms 30 C over 20 C,0.171,0.335,-0.194685
living worms 30 C over 20 C,0.171,0.357,-0.229844
living worms 30 C over 20 C,0.171,0.379,-0.235405
living worms 30 C over 20 C,0.171,0.401,-0.246001
living worms 30 C over 20 C,0.171,0.423,-0.281235
living worms 30 C over 20 C,0.171,0.445,-0.284406
living worms 30 C over 20 C,0.171,0.467,-0.243089
living worms 30 C over 20 C,0.171,0.489,-0.190995
living worms 30 C over 20 C,0.171,0.511,-0.153487
living worms 30 C over 20 C,0.171,0.533,-0.152598
living worms 30 C over 20 C,0.171,0.555,-0.159769
living worms 30 C over 20 C,0.171,0.577,-0.159409
living worms 30 C over 20 C,0.171,0.599,-0.159308
living worms 30 C over 20 C,0.171,0.621,-0.156804
living worms 30 C over 20 C,0.177,0.115,0.285167
living worms 30 C over 20 C,0.177,0.137,0.195156
living worms 30 C over 20 C,0.177,0.159,0.152119
living worms 30 C over 20 C,0.177,0.181,0.115903
living worms 30 C over 20 C,0.177,0.203,0.0667015
living worms 30 C over 20 C,0.177,0.225,0.033185
living worms 30 C over 20 C,0.177,0.247,-0.0116213
living worms 30 C over 20 C,0.177,0.269,-0.0560394
living worms 30 C over 20 C,0.177,0.291,-0.0863437
living worms 30 C over 20 C,0.177,0.313,-0.140748
living worms 30 C over 20 C,0.177,0.335,-0.220318
living worms 30 C over 20 C,0.177,0.357,-0.262571
living worms 30 C over 20 C,0.177,0.379,-0.2495
living worms 30 C over 20 C,0.177,0.401,-0.232905
living worms 30 C over 20 C,0.177,0.423,-0.261124
living worms 30 C over 20 C,0.177,0.445,-0.285939
living worms 30 C over 20 C,0.177,0.467,-0.254966
living worms 30 C over 20 C,0.177,0.489,-0.196815
living worms 30 C over 20 C,0.177,0.511,-0.162703
living worms 30 C over 20 C,0.177,0.533,-0.177918
living worms 30 C over 20 C,0.177,0.555,-0.198595
living worms 30 C over 20 C,0.177,0.577,-0.206144
living worms 30 C over 20 C,0.177,0.599,-0.214342
living worms 30 C over 20 C,0.177,0.621,-0.217094
living worms 30 C over 20 C,0.177,0.643,-0.19379
living worms 30 C over 20 C,0.183,0.159,0.138364
living worms 30 C over 20 C,0.183,0.181,0.109836
living worms 30 C over 20 C,0.183,0.203,0.0305262
living worms 30 C over 20 C,0.183,0.225,-0.0240556
living worms 30 C over 20 C,0.183,0.247,-0.0462672
living worms 30 C over 20 C,0.183,0.269,-0.0665794
living worms 30 C over 20 C,0.183,0.291,-0.099168
living worms 30 C over 20 C,0.183,0.313,-0.168671
living worms 30 C over 20 C,0.183,0.335,-0.252327
living worms 30 C over 20 C,0.183,0.357,-0.287253
living worms 30 C over 20 C,0.183,0.379,-0.26463
living worms 30 C over 20 C,0.183,0.401,-0.2343
living worms 30 C over 20 C,0.183,0.423,-0.244566
living worms 30 C over 20 C,0.183,0.445,-0.275987
living worms 30 C over 20 C,0.183,0.467,-0.261347
living worms 30 C over 20 C,0.183,0.489,-0.2088
living worms 30 C over 20 C,0.183,0.511,-0.177708
living worms 30 C over 20 C,0.183,0.533,-0.189575
living worms 30 C over 20 C,0.183,0.555,-0.212525
living worms 30 C over 20 C,0.183,0.577,-0.229959
living worms 30 C over 20 C,0.183,0.599,-0.241802
living worms 30 C over 20 C,0.183,0.621,-0.246634
living worms 30 C over 20 C,0.183,0.643,-0.242761
living worms 30 C over 20 C,0.183,0.665,-0.236137
living worms 30 C over 20 C,0.189,0.203,-0.0653984
living worms 30 C over 20 C,0.189,0.225,-0.103194
living worms 30 C over 20 C,0.189,0.247,-0.053738
living worms 30 C over 20 C,0.189,0.269,-0.0363889
living worms 30 C over 20 C,0.189,0.291,-0.101239
living worms 30 C over 20 C,0.189,0.313,-0.195815
living worms 30 C over 20 C,0.189,0.335,-0.251881
living worms 30 C over 20 C,0.189,0.357,-0.258892
living worms 30 C over 20 C,0.189,0.379,-0.247327
living worms 30 C over 20 C,0.189,0.401,-0.237254
living worms 30 C over 20 C,0.189,0.423,-0.235404
living worms 30 C over 20 C,0.189,0.445,-0.253262
living worms 30 C over 20 C,0.189,0.467,-0.251592
living worms 30 C over 20 C,0.189,0.489,-0.215546
living worms 30 C over 20 C,0.189,0.511,-0.194802
living worms 30 C over 20 C,0.189,0.533,-0.20215
living worms 30 C over 20 C,0.189,0.555,-0.224279
living worms 30 C over 20 C,0.189,0.577,-0.256608
living worms 30 C over 20 C,0.189,0.599,-0.277836
living worms 30 C over 20 C,0.189,0.621,-0.284571
living worms 30 C over 20 C,0.189,0.643,-0.301303
living worms 30 C over 20 C,0.189,0.665,-0.300127
living worms 30 C over 20 C,0.189,0.687,-0.24189
living worms 30 C over 20 C,0.195,0.247,-0.0581341
living worms 30 C over 20 C,0.195,0.269,-0.0195721
living worms 30 C over 20 C,0.195,0.291,-0.100404
living worms 30 C over 20 C,0.195,0.313,-0.198114
living worms 30 C over 20 C,0.195,0.335,-0.216919
living worms 30 C over 20 C,0.195,0.357,-0.197946
living worms 30 C over 20 C,0.195,0.379,-0.211687
living worms 30 C over 20 C,0.195,0.401,-0.248586
living worms 30 C over 20 C,0.195,0.423,-0.256765
living worms 30 C over 20 C,0.195,0.445,-0.251274
living worms 30 C over 20 C,0.195,0.467,-0.243631
living worms 30 C over 20 C,0.195,0.489,-0.212396
living worms 30 C over 20 C,0.195,0.511,-0.207191
living worms 30 C over 20 C,0.195,0.533,-0.23297
living worms 30 C over 20 C,0.195,0.555,-0.259455
living worms 30 C over 20 C,0.195,0.577,-0.293654
living worms 30 C over 20 C,0.195,0.599,-0.323849
living worms 30 C over 20 C,0.195,0.621,-0.331889
living worms 30 C over 20 C,0.195,0.643,-0.347316
living worms 30 C over 20 C,0.195,0.665,-0.34504
living worms 30 C over 20 C,0.195,0.687,-0.291196
living worms 30 C over 20 C,0.195,0.709,-0.234094
living worms 30 C over 20 C,0.201,0.291,-0.0946381
living worms 30 C over 20 C,0.201,0.313,-0.156564
living worms 30 C over 20 C,0.201,0.335,-0.160213
living worms 30 C over 20 C,0.201,0.357,-0.160736
living worms 30 C over 20 C,0.201,0.379,-0.21856
living worms 30 C over 20 C,0.201,0.401,-0.29151
living worms 30 C over 20 C,0.201,0.423,-0.310037
living worms 30 C over 20 C,0.201,0.445,-0.280556
living worms 30 C over 20 C,0.201,0.467,-0.249068
living worms 30 C over 20 C,0.201,0.489,-0.215126
living worms 30 C over 20 C,0.201,0.511,-0.220602
living worms 30 C over 20 C,0.201,0.533,-0.257698
living worms 30 C over 20 C,0.201,0.555,-0.280687
living worms 30 C over 20 C,0.201,0.577,-0.31686
living worms 30 C over 20 C,0.201,0.599,-0.363952
living worms 30 C over 20 C,0.201,0.621,-0.374813
living worms 30 C over 20 C,0.201,0.643,-0.374441
living worms 30 C over 20 C,0.201,0.665,-0.373609
living worms 30 C over 20 C,0.201,0.687,-0.338551
living worms 30 C over 20 C,0.201,0.709,-0.30023
living worms 30 C over 20 C,0.207,0.335,-0.0952737
living worms 30 C over 20 C,0.207,0.357,-0.155888
living worms 30 C over 20 C,0.207,0.379,-0.252305
living worms 30 C over 20 C,0.207,0.401,-0.321449
living worms 30 C over 20 C,0.207,0.423,-0.332185
living worms 30 C over 20 C,0.207,0.445,-0.287341
living worms 30 C over 20 C,0.207,0.467,-0.243461
living worms 30 C over 20 C,0.207,0.489,-0.224183
living worms 30 C over 20 C,0.207,0.511,-0.242727
living worms 30 C over 20 C,0.207,0.533,-0.276844
living worms 30 C over 20 C,0.207,0.555,-0.299306
living worms 30 C over 20 C,0.207,0.577,-0.346836
living worms 30 C over 20 C,0.207,0.599,-0.404812
living worms 30 C over 20 C,0.207,0.621,-0.407205
living worms 30 C over 20 C,0.207,0.643,-0.386485
living worms 30 C over 20 C,0.207,0.665,-0.381491
living worms 30 C over 20 C,0.207,0.687,-0.364193
living worms 30 C over 20 C,0.207,0.709,-0.344201
living worms 30 C over 20 C,0.207,0.731,-0.327194
living worms 30 C over 20 C,0.213,0.357,-0.156556
living worms 30 C over 20 C,0.213,0.379,-0.251028
living worms 30 C over 20 C,0.213,0.401,-0.301095
living worms 30 C over 20 C,0.213,0.423,-0.307491
living worms 30 C over 20 C,0.213,0.445,-0.282112
living worms 30 C over 20 C,0.213,0.467,-0.268244
living worms 30 C over 20 C,0.213,0.489,-0.27345
living worms 30 C over 20 C,0.213,0.511,-0.300059
