series,t_min,x_cm_mm
living worm 20 C,31.9333,80.045
living worm 20 C,31.9667,77.665
living worm 20 C,32,75.659
living worm 20 C,32.0333,74.843
living worm 20 C,32.0667,73.619
living worm 20 C,32.1,72.497
living worm 20 C,32.1333,72.871
living worm 20 C,32.1667,71.001
living worm 20 C,32.2,70.491
living worm 20 C,32.2333,70.967
living worm 20 C,32.2667,73.619
living worm 20 C,32.3,75.285
living worm 20 C,32.3333,78.277
living worm 20 C,32.3667,79.926
living worm 20 C,32.4,79.841
living worm 20 C,32.4333,82.799
living worm 20 C,32.4667,84.363
living worm 20 C,32.5,85.723
living worm 20 C,32.5333,85.893
living worm 20 C,32.5667,85.825
living worm 20 C,32.6,86.811
living worm 20 C,32.6333,88.953
living worm 20 C,32.6667,89.429
living worm 20 C,32.7,89.701
living worm 20 C,32.7333,89.803
living worm 20 C,32.7667,89.361
living worm 20 C,32.8,89.633
living worm 20 C,32.8333,89.055
living worm 20 C,32.8667,89.735
living worm 20 C,32.9,89.429
living worm 20 C,32.9333,90.959
living worm 20 C,32.9667,90.653
living worm 20 C,33,90.279
living worm 20 C,33.0333,90.245
living worm 20 C,33.0667,90.245
living worm 20 C,33.1,90.245
living worm 20 C,33.1333,89.905
living worm 20 C,33.1667,89.871
living worm 20 C,33.2,89.701
living worm 20 C,33.2333,89.259
living worm 20 C,33.2667,89.157
living worm 20 C,33.3,89.701
living worm 20 C,33.3333,89.565
living worm 20 C,33.3667,90.347
living worm 20 C,33.4,91.367
living worm 20 C,33.4333,90.653
living worm 20 C,33.4667,89.599
living worm 20 C,33.5,90.449
living worm 20 C,33.5333,90.007
living worm 20 C,33.5667,88.239
living worm 20 C,33.6,84.465
living worm 20 C,33.6333,83.649
living worm 20 C,33.6667,83.309
living worm 20 C,33.7,82.425
living worm 20 C,33.7333,81.711
living worm 20 C,33.7667,80.861
living worm 20 C,33.8,81.609
living worm 20 C,33.8333,82
living worm 20 C,33.8667,81.405
living worm 20 C,33.9,83.377
living worm 20 C,33.9333,84.193
living worm 20 C,33.9667,83.037
living worm 20 C,34,82.901
living worm 20 C,34.0333,83.275
living worm 20 C,34.0667,82.289
living worm 20 C,34.1,82.187
living worm 20 C,34.1333,81.371
living worm 20 C,34.1667,80.181
living worm 20 C,34.2,79.263
living worm 20 C,34.2333,78.345
living worm 20 C,34.2667,78.311
living worm 20 C,34.3,78.243
living worm 20 C,34.3333,78.515
living worm 20 C,34.3667,77.937
living worm 20 C,34.4,78.039
living worm 20 C,34.4333,78.175
living worm 20 C,34.4667,79.127
living worm 20 C,34.5,79.569
living worm 20 C,34.5333,79.467
living worm 20 C,34.5667,79.399
living worm 20 C,34.6,79.501
living worm 20 C,34.6333,79.161
living worm 20 C,34.6667,79.161
living worm 20 C,34.7,79.093
living worm 20 C,34.7333,79.161
living worm 20 C,34.7667,79.569
living worm 20 C,34.8,79.365
living worm 20 C,34.8333,78.413
living worm 20 C,34.8667,76.951
living worm 20 C,34.9,76.611
living worm 20 C,34.9333,76.917
living worm 20 C,34.9667,76.747
living worm 20 C,35,77.733
living worm 20 C,35.0333,74.197
living worm 20 C,35.0667,75.081
living worm 20 C,35.1,74.435
living worm 20 C,35.1333,74.741
living worm 20 C,35.1667,76.033
living worm 20 C,35.2,74.979
living worm 20 C,35.2333,73.177
living worm 20 C,35.2667,72.327
living worm 20 C,35.3,72.531
living worm 20 C,35.3333,75.285
living worm 20 C,35.3667,76.679
living worm 20 C,35.4,76.339
living worm 20 C,35.4333,77.869
living worm 20 C,35.4667,75.863
living worm 20 C,35.5,74.078
living worm 20 C,35.5333,71.987
living worm 20 C,35.5667,75.999
living worm 20 C,35.6,74.061
living worm 20 C,35.6333,74.979
living worm 20 C,35.6667,75.727
living worm 20 C,35.7,76.135
living worm 20 C,35.7333,77.495
living worm 20 C,35.7667,80.147
living worm 20 C,35.8,83.411
living worm 20 C,35.8333,85.621
living worm 20 C,35.8667,88.477
living worm 20 C,35.9,88.171
living worm 20 C,35.9333,87.253
living worm 20 C,35.9667,86.811
living worm 20 C,36,87.457
living worm 20 C,36.0333,88.341
living worm 20 C,36.0667,89.531
living worm 20 C,36.1,89.735
living worm 20 C,36.1333,91.537
living worm 20 C,36.1667,90.687
living worm 20 C,36.2,89.055
living worm 20 C,36.2333,89.225
living worm 20 C,36.2667,88.97
living worm 20 C,36.3,90.398
living worm 20 C,36.3333,90.857
living worm 20 C,36.3667,89.361
living worm 20 C,36.4,89.735
living worm 20 C,36.4333,91.537
living worm 20 C,36.4667,91.537
living worm 20 C,36.5,90.636
living worm 20 C,36.5333,91.605
living worm 20 C,36.5667,88.749
living worm 20 C,36.6,88.137
living worm 20 C,36.6333,85.213
living worm 20 C,36.6667,85.145
living worm 20 C,36.7,84.295
living worm 20 C,36.7333,82.867
living worm 20 C,36.7667,81.405
living worm 20 C,36.8,81.439
living worm 20 C,36.8333,80.963
living worm 20 C,36.8667,80.351
living worm 20 C,36.9,79.297
living worm 20 C,36.9333,79.093
living worm 20 C,36.9667,77.393
living worm 20 C,37,77.087
living worm 20 C,37.0333,76.883
living worm 20 C,37.0667,76.645
living worm 20 C,37.1,75.761
living worm 20 C,37.1333,75.965
living worm 20 C,37.1667,77.597
living worm 20 C,37.2,78.957
living worm 20 C,37.2333,79.229
living worm 20 C,37.2667,79.331
living worm 20 C,37.3,79.671
living worm 20 C,37.3333,80.793
living worm 20 C,37.3667,80.521
living worm 20 C,37.4,79.977
living worm 20 C,37.4333,78.855
living worm 20 C,37.4667,78.005
living worm 20 C,37.5,76.543
living worm 20 C,37.5333,75.353
living worm 20 C,37.5667,77.359
living worm 20 C,37.6,78.413
living worm 20 C,37.6333,79.059
living worm 20 C,37.6667,80.521
living worm 20 C,37.7,79.467
living worm 20 C,37.7333,79.297
living worm 20 C,37.7667,80.419
living worm 20 C,37.8,80.215
living worm 20 C,37.8333,80.487
living worm 20 C,37.8667,83.717
living worm 20 C,37.9,85.859
living worm 20 C,37.9333,87.117
living worm 20 C,37.9667,87.457
living worm 20 C,38,87.831
living worm 20 C,38.0333,90.483
living worm 20 C,38.0667,90.415
living worm 20 C,38.1,91.775
living worm 20 C,38.1333,92.761
living worm 20 C,38.1667,92.455
living worm 20 C,38.2,92.761
living worm 20 C,38.2333,92.931
living worm 20 C,38.2667,91.945
living worm 20 C,38.3,91.061
living worm 20 C,38.3333,90.517
living worm 20 C,38.3667,89.395
living worm 20 C,38.4,91.503
living worm 20 C,38.4333,89.803
living worm 20 C,38.4667,89.021
living worm 20 C,38.5,90.415
living worm 20 C,38.5333,88.375
living worm 20 C,38.5667,85.927
living worm 20 C,38.6,84.091
living worm 20 C,38.6333,84.601
living worm 20 C,38.6667,82.357
living worm 20 C,38.7,81.711
living worm 20 C,38.7333,82.051
living worm 20 C,38.7667,80.725
living worm 20 C,38.8,81.983
living worm 20 C,38.8333,79.926
living worm 20 C,38.8667,77.495
living worm 20 C,38.9,76.067
living worm 20 C,38.9333,73.449
living worm 20 C,38.9667,71.273
living worm 20 C,39,68.349
living worm 20 C,39.0333,65.799
living worm 20 C,39.0667,63.011
living worm 20 C,39.1,61.09
living worm 20 C,39.1333,59.917
living worm 20 C,39.1667,57.605
living worm 20 C,39.2,57.741
living worm 20 C,39.2333,53.899
living worm 20 C,39.2667,53.219
living worm 20 C,39.3,52.199
living worm 20 C,39.3333,51.859
living worm 20 C,39.3667,51.587
living worm 20 C,39.4,51.162
living worm 20 C,39.4333,50.465
living worm 20 C,39.4667,48.731
living worm 20 C,39.5,45.399
living worm 20 C,39.5333,40.673
living worm 20 C,39.5667,37.987
living worm 20 C,39.6,36.049
living worm 20 C,39.6333,35.097
living worm 20 C,39.6667,30.541
living worm 20 C,39.7,28.841
living worm 20 C,39.7333,23.163
living worm 20 C,39.7667,21.769
living worm 20 C,39.8,19.933
living worm 20 C,39.8333,19.083
living worm 20 C,39.8667,17.383
living worm 20 C,39.9,15.955
living worm 20 C,39.9333,15.411
living worm 20 C,39.9667,15.785
living worm 20 C,40,14.595
living worm 20 C,40.0333,12.657
living worm 20 C,40.0667,11.399
living worm 20 C,40.1,11.909
living worm 20 C,40.1333,9.733
living worm 20 C,40.1667,10.005
living worm 20 C,40.2,9.631
living worm 20 C,40.2333,10.311
living worm 20 C,40.2667,7.132
living worm 20 C,40.3,7.319
living worm 20 C,40.3333,6.027
living worm 20 C,40.3667,6.265
living worm 20 C,40.4,7.761
living worm 20 C,40.4333,6.843
living worm 20 C,40.4667,7.625
living worm 20 C,40.5,11.229
living worm 20 C,40.5333,11.433
living worm 20 C,40.5667,11.773
living worm 20 C,40.6,12.351
living worm 20 C,40.6333,14.323
living worm 20 C,40.6667,17.111
living worm 20 C,40.7,17.825
living worm 20 C,40.7333,20.154
living worm 20 C,40.7667,22.109
living worm 20 C,40.8,25.543
living worm 20 C,40.8333,28.059
living worm 20 C,40.8667,31.051
living worm 20 C,40.9,31.221
living worm 20 C,40.9333,32.887
living worm 20 C,40.9667,35.301
living worm 20 C,41,39.313
living worm 20 C,41.0333,42.101
living worm 20 C,41.0667,43.937
living worm 20 C,41.1,46.249
living worm 20 C,41.1333,45.569
living worm 20 C,41.1667,46.181
living worm 20 C,41.2,47.439
living worm 20 C,41.2333,51.825
living worm 20 C,41.2667,54.341
living worm 20 C,41.3,57.197
living worm 20 C,41.3333,63.147
living worm 20 C,41.3667,64.269
living worm 20 C,41.4,69.403
living worm 20 C,41.4333,71.375
living worm 20 C,41.4667,73.177
living worm 20 C,41.5,76.373
living worm 20 C,41.5333,79.569
living worm 20 C,41.5667,85.009
living worm 20 C,41.6,85.791
living worm 20 C,41.6333,86.471
living worm 20 C,41.6667,86.369
living worm 20 C,41.7,86.403
living worm 20 C,41.7333,86.437
living worm 20 C,41.7667,86.811
living worm 20 C,41.8,86.641
living worm 20 C,41.8333,86.454
living worm 20 C,41.8667,88.273
living worm 20 C,41.9,85.077
living worm 20 C,41.9333,83.819
living worm 20 C,41.9667,84.839
living worm 20 C,42,85.043
living worm 20 C,42.0333,86.335
living worm 20 C,42.0667,87.763
living worm 20 C,42.1,89.293
living worm 20 C,42.1333,88.579
living worm 20 C,42.1667,87.474
living worm 20 C,42.2,88.001
living worm 20 C,42.2333,88.205
living worm 20 C,42.2667,87.661
living worm 20 C,42.3,86.828
living worm 20 C,42.3333,86.93
living worm 20 C,42.3667,85.995
living worm 20 C,42.4,86.437
living worm 20 C,42.4333,86.199
living worm 20 C,42.4667,88.341
living worm 20 C,42.5,89.463
living worm 20 C,42.5333,88.613
living worm 20 C,42.5667,88.817
living worm 20 C,42.6,88.273
living worm 20 C,42.6333,89.565
living worm 20 C,42.6667,87.984
living worm 20 C,42.7,89.021
living worm 20 C,42.7333,88.885
living worm 20 C,42.7667,85.145
living worm 20 C,42.8,83.819
living worm 20 C,42.8333,81.609
living worm 20 C,42.8667,78.923
living worm 20 C,42.9,77.767
living worm 20 C,42.9333,78.991
living worm 20 C,42.9667,78.617
living worm 20 C,43,79.603
living worm 20 C,43.0333,79.739
living worm 20 C,43.0667,81.711
living worm 20 C,43.1,85.179
living worm 20 C,43.1333,87.474
living worm 20 C,43.1667,87.559
living worm 20 C,43.2,87.185
living worm 20 C,43.2333,88.137
living worm 20 C,43.2667,88.001
living worm 20 C,43.3,87.559
living worm 20 C,43.3333,85.281
living worm 20 C,43.3667,84.193
living worm 20 C,43.4,84.533
living worm 20 C,43.4333,80.317
living worm 20 C,43.4667,78.923
living worm 20 C,43.5,79.535
living worm 20 C,43.5333,80.011
living worm 20 C,43.5667,78.685
living worm 20 C,43.6,78.583
living worm 20 C,43.6333,78.617
living worm 20 C,43.6667,77.937
living worm 20 C,43.7,75.897
living worm 20 C,43.7333,72.055
living worm 20 C,43.7667,69.743
living worm 20 C,43.8,67.771
living worm 20 C,43.8333,66.207
living worm 20 C,43.8667,64.983
living worm 20 C,43.9,63.793
living worm 20 C,43.9333,64.643
living worm 20 C,43.9667,67.023
living worm 20 C,44,67.975
living worm 20 C,44.0333,67.499
living worm 20 C,44.0667,68.077
living worm 20 C,44.1,67.499
living worm 20 C,44.1333,68.791
living worm 20 C,44.1667,69.267
living worm 20 C,44.2,68.604
living worm 20 C,44.2333,68.077
living worm 20 C,44.2667,71.409
living worm 20 C,44.3,73.823
living worm 20 C,44.3333,73.177
living worm 20 C,44.3667,73.823
living worm 20 C,44.4,74.673
living worm 20 C,44.4333,75.353
living worm 20 C,44.4667,74.843
living worm 20 C,44.5,75.54
living worm 20 C,44.5333,75.183
living worm 20 C,44.5667,75.081
living worm 20 C,44.6,75.489
living worm 20 C,44.6333,75.489
living worm 20 C,44.6667,75.829
living worm 20 C,44.7,75.285
living worm 20 C,44.7333,73.347
living worm 20 C,44.7667,73.313
living worm 20 C,44.8,73.041
living worm 20 C,44.8333,73.381
living worm 20 C,44.8667,73.075
living worm 20 C,44.9,71.817
living worm 20 C,44.9333,71.987
living worm 20 C,44.9667,72.497
living worm 20 C,45,71.919
living worm 20 C,45.0333,72.191
living worm 20 C,45.0667,72.395
living worm 20 C,45.1,73.449
living worm 20 C,45.1333,73.517
living worm 20 C,45.1667,73.925
living worm 20 C,45.2,75.081
living worm 20 C,45.2333,74.979
living worm 20 C,45.2667,75.353
living worm 20 C,45.3,75.455
living worm 20 C,45.3333,75.455
living worm 20 C,45.3667,74.061
living worm 20 C,45.4,74.231
living worm 20 C,45.4333,73.347
living worm 20 C,45.4667,70.457
living worm 20 C,45.5,68.723
living worm 20 C,45.5333,69.947
living worm 20 C,45.5667,72.701
living worm 20 C,45.6,72.871
living worm 20 C,45.6333,73.993
living worm 20 C,45.6667,75.115
living worm 20 C,45.7,74.469
living worm 20 C,45.7333,73.415
living worm 20 C,45.7667,73.517
living worm 20 C,45.8,72.735
living worm 20 C,45.8333,70.899
living worm 20 C,45.8667,69.675
living worm 20 C,45.9,67.567
living worm 20 C,45.9333,63.691
living worm 20 C,45.9667,62.399
living worm 20 C,46,58.965
living worm 20 C,46.0333,58.047
living worm 20 C,46.0667,56.415
living worm 20 C,46.1,54.783
living worm 20 C,46.1333,54.545
living worm 20 C,46.1667,54.035
living worm 20 C,46.2,51.961
living worm 20 C,46.2333,46.929
living worm 20 C,46.2667,44.957
living worm 20 C,46.3,41.489
living worm 20 C,46.3333,40.333
living worm 20 C,46.3667,37.851
living worm 20 C,46.4,32.377
living worm 20 C,46.4333,31.017
living worm 20 C,46.4667,28.977
living worm 20 C,46.5,28.943
living worm 20 C,46.5333,29.997
living worm 20 C,46.5667,31.731
living worm 20 C,46.6,34.043
living worm 20 C,46.6333,35.777
living worm 20 C,46.6667,35.607
living worm 20 C,46.7,33.159
living worm 20 C,46.7333,30.609
living worm 20 C,46.7667,30.949
living worm 20 C,46.8,29.555
living worm 20 C,46.8333,29.946
living worm 20 C,46.8667,29.283
living worm 20 C,46.9,29.351
living worm 20 C,46.9333,29.011
living worm 20 C,46.9667,28.875
living worm 20 C,47,27.617
living worm 20 C,47.0333,26.053
living worm 20 C,47.0667,21.089
living worm 20 C,47.1,20.749
living worm 20 C,47.1333,19.151
living worm 20 C,47.1667,21.854
living worm 20 C,47.2,22.041
living worm 20 C,47.2333,21.191
living worm 20 C,47.2667,20.205
living worm 20 C,47.3,22.143
living worm 20 C,47.3333,21.497
living worm 20 C,47.3667,21.225
living worm 20 C,47.4,22.959
living worm 20 C,47.4333,20.647
living worm 20 C,47.4667,21.259
living worm 20 C,47.5,18.42
living worm 20 C,47.5333,15.785
living worm 20 C,47.5667,11.671
living worm 20 C,47.6,9.155
living worm 20 C,47.6333,10.447
living worm 20 C,47.6667,7.387
living worm 20 C,47.7,6.333
living worm 20 C,47.7333,6.333
living worm 20 C,47.7667,5.687
living worm 20 C,47.8,5.823
living worm 20 C,47.8333,6.231
living worm 20 C,47.8667,7.659
living worm 20 C,47.9,7.999
living worm 20 C,47.9333,8.917
living worm 20 C,47.9667,10.855
living worm 20 C,48,11.977
living worm 20 C,48.0333,11.705
living worm 20 C,48.0667,15.003
living worm 20 C,48.1,17.349
living worm 20 C,48.1333,18.573
living worm 20 C,48.1667,22.755
living worm 20 C,48.2,25.237
living worm 20 C,48.2333,23.877
living worm 20 C,48.2667,22.585
living worm 20 C,48.3,23.163
living worm 20 C,48.3333,28.535
living worm 20 C,48.3667,30.031
living worm 20 C,48.4,28.127
living worm 20 C,48.4333,29.555
living worm 20 C,48.4667,29.147
living worm 20 C,48.5,26.903
living worm 20 C,48.5333,26.087
living worm 20 C,48.5667,24.829
living worm 20 C,48.6,22.347
living worm 20 C,48.6333,22.721
living worm 20 C,48.6667,24.693
living worm 20 C,48.7,24.795
living worm 20 C,48.7333,25.951
living worm 20 C,48.7667,27.005
living worm 20 C,48.8,29.249
living worm 20 C,48.8333,27.413
living worm 20 C,48.8667,24.625
living worm 20 C,48.9,25.475
living worm 20 C,48.9333,23.741
living worm 20 C,48.9667,23.163
living worm 20 C,49,21.429
living worm 20 C,49.0333,22.789
living worm 20 C,49.0667,22.925
living worm 20 C,49.1,23.503
living worm 20 C,49.1333,23.435
living worm 20 C,49.1667,22.585
living worm 20 C,49.2,22.279
living worm 20 C,49.2333,22.177
living worm 20 C,49.2667,23.265
living worm 20 C,49.3,24.319
living worm 20 C,49.3333,22.449
living worm 20 C,49.3667,22.109
living worm 20 C,49.4,20.103
living worm 20 C,49.4333,17.893
living worm 20 C,49.4667,18.845
living worm 20 C,49.5,19.355
living worm 20 C,49.5333,18.777
living worm 20 C,49.5667,18.794
living worm 20 C,49.6,19.287
living worm 20 C,49.6333,19.049
living worm 20 C,49.6667,18.233
living worm 20 C,49.7,18.097
living worm 20 C,49.7333,19.457
living worm 20 C,49.7667,20.205
living worm 20 C,49.8,22.517
living worm 20 C,49.8333,23.333
living worm 20 C,49.8667,23.231
living worm 20 C,49.9,25.322
living worm 20 C,49.9333,27.107
living worm 20 C,49.9667,27.991
living worm 20 C,50,28.161
living worm 20 C,50.0333,27.651
living worm 20 C,50.0667,27.379
living worm 20 C,50.1,27.277
living worm 20 C,50.1333,26.461
living worm 20 C,50.1667,26.189
living worm 20 C,50.2,24.557
living worm 20 C,50.2333,24.353
living worm 20 C,50.2667,24.387
living worm 20 C,50.3,24.251
living worm 20 C,50.3333,24.489
living worm 20 C,50.3667,23.673
living worm 20 C,50.4,25.883
living worm 20 C,50.4333,26.087
living worm 20 C,50.4667,25.781
living worm 20 C,50.5,25.135
living worm 20 C,50.5333,29.011
living worm 20 C,50.5667,28.977
living worm 20 C,50.6,29.827
living worm 20 C,50.6333,29.453
living worm 20 C,50.6667,27.311
living worm 20 C,50.7,26.104
living worm 20 C,50.7333,21.497
living worm 20 C,50.7667,20.001
living worm 20 C,50.8,18.029
living worm 20 C,50.8333,17.519
living worm 20 C,50.8667,16.431
living worm 20 C,50.9,16.125
living worm 20 C,50.9333,18.403
living worm 20 C,50.9667,17.927
living worm 20 C,51,20.239
living worm 20 C,51.0333,21.089
living worm 20 C,51.0667,21.633
living worm 20 C,51.1,21.021
living worm 20 C,51.1333,20.103
living worm 20 C,51.1667,21.089
living worm 20 C,51.2,21.803
living worm 20 C,51.2333,22.041
living worm 20 C,51.2667,21.701
living worm 20 C,51.3,21.837
living worm 20 C,51.3333,22.211
living worm 20 C,51.3667,22.551
living worm 20 C,51.4,21.021
living worm 20 C,51.4333,20.749
living worm 20 C,51.4667,20.171
living worm 20 C,51.5,20.375
living worm 20 C,51.5333,20.409
living worm 20 C,51.5667,20.137
living worm 20 C,51.6,18.403
living worm 20 C,51.6333,17.995
living worm 20 C,51.6667,18.165
living worm 20 C,51.7,17.995
living worm 20 C,51.7333,17.451
living worm 20 C,51.7667,17.519
living worm 20 C,51.8,17.587
living worm 20 C,51.8333,17.145
living worm 20 C,51.8667,17.621
living worm 20 C,51.9,17.553
living worm 20 C,51.9333,17.485
living worm 20 C,51.9667,17.451
living worm 20 C,52,17.009
living worm 20 C,52.0333,16.431
living worm 20 C,52.0667,16.873
living worm 20 C,52.1,16.975
living worm 20 C,52.1333,16.839
living worm 20 C,52.1667,16.907
living worm 20 C,52.2,17.451
living worm 20 C,52.2333,16.635
living worm 20 C,52.2667,17.213
living worm 20 C,52.3,17.383
living worm 20 C,52.3333,17.349
living worm 20 C,52.3667,18.879
living worm 20 C,52.4,18.777
living worm 20 C,52.4333,18.165
living worm 20 C,52.4667,18.301
living worm 20 C,52.5,18.573
living worm 20 C,52.5333,17.179
living worm 20 C,52.5667,17.111
living worm 20 C,52.6,17.077
living worm 20 C,52.6333,17.043
living worm 20 C,52.6667,17.145
living worm 20 C,52.7,16.907
living worm 20 C,52.7333,16.805
living worm 20 C,52.7667,17.791
living worm 20 C,52.8,16.975
living worm 20 C,52.8333,16.227
living worm 20 C,52.8667,16.295
living worm 20 C,52.9,14.935
living worm 20 C,52.9333,14.731
living worm 20 C,52.9667,15.479
living worm 20 C,53,14.697
living worm 20 C,53.0333,15.547
living worm 20 C,53.0667,16.363
living worm 20 C,53.1,16.125
living worm 20 C,53.1333,17.349
living worm 20 C,53.1667,17.655
living worm 20 C,53.2,17.927
living worm 20 C,53.2333,16.499
living worm 20 C,53.2667,15.003
living worm 20 C,53.3,14.697
living worm 20 C,53.3333,13.915
living worm 20 C,53.3667,15.173
living worm 20 C,53.4,14.187
living worm 20 C,53.4333,14.969
living worm 20 C,53.4667,16.669
living worm 20 C,53.5,19.423
living worm 20 C,53.5333,20.035
living worm 20 C,53.5667,20.375
living worm 20 C,53.6,17.825
living worm 20 C,53.6333,17.655
living worm 20 C,53.6667,17.247
living worm 20 C,53.7,17.043
living worm 20 C,53.7333,17.077
living worm 20 C,53.7667,16.975
living worm 20 C,53.8,16.839
living worm 20 C,53.8333,16.873
living worm 20 C,53.8667,17.349
living worm 20 C,53.9,17.383
living worm 20 C,53.9333,15.649
living worm 20 C,53.9667,15.139
living worm 20 C,54,14.255
living worm 20 C,54.0333,14.731
living worm 20 C,54.0667,13.235
living worm 20 C,54.1,14.493
living worm 20 C,54.1333,16.295
living worm 20 C,54.1667,13.949
living worm 20 C,54.2,14.901
living worm 20 C,54.2333,14.221
living worm 20 C,54.2667,14.595
living worm 20 C,54.3,18.471
living worm 20 C,54.3333,17.961
living worm 20 C,54.3667,17.383
living worm 20 C,54.4,17.077
living worm 20 C,54.4333,16.363
living worm 20 C,54.4667,16.414
living worm 20 C,54.5,16.533
living worm 20 C,54.5333,14.051
living worm 20 C,54.5667,14.561
living worm 20 C,54.6,11.399
living worm 20 C,54.6333,9.767
living worm 20 C,54.6667,8.543
living worm 20 C,54.7,7.387
living worm 20 C,54.7333,7.523
living worm 20 C,54.7667,5.313
living worm 20 C,54.8,3.069
living worm 20 C,54.8333,5.041
living worm 20 C,54.8667,4.735
living worm 20 C,54.9,4.497
living worm 20 C,54.9333,3.987
living worm 20 C,54.9667,4.939
living worm 20 C,55,5.381
living worm 20 C,55.0333,5.381
living worm 20 C,55.0667,3.715
living worm 20 C,55.1,3.715
living worm 20 C,55.1333,3.851
living worm 20 C,55.1667,4.735
living worm 20 C,55.2,6.027
living worm 20 C,55.2333,5.891
living worm 20 C,55.2667,5.789
living worm 20 C,55.3,6.095
living worm 20 C,55.3333,6.333
living worm 20 C,55.3667,5.789
living worm 20 C,55.4,6.163
living worm 20 C,55.4333,6.775
living worm 20 C,55.4667,7.591
living worm 20 C,55.5,8.135
living worm 20 C,55.5333,9.393
living worm 20 C,55.5667,10.413
living worm 20 C,55.6,10.753
living worm 20 C,55.6333,11.977
living worm 20 C,55.6667,11.841
living worm 20 C,55.7,13.541
living worm 20 C,55.7333,13.643
living worm 20 C,55.7667,13.983
living worm 20 C,55.8,15.751
living worm 20 C,55.8333,17.077
living worm 20 C,55.8667,17.621
living worm 20 C,55.9,18.131
living worm 20 C,55.9333,16.567
living worm 20 C,55.9667,14.799
living worm 20 C,56,14.731
living worm 20 C,56.0333,14.561
living worm 20 C,56.0667,13.133
living worm 20 C,56.1,13.473
living worm 20 C,56.1333,12.997
living worm 20 C,56.1667,12.249
living worm 20 C,56.2,12.079
living worm 20 C,56.2333,13.575
living worm 20 C,56.2667,13.575
living worm 20 C,56.3,16.533
living worm 20 C,56.3333,18.845
living worm 20 C,56.3667,23.741
living worm 20 C,56.4,27.277
living worm 20 C,56.4333,31.357
living worm 20 C,56.4667,32.717
living worm 20 C,56.5,32.717
living worm 20 C,56.5333,34.655
living worm 20 C,56.5667,34.417
living worm 20 C,56.6,34.791
living worm 20 C,56.6333,36.457
living worm 20 C,56.6667,35.913
living worm 20 C,56.7,36.049
living worm 20 C,56.7333,34.587
living worm 20 C,56.7667,33.227
living worm 20 C,56.8,35.165
living worm 20 C,56.8333,34.689
living worm 20 C,56.8667,33.499
living worm 20 C,56.9,29.181
living worm 20 C,56.9333,27.753
living worm 20 C,56.9667,26.138
living worm 20 C,57,25.713
living worm 20 C,57.0333,24.353
living worm 20 C,57.0667,23.707
living worm 20 C,57.1,21.242
living worm 20 C,57.1333,20.511
living worm 20 C,57.1667,19.015
living worm 20 C,57.2,21.633
living worm 20 C,57.2333,20.579
living worm 20 C,57.2667,22.177
living worm 20 C,57.3,24.999
living worm 20 C,57.3333,25.645
living worm 20 C,57.3667,26.053
living worm 20 C,57.4,26.325
living worm 20 C,57.4333,26.699
living worm 20 C,57.4667,27.617
living worm 20 C,57.5,27.379
living worm 20 C,57.5333,27.209
living worm 20 C,57.5667,27.719
living worm 20 C,57.6,26.937
living worm 20 C,57.6333,27.719
living worm 20 C,57.6667,26.087
living worm 20 C,57.7,24.693
living worm 20 C,57.7333,24.115
living worm 20 C,57.7667,24.081
living worm 20 C,57.8,22.075
living worm 20 C,57.8333,20.273
living worm 20 C,57.8667,20.188
living worm 20 C,57.9,19.151
living worm 20 C,57.9333,18.199
living worm 20 C,57.9667,18.641
living worm 20 C,58,18.675
living worm 20 C,58.0333,19.355
living worm 20 C,58.0667,18.505
living worm 20 C,58.1,19.219
living worm 20 C,58.1333,19.049
living worm 20 C,58.1667,12.249
living worm 20 C,58.2,10.328
living worm 20 C,58.2333,10.141
living worm 20 C,58.2667,8.271
living worm 20 C,58.3,6.435
living worm 20 C,58.3333,5.551
living worm 20 C,58.3667,6.197
living worm 20 C,58.4,5.585
living worm 20 C,58.4333,5.075
living worm 20 C,58.4667,5.177
living worm 20 C,58.5,5.041
living worm 20 C,58.5333,5.415
living worm 20 C,58.5667,5.211
living worm 20 C,58.6,5.857
living worm 20 C,58.6333,5.823
living worm 20 C,58.6667,5.721
living worm 20 C,58.7,6.061
living worm 20 C,58.7333,6.095
living worm 20 C,58.7667,6.095
living worm 20 C,58.8,6.333
living worm 20 C,58.8333,6.435
living worm 20 C,58.8667,6.197
living worm 20 C,58.9,6.333
living worm 20 C,58.9333,4.633
living worm 20 C,58.9667,4.973
living worm 20 C,59,5.041
living worm 20 C,59.0333,4.803
living worm 20 C,59.0667,4.667
living worm 20 C,59.1,5.245
living worm 20 C,59.1333,4.701
living worm 20 C,59.1667,4.327
living worm 20 C,59.2,4.361
living worm 20 C,59.2333,4.497
living worm 20 C,59.2667,4.395
living worm 20 C,59.3,4.191
living worm 20 C,59.3333,3.8
living worm 20 C,59.3667,5.075
living worm 20 C,59.4,6.231
living worm 20 C,59.4333,6.027
living worm 20 C,59.4667,6.401
living worm 20 C,59.5,9.631
living worm 20 C,59.5333,9.427
living worm 20 C,59.5667,10.277
living worm 20 C,59.6,16.227
living worm 20 C,59.6333,14.935
living worm 20 C,59.6667,17.043
living worm 20 C,59.7,17.655
living worm 20 C,59.7333,17.349
living worm 20 C,59.7667,19.627
living worm 20 C,59.8,21.633
living worm 20 C,59.8333,22.585
living worm 20 C,59.8667,22.143
living worm 20 C,59.9,21.327
living worm 20 C,59.9333,20.885
