panel,series,tau_ec_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,temperature_C
-,model,0.033765,1.73804,120,0.35,0.2,
-,model,0.033194,1.79678,120,0.4,0.2,
-,model,0.033318,1.24516,120,0.5,0.2,
-,model,0.032959,1.02273,120,0.65,0.2,
-,model,0.035765,1.1062,120,0.35,0.3,
-,model,0.037045,1.00124,120,0.4,0.3,
-,model,0.035442,0.752711,120,0.5,0.3,
-,model,0.032692,0.836709,120,0.65,0.3,
-,model,0.028718,1.589,150,0.35,0.08,
-,model,0.027389,0.989015,150,0.5,0.08,
-,model,0.027123,0.592576,150,0.65,0.08,
-,model,0.028787,1.66831,150,0.35,0.1,
-,model,0.02824,1.08638,150,0.5,0.1,
-,model,0.026767,0.79612,150,0.65,0.1,
-,model,0.030473,1.45918,150,0.35,0.15,
-,model,0.029465,1.04542,150,0.5,0.15,
-,model,0.028846,0.592865,150,0.65,0.15,
-,model,0.020017,0.625635,200,0.4,0.1,
-,model,0.021812,0.573852,200,0.6,0.1,
-,living worms,0.178,3.0917,,,,10
-,living worms,0.485,0.76,,,,20
-,living worms,0.168,2.1983,,,,30
