,com (y),com (x),end_1 (y),end_1 (x),end_2 (y),end_2 (x),ee-distance,gyr_distance
0,-0.2885570483638238,43.37422772064185,0.6066727147474414,40.57600269181197,1.3561884693707291,43.731444463795164,3.243237062381502,1.3588338711029164
1,-0.3061764576189475,43.40714954992893,0.606277056859998,40.684715525148896,1.3561884693707291,43.731444463795164,3.137662243167417,1.351512185464679
2,-0.31198351338626423,43.39155280810789,-0.37965594303349387,42.74669843756396,0.606277056859998,40.684715525148896,2.2855715721391507,1.3554240167538751
3,-0.32401763256569505,43.36827613355601,0.606277056859998,40.684715525148896,1.3561884693707291,43.731444463795164,3.137662243167417,1.3377747924204055
4,-0.3279723555715699,43.35364226941427,0.606277056859998,40.684715525148896,1.3561884693707291,43.731444463795164,3.137662243167417,1.3351066993900966
5,-0.3374793127017576,43.345013068571596,0.7145942323094838,40.793824016373264,1.3561884693707291,43.731444463795164,3.00686831406721,1.3344189716089496
6,-0.36093949430707173,43.364884852557935,0.606277056859998,40.684715525148896,1.3561884693707291,43.731444463795164,3.137662243167417,1.3113426303095417
7,-0.3743030577984397,43.3389369679125,0.7149898901969273,40.68511118303631,1.3561884693707291,43.731444463795164,3.1130824074208787,1.3111582396664458
8,-0.3798874892536495,43.320931961649414,0.7145942323094838,40.793824016373264,1.3561884693707291,43.731444463795164,3.00686831406721,1.3113528595684365
9,-0.3822336051104984,43.32545117028016,0.6058813989725546,40.79342835848585,1.3561884693707291,43.731444463795164,3.03230924131204,1.3032859728328798
10,-0.37558831621253586,43.32626532652565,0.49677290774818195,40.90174553393534,1.3561884693707291,43.731444463795164,2.9573283789949096,1.304534992293512
11,-0.3823994319412536,43.328840890459375,0.7141985744220899,40.902536849710174,1.3561884693707291,43.731444463795164,2.900839415452709,1.298772332802122
12,-0.3901112913971879,43.341538632258015,0.49677290774818195,40.90174553393534,1.3561884693707291,43.731444463795164,2.9573283789949096,1.2961606505559387
13,-0.39114327870399757,43.3488391697356,0.6058813989725546,40.79342835848585,1.3561884693707291,43.731444463795164,3.03230924131204,1.2951373991907815
14,-0.3846854938652957,43.34713687482906,0.7145942323094838,40.793824016373264,1.3561884693707291,43.731444463795164,3.00686831406721,1.300442318717161
15,-0.3851611091863027,43.34357530962902,0.7149898901969273,40.68511118303631,1.3561884693707291,43.731444463795164,3.1130824074208787,1.3010885732570017
16,-0.389083696160528,43.348604515833586,0.7153855480843707,40.57639834969938,1.3561884693707291,43.731444463795164,3.2194633661528096,1.2955553010757106
17,-0.3859070424973037,43.34358450356969,0.7157812059717648,40.46768551636246,1.3561884693707291,43.731444463795164,3.3259951788842397,1.3068440238594718
