# Trapping events (aligned with end1, detected with com)
# t_start(s), t_end(s), duration(s), x_mean(mm), worm_id
196.0, 344.0, 148.0, 43.93, 241112_worm_1
354.0, 478.0, 124.0, 43.61, 241112_worm_1
490.0, 528.0, 38.0, 42.84, 241112_worm_1
546.0, 606.0, 60.0, 43.19, 241112_worm_1
612.0, 704.0, 92.0, 42.71, 241112_worm_1
706.0, 786.0, 80.0, 42.98, 241112_worm_1
790.0, 850.0, 60.0, 42.31, 241112_worm_1
854.0, 1020.0, 166.0, 43.66, 241112_worm_1
1024.0, 1030.0, 6.0, 40.98, 241112_worm_1
1034.0, 1622.0, 588.0, 43.54, 241112_worm_1
1624.0, 1676.0, 52.0, 42.95, 241112_worm_1
1820.0, 1824.0, 4.0, 40.60, 241112_worm_1
1828.0, 1870.0, 42.0, 42.67, 241112_worm_1
1872.0, 2006.0, 134.0, 43.45, 241112_worm_1
2010.0, 2048.0, 38.0, 43.59, 241112_worm_1
2066.0, 2078.0, 12.0, 41.69, 241112_worm_1
2212.0, 2214.0, 2.0, 40.08, 241112_worm_1
2224.0, 2446.0, 222.0, 42.76, 241112_worm_1
2494.0, 2498.0, 4.0, 40.67, 241112_worm_1
2510.0, 2526.0, 16.0, 40.58, 241112_worm_1
2532.0, 2550.0, 18.0, 41.36, 241112_worm_1
2596.0, 2634.0, 38.0, 42.24, 241112_worm_1
2638.0, 2844.0, 206.0, 43.09, 241112_worm_1
2852.0, 2906.0, 54.0, 42.70, 241112_worm_1
2908.0, 3028.0, 120.0, 42.16, 241112_worm_1
3086.0, 3088.0, 2.0, 40.28, 241112_worm_1
3092.0, 3102.0, 10.0, 40.33, 241112_worm_1
3170.0, 3584.0, 414.0, 42.97, 241112_worm_1
0.0, 14.0, 14.0, 42.89, 241112_worm_2
280.0, 284.0, 4.0, 40.59, 241112_worm_2
296.0, 302.0, 6.0, 40.57, 241112_worm_2
320.0, 334.0, 14.0, 40.93, 241112_worm_2
356.0, 358.0, 2.0, 40.18, 241112_worm_2
370.0, 372.0, 2.0, 40.45, 241112_worm_2
378.0, 380.0, 2.0, 40.49, 241112_worm_2
382.0, 434.0, 52.0, 43.28, 241112_worm_2
592.0, 606.0, 14.0, 41.09, 241112_worm_2
608.0, 616.0, 8.0, 40.23, 241112_worm_2
618.0, 638.0, 20.0, 41.54, 241112_worm_2
834.0, 836.0, 2.0, 41.00, 241112_worm_2
838.0, 842.0, 4.0, 40.38, 241112_worm_2
852.0, 924.0, 72.0, 42.73, 241112_worm_2
1102.0, 1104.0, 2.0, 40.35, 241112_worm_2
1110.0, 1112.0, 2.0, 40.27, 241112_worm_2
1114.0, 1170.0, 56.0, 42.76, 241112_worm_2
1380.0, 1382.0, 2.0, 40.04, 241112_worm_2
1386.0, 1406.0, 20.0, 41.46, 241112_worm_2
1410.0, 1436.0, 26.0, 42.70, 241112_worm_2
1602.0, 1604.0, 2.0, 40.21, 241112_worm_2
1606.0, 1624.0, 18.0, 42.05, 241112_worm_2
1626.0, 1628.0, 2.0, 40.45, 241112_worm_2
1630.0, 1652.0, 22.0, 42.84, 241112_worm_2
1840.0, 1842.0, 2.0, 40.21, 241112_worm_2
1846.0, 1908.0, 62.0, 42.92, 241112_worm_2
1990.0, 1992.0, 2.0, 42.42, 241112_worm_2
1994.0, 1996.0, 2.0, 40.59, 241112_worm_2
2008.0, 2056.0, 48.0, 42.65, 241112_worm_2
2496.0, 2500.0, 4.0, 40.57, 241112_worm_2
2502.0, 2562.0, 60.0, 42.33, 241112_worm_2
2776.0, 2796.0, 20.0, 41.48, 241112_worm_2
2798.0, 2854.0, 56.0, 43.15, 241112_worm_2
3108.0, 3240.0, 132.0, 43.55, 241112_worm_2
3488.0, 3524.0, 36.0, 41.97, 241112_worm_2
3580.0, 3596.0, 16.0, 41.14, 241112_worm_2
116.0, 118.0, 2.0, 40.49, 241112_worm_3
132.0, 248.0, 116.0, 42.92, 241112_worm_3
608.0, 612.0, 4.0, 40.32, 241112_worm_3
620.0, 660.0, 40.0, 42.47, 241112_worm_3
998.0, 1002.0, 4.0, 40.62, 241112_worm_3
1004.0, 1018.0, 14.0, 40.40, 241112_worm_3
1020.0, 1024.0, 4.0, 40.55, 241112_worm_3
1042.0, 1044.0, 2.0, 40.35, 241112_worm_3
1048.0, 1248.0, 200.0, 43.75, 241112_worm_3
1392.0, 1394.0, 2.0, 40.08, 241112_worm_3
1396.0, 1446.0, 50.0, 43.06, 241112_worm_3
1832.0, 1834.0, 2.0, 41.20, 241112_worm_3
