# Confinement Reference Dataset - Active Polymer N=40
#
# Reference base: H_conf (Shannon entropy in confinement, cavity only)
# All other observables fuzzy-matched with tolerance=0.05 on (Pe, T, kappa)
#
# Use this dataset when correlating confinement observables or mixed observables
# with emphasis on confinement data completeness.
#
# Columns:
# - Pe, T, kappa: simulation parameters (dimensionless)
# - H_free: Shannon entropy in free space
# - lp_free: Persistence length from averaged correlation (normalized)
# - lp_free_individual: Mean of individual polymer persistence lengths (normalized)
# - tau_decorr_free_full: E2E full-vector decorrelation time in free space (seconds)
# - tau_decorr_free_unit: E2E unit-vector decorrelation time in free space (seconds)
# - D_long: Long-time diffusion coefficient in free space (mm²/s)
# - H_conf: Shannon entropy in confinement, CAVITY ONLY (REFERENCE BASE)
# - lp_conf: Persistence length from averaged correlation in confinement (normalized)
# - lp_conf_individual: Mean of individual polymer persistence lengths in confinement (normalized)
# - ttrap: Mean trapping time in cavity (minutes)
# - tau_decorr_cavity_full: E2E full-vector decorrelation time in cavity ONLY (minutes)
# - tau_decorr_cavity_unit: E2E unit-vector decorrelation time in cavity ONLY (minutes)
#
# Rotational number analysis (plateau-based τ_trans):
# - N_rot: Rotational number = τ_rot / τ_trans
# - tau_trans: Saturation time = first crossing of MSD plateau mean (minutes)
# - plateau_mean: MSD plateau mean value (excludes last 20% of signal)
# - tau_rot: Rotational timescale = 1/D_r (minutes, only if α ∈ [0.8, 1.3])
#
# MSD matching RMSE (log-space, over [10-50s] interval):
# - RMSE_D10: RMSE vs experimental 10C MSD
# - RMSE_D20: RMSE vs experimental 20C MSD
# - RMSE_D30: RMSE vs experimental 30C MSD
#
Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free_full,tau_decorr_free_full_error,tau_decorr_free_unit,tau_decorr_free_unit_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity_full,tau_decorr_cavity_unit,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_trans,plateau_mean,tau_rot,RMSE_D10,RMSE_D20,RMSE_D30
0.100000,0.060000,0.350000,,,,,,,,,,,,,,,5.324188,0.938332,0.012500,0.499924,"(0.13574194999795985, 0.09370506971338581)",4.246341,4.316785,0.578630,0.444340,39.759036,73.333333,55.000000,20.000000,75.000000,0.373000,0.340000,12.080000,0.130000,,,
0.100000,0.060000,0.400000,5.990474,0.134265,0.012500,0.986430,0.195883,0.153391,0.861833,0.008333,0.722439,0.008333,0.301506,0.000030,0.999998,201.000000,2.223004,0.079569,0.012500,,"(0.0767939466044086, 0.0058919991658010805)",4.336021,3.579293,0.136231,0.132434,43.438914,92.307692,24.000000,2.000000,26.000000,0.277000,1.040000,3.170000,0.290000,0.666847,1.046632,1.129291
0.100000,0.060000,0.500000,,,,,,,,,,,,,,,4.350580,0.079260,0.012500,,"(0.13708742212928043, 0.11009711031013306)",5.880047,9.604902,0.792585,0.840130,46.227929,95.522388,64.000000,3.000000,67.000000,,0.200000,5.920000,0.000000,,,
0.100000,0.060000,0.650000,,,,,,,,,,,,,,,2.898004,0.078788,0.012500,0.853451,"(0.10935919747699646, 0.08437586269257698)",9.857292,14.642789,0.285044,0.234037,21.092279,100.000000,28.000000,0.000000,28.000000,0.538000,0.200000,5.220000,0.110000,,,
0.100000,0.080000,0.150000,,,,,,,,,,,,,,,4.590999,0.071705,0.012500,0.977083,"(0.07473422471966994, 0.012594257984062914)",2.846667,0.610601,0.251476,0.207848,,,,,,,0.800000,10.160000,0.000000,,,
0.100000,0.080000,0.200000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,5.148685,0.136418,0.012500,0.971751,"(0.09227318902425595, 0.052540690439054266)",6.974859,5.751440,0.507839,0.301801,1.544070,3.448276,2.000000,56.000000,58.000000,0.399000,0.560000,12.100000,0.220000,0.868019,1.248785,1.330525
0.100000,0.080000,0.250000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.094663,0.087587,0.012500,0.947551,"(0.08366302420656015, 0.029439846886502606)",6.974859,5.751440,0.175235,0.156463,1.544070,3.448276,2.000000,56.000000,58.000000,,0.400000,6.140000,0.000000,0.868019,1.248785,1.330525
0.100000,0.080000,0.350000,,,,,,,,,,,,,,,5.530472,0.307003,0.012500,0.601140,"(0.12937507580600588, 0.08972458949193633)",3.672157,3.863764,0.692379,0.725108,37.144036,63.291139,50.000000,29.000000,79.000000,0.367000,0.440000,13.970000,0.160000,,,
0.100000,0.080000,0.400000,5.990474,0.134265,0.012500,0.986430,0.195883,0.153391,0.861833,0.008333,0.722439,0.008333,0.301506,0.000030,0.999998,201.000000,3.771066,0.105627,0.012500,0.944173,"(0.09235957418794369, 0.027528388900589416)",4.336021,3.579293,0.154731,0.145155,43.438914,92.307692,24.000000,2.000000,26.000000,,0.340000,6.400000,0.000000,0.666847,1.046632,1.129291
0.100000,0.080000,0.500000,,,,,,,,,,,,,,,5.342933,0.241632,0.012500,0.411397,"(0.14334028264465637, 0.10005798197318924)",4.583122,4.261477,0.492130,0.342088,50.599421,93.150685,68.000000,5.000000,73.000000,0.377000,0.310000,10.590000,0.120000,,,
0.100000,0.080000,0.650000,,,,,,,,,,,,,,,4.802033,0.074160,0.012500,0.860737,"(0.15912392511900175, 0.11866424739539744)",4.742667,5.352523,0.709624,0.368051,48.233861,92.957746,66.000000,5.000000,71.000000,0.449000,0.220000,7.090000,0.100000,,,
0.100000,0.100000,0.150000,,,,,,,,,,,,,,,4.401209,0.101491,0.012500,0.987094,"(0.0782747918174957, 0.024054215329297784)",2.846667,0.610601,0.180374,0.170543,,,,,,,0.390000,7.160000,0.000000,,,
0.100000,0.100000,0.200000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.973187,0.132379,0.012500,0.948270,"(0.08833618111975512, 0.05579876144818197)",8.612585,9.509913,0.401928,0.324924,6.378738,17.021277,8.000000,39.000000,47.000000,0.319000,0.830000,12.040000,0.270000,0.868019,1.248785,1.330525
0.100000,0.100000,0.250000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,3.969318,0.077996,0.012500,0.965118,"(0.07949667996879667, 0.011456894124659745)",8.612585,9.509913,0.178477,0.165821,6.378738,17.021277,8.000000,39.000000,47.000000,,0.390000,7.030000,0.000000,0.868019,1.248785,1.330525
0.100000,0.100000,0.350000,,,,,,,,,,,,,,,5.358844,0.234709,0.012500,0.728974,"(0.1129976076604483, 0.07381294092135458)",4.942424,4.159178,0.678683,0.361553,24.727273,55.737705,34.000000,27.000000,61.000000,0.423000,0.420000,11.520000,0.180000,,,
0.100000,0.100000,0.400000,5.990474,0.134265,0.012500,0.986430,0.195883,0.153391,0.861833,0.008333,0.722439,0.008333,0.301506,0.000030,0.999998,201.000000,5.242352,0.090338,0.012500,0.957315,"(0.11682159192704338, 0.07527874516341404)",4.336021,3.579293,0.486323,0.321726,43.438914,92.307692,24.000000,2.000000,26.000000,0.268000,0.410000,11.630000,0.110000,0.666847,1.046632,1.129291
0.100000,0.100000,0.500000,,,,,,,,,,,,,,,5.413553,0.241632,0.012500,0.411397,"(0.13640812372236757, 0.09750870932108649)",4.728509,4.187011,0.490988,0.349371,43.338684,81.081081,60.000000,14.000000,74.000000,0.379000,0.350000,11.550000,0.130000,,,
0.100000,0.100000,0.600000,5.857577,0.168766,0.012500,0.987847,0.260227,0.194647,0.900659,0.008333,0.855299,0.008333,0.374171,0.000417,0.999753,201.000000,5.199329,,,,"(0.1437057209997505, 0.1047576380091755)",3.687255,4.020934,0.467737,0.387998,50.729743,100.000000,28.000000,0.000000,28.000000,,0.240000,7.280000,0.000000,0.569329,0.948341,1.031489
0.100000,0.100000,0.650000,,,,,,,,,,,,,,,5.200986,0.263210,0.012500,0.441752,"(0.147979220282179, 0.10538960324625132)",4.897588,5.043534,0.494677,0.338867,49.814126,94.366197,67.000000,4.000000,71.000000,0.434000,0.300000,10.780000,0.130000,,,
0.100000,0.150000,0.150000,,,,,,,,,,,,,,,4.062031,0.071040,0.012500,0.987888,"(0.07514868584935255, 0.016073691985725825)",1.243334,0.798836,0.192608,0.177517,,,,,,,0.550000,6.950000,0.000000,,,
0.100000,0.150000,0.200000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.804365,0.117764,0.012500,0.958727,"(0.0764131515729483, 0.028302239866188073)",9.672481,8.534915,0.383805,0.292524,4.345202,13.953488,6.000000,37.000000,43.000000,0.041000,6.200000,13.310000,0.260000,0.868019,1.248785,1.330525
0.100000,0.150000,0.250000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.611397,0.080101,0.012500,0.990337,"(0.07603279012072492, 0.01788806569548693)",9.672481,8.534915,0.230930,0.198810,4.345202,13.953488,6.000000,37.000000,43.000000,0.283000,0.500000,9.150000,0.140000,0.868019,1.248785,1.330525
0.100000,0.150000,0.350000,,,,,,,,,,,,,,,5.044738,0.147943,0.012500,0.834725,"(0.09138415234338061, 0.04867251567345887)",7.096732,7.567537,0.413556,0.321837,8.830744,25.000000,12.000000,36.000000,48.000000,,1.750000,12.570000,0.000000,,,
