,com (y),com (x),end_1 (y),end_1 (x),end_2 (y),end_2 (x),ee-distance,gyr_distance
0,-0.648712035650216,33.20371117172382,-1.017114533109873,29.188898002501396,-1.302965089990239,36.11686069372334,6.933857338583764,1.6628198780688206
1,-0.6710186147414986,33.297289277359404,-1.5173563794480989,33.94647645848379,-1.4059884673179,36.220609682772945,2.2768585229802984,1.6142082625867151
2,-0.7081434294280745,33.283960379260684,-0.9133655440601949,29.291921379829063,-1.5090118446456082,36.32435867182258,7.057617783730006,1.6211564488179104
3,-0.7497571403349654,33.3197781458024,-0.8096165550106106,29.394944757156743,-1.5097374563675312,36.117586305445286,6.75899982714102,1.5629387508981087
4,-0.8101817700751014,33.27486196885179,-1.612398027834231,36.32472147768357,-0.808528137427679,29.705103306722638,6.668249510180164,1.6168730020236257
5,-0.8409260960166337,33.258104178088345,-1.6120352219732224,36.428107660872186,-1.3247334416489165,29.913689702404803,6.520750236788689,1.5926244676011956
6,-0.8599021946973552,33.24581320709855,-1.5086490387845997,36.427744855011206,-1.4284824306985477,29.810666325077168,6.617564125595317,1.5745907189905368
7,-0.8895193109679008,33.3015810173331,-1.507923427062677,36.6345172213885,-1.4284824306985477,29.810666325077168,6.824313293437824,1.5560017301010023
8,-0.8835335484479705,33.357352278249046,-1.4284824306985477,29.810666325077168,-1.404537243874007,36.63415441552753,6.823530104900966,1.5750829167236267
9,-0.882814400816351,33.440009128326906,-1.507923427062677,36.6345172213885,-1.3254590533708865,29.706917336027537,6.930002411205907,1.5913170856043342
10,-0.8832479065649447,33.416023582582675,-1.6109468043902908,36.738266210438105,-1.1183238811326797,29.80957790749421,6.946178729623249,1.6329914318601817
11,-0.8810567983703209,33.43642867794934,-1.7143329875789606,36.73862901629909,-1.2220728701822638,29.70655453016655,7.049283055864301,1.6672356158948651
12,-0.8807202561148152,33.44214094250234,-1.6109468043902908,36.738266210438105,-1.118686686993641,29.70619172430556,7.049283055864301,1.7268425881006655
13,-0.8825238666061311,33.42201336411762,-1.7136073758570374,36.94540138267637,-1.0160261155269417,29.499056552067337,7.478948519083537,1.7711241083890858
14,-0.8903911882352322,33.49377031520889,,,,,,1.7954700571166469
15,-0.8896816776449157,33.55775241338869,,,,,,1.8319320186416805
16,-0.9065176503968212,33.60854207613639,,,,,,1.8812177921021769
17,-0.9342211612877379,33.62326290671709,,,,,,1.9297615958039362
18,-0.9440785868763218,33.71571994785646,,,,,,2.0020183523184696
19,-0.9670918283459411,33.79931749369289,,,,,,2.0955130734635663
20,-0.9930096146722592,33.848285039684384,,,,,,2.1600765913747986
21,-1.0115114499579363,33.844421149372245,,,,,,2.261428509170547
22,-1.0288018504091667,33.91496535546593,,,,,,2.411337415368045
23,-1.0466778712950888,33.977984210509504,,,,,,2.4949365552193408
24,-1.0489480234378612,33.99299125017294,,,,,,2.594489984695992
25,-1.0501364486403395,33.95987263264396,,,,,,2.665863785188574
26,-1.0466462910467822,33.962425267528374,,,,,,2.7301396659620116
27,-1.036737419106812,33.930644806171514,,,,,,2.8176525448054064
28,-1.0280045712711305,33.954263150689584,,,,,,2.8809326347448754
29,-1.0243281040238816,33.97129518671608,,,,,,2.9330950232072897
30,-1.0241201538448477,33.93809193110772,,,,,,3.0080475303295238
31,-1.0088456342225858,33.857401555478376,,,,,,3.029841192996446
32,-1.0126934845002489,33.89952229741394,,,,,,3.0271250633901725
33,-1.006579911918798,33.80881468735376,,,,,,3.079067607747652
34,-1.010162849192307,33.81680847029245,,,,,,3.100308147527552
35,-1.0079596962299058,33.90766683508814,,,,,,3.081265770153492
36,-0.9952663830614185,33.971792323525065,-0.6743034560559178,38.49256607189622,-0.29341125078942004,29.186358361474547,9.313999185180572,2.9934638134693317
37,-0.9896598019851222,34.10371592628545,-0.6753918736388964,38.18240752233031,-0.19111348518368176,28.875837006047625,9.319161997307823,2.867845907466703
38,-0.966790241936899,34.21217107604796,-0.8828898517380648,37.97636076767496,-0.19038787346171177,29.082609372424916,8.920671099778794,2.7120131492497297
39,-0.9436684909619077,34.45221054159514,-0.8832526575990732,37.87297458448634,-0.3978858515609272,28.876562617769594,9.009495502595453,2.4649228254798246
40,-0.9129406947220906,34.90841220720128,-1.1175982694107096,30.016350273871502,-0.7805920861323736,37.66583941224806,7.656909118287149,2.0736832086926635
41,-0.8851321010281272,35.03171407490259,-1.2191704232944307,30.5336439956757,-0.7820433095763135,37.25229467949348,6.732855792656848,1.83762911823328
42,-0.8217395878535345,35.40467336387012,-1.1121561814960519,31.567143021701124,-0.8865179103478678,36.94249893578855,5.380089574767433,1.527438734912656
43,-0.778485388854711,35.51770802842827,,,,,,1.4366109860214458
44,-0.8182619889732616,35.50873997960534,-1.4096165259277031,35.18674785088653,-1.1117933756350435,31.670529204889796,3.5288088918649887,1.3526753996239562
45,-0.833812329895603,35.49098203338827,-1.4099793317886646,35.083361667697915,-1.1110677639131203,31.87730157126704,3.219964202803494,1.250601524865914
46,-0.8486703244588474,35.613051561052245,,,,,,1.1046635474229123
